,Real Name,Birthplace,Date of Birth,Debut,Date of Death,wrestler_name,Weight and Height,Weight,Height
176,Tony DeVito,"New York City, New York (United States of America)",20th January 1972 (age 50),1992,,DeVito,245 lbs. (111 kg) at 5'11'' (1.80 m),,
806,Barney Irwin,"Duluth, Minnesota (United States of America)",17th September 1954 (age 67),16th September 1977 (44 years ago),,Bill Irwin,250 lbs. (113 kg) at 6'1'' (1.85 m),,
1130,Robert Knapik,"Atlanta, Georgia (United States of America)",1970,1995,,Robbie Rage,254 lbs. (115 kg) at 5'10'' (1.78 m),,
3063,David Glen Sheldon,"Arlington, Texas (United States of America)",20th July 1953,,25th November 2007,Angel of Death,310 lbs. (141 kg) at 6'5'' (1.96 m),,
12946,Bill Kazmaier,"Burlington, Wisconsin (United States of America)",30th December 1953 (age 68),,,Bill Kazmaier,326 lbs. (148 kg) at 6'3'' (1.91 m),,
659,unknown,"Detroit, Michigan (United States of America)",17th May 1985 (age 36),1st April 2001 (20 years ago),,Slim J,187 lbs. (85 kg) at 5'9'' (1.75 m),,
2448,unknown,Germany,,2004,,Chris Ramírez,,310 lbs. (141 kg),
3993,Joseph Gómez,"Miami, Florida (United States of America)",2nd July 1973 (age 48),1990,,Joe Gómez,264 lbs. (120 kg) at 6'4'' (1.93 m),,
14856,Freddie James Prinze Jr.,"Los Angeles, California (United States of America)",8th March 1976 (age 46),,,Freddie Prinze Jr.,,,
28844,Amanpreet Singh,"Chandigarh, Punjab (India)",,,,Mahabali Shera,,,
1944,Barbara Billard,"Richardson, Texas (United States of America)",12th December 1975 (age 46),2000,,Bobbi Billard ,130 lbs. (59 kg) at 5'8'' (1.73 m),,
8960,unknown,Mexico,30th April 1987 (age 34),,,Súper Halcón Jr.,174 lbs. (79 kg) at 5'10'' (1.78 m),,
11771,Patrick Smith,"Denver, Colorado (United States of America)",28th August 1963 (age 58),12th November 1993 (28 years ago),,Patrick Smith,225 lbs. (102 kg) at 6'2'' (1.88 m),,
12986,Jan Nortje,Cape Town (South Africa),11th April 1975 (age 46),19th August 2001 (20 years ago),,Jan Nortje,350 lbs. (159 kg) at 6'11'' (2.11 m),,
268,unknown,"Philadelphia, Pennsylvania (United States of America)",5th June 1971 (age 50),14th June 1990 (31 years ago),,Glen Osbourne,275 lbs. (125 kg) at 6'1'' (1.85 m),,
491,unknown,"New York City, New York (United States of America)",22nd January 1985 (age 37),29th March 2003 (18 years ago),,Christopher McGuckin,169 lbs. (77 kg) at 6'0'' (1.83 m),,
502,unknown,,,9th October 2004 (17 years ago),,Lance Steel,185 lbs. (84 kg) at 6'1'' (1.85 m),,
1543,Ron Matthews,Cape Town (South Africa),,1986,,The Black Mamba,220 lbs. (100 kg) at 5'10'' (1.78 m),,
1692,Larry Davies,Australia,1944,,30th June 1997,Larry O'Day,,,
1893,unknown,"West Hollywood, California (United States of America)",,??th September 2001,,Troy Lords,205 lbs. (93 kg) at 5'7'' (1.70 m),,
2233,Héctor Serrano,Puerto Rico,,,??th February 2021,Don Serrano,220 lbs. (100 kg) at 5'7'' (1.70 m),,
2726,Shane Bower,"Calgary, Alberta (Canada)",1st August 1960,1986,24th June 2007,Biff Wellington,226 lbs. (103 kg) at 6'0'' (1.83 m),,
2866,Yves Müller,"Mannheim, Baden-Württemberg (Germany)",5th April 1982 (age 39),24th June 2004 (17 years ago),,Van Miller,223 lbs. (101 kg) at 6'3'' (1.91 m),,
4212,Simone Grünig,Germany,11th December 1983 (age 38),,,Wild Xenia ,,,6'0'' (1.83 m)
4297,Héctor Picasso Ríos,"Monclova, Coahuila de Zaragoza (Mexico)",19th October 1983 (age 38),21st August 1995 (26 years ago),,Guerrero Negro Jr.,198 lbs. (90 kg) at 6'0'' (1.83 m),,
4340,unknown,,15th June 1977 (age 44),,,José López,170 lbs. (77 kg) at 6'0'' (1.83 m),,
4386,Dennis Cardona,New Jersey (United States of America),,,,Abunai,155 lbs. (70 kg) at 5'2'' (1.57 m),,
4410,unknown,"Newport Beach, California (United States of America)",,,,Eric Xtasy,232 lbs. (105 kg) at 6'2'' (1.88 m),,
5022,Futoshi Miwa,"Tomakomai, Hokkaido (Japan)",28th November 1978 (age 43),,,Futoshi Miwa,320 lbs. (145 kg) at 5'3'' (1.60 m),,
5436,Víctor Manuel Ortiz Zamora,"Tijuana, Baja California (Mexico)",,2001,,TJ Extreme,,,
5729,unknown,"Perth, Perth and Kinross, Scotland (United Kingdom)",29th March 1990 (age 31),2005,,Sara ,135 lbs. (61 kg) at 5'9'' (1.75 m),,
6095,Travis Shillington,"Pittsburgh, Pennsylvania (United States of America)",26th May ???,9th February 1997 (25 years ago),,TS Aggressor,260 lbs. (118 kg) at 6'0'' (1.83 m),,
6147,Samuel Knee,"Harlow, Essex, England (United Kingdom)",1980,,,Sam Knee,,,6'4'' (1.93 m)
6294,unknown,"Pittsburgh, Pennsylvania (United States of America)",,1995,,Bubba the Bulldog,222 lbs. (101 kg) at 5'10'' (1.78 m),,
6596,Ben Nelson,"Victoria, British Columbia (Canada)",,??th March 1999,,Nelson Creed,237 lbs. (108 kg) at 6'1'' (1.85 m),,
6718,unknown,"Norwich, Norfolk, England (United Kingdom)",,2002,,Destiny ,210 lbs. (95 kg) at 5'4'' (1.63 m),,
7946,unknown,"Worcester, Worcestershire, England (United Kingdom)",11th February 1983 (age 39),29th June 2004 (17 years ago),,Blanchard,215 lbs. (98 kg) at 6'0'' (1.83 m),,
8322,Les Wolff,"Blue Earth, Minnesota (United States of America)",11th April 1941,,11th July 2017,Buddy Wolff,220 lbs. (100 kg) at 6'0'' (1.83 m),,
8409,Todd Roberg,"Bellingham, Washington (United States of America)",,??th January 2001,,Skag Rollins,350 lbs. (159 kg) at 6'0'' (1.83 m),,
9244,unknown,"Grimsby, Lincolnshire, England (United Kingdom)",,,,Havok,434 lbs. (197 kg) at 6'2'' (1.88 m),,
10061,Kevin Kleinrock,,,,,Kevin Kleinrock,,,
10799,unknown,"Alton, Illinois (United States of America)",26th November 1985 (age 36),,,Devin Cutter,220 lbs. (100 kg) at 5'9'' (1.75 m),,
10800,unknown,"Alton, Illinois (United States of America)",15th June 1987 (age 34),,,Mason Cutter,,,5'8'' (1.73 m)
17383,Jan Finney,"Dayton, Ohio (United States of America)",,6th November 2004 (17 years ago),,Jan Finney ,135 lbs. (61 kg) at 5'8'' (1.73 m),,
17602,Shane Canterbury,"Princeton, West Virginia (United States of America)",6th December ???,,,Buck Dixon,305 lbs. (138 kg) at 6'10'' (2.08 m),,
20685,Michael Staples,,,,,Rolling Thunder,,,
25948,Josh Ashcraft,"Louisville, Kentucky (United States of America)",,??th October 2011,,Josh Ashcraft,262 lbs. (119 kg) at 5'12'' (1.83 m),,
26657,unknown,"Winnipeg, Manitoba (Canada)",15th September 1987 (age 34),8th February 2012 (10 years ago),,Kat Von Heez ,170 lbs. (77 kg) at 5'6'' (1.68 m),,
28097,unknown,"Hampton, Virginia (United States of America)",,22nd June 2013 (8 years ago),,The Boar,269 lbs. (122 kg) at 6'4'' (1.93 m),,
28308,unknown,"Natal, Rio Grande do Norte (Brazil)",22nd June 1983 (age 38),31st May 2012 (9 years ago),,Bethe Correia ,135 lbs. (61 kg) at 5'4'' (1.63 m),,
31548,Steve Burkert,Pennsylvania (United States of America),,9th February 2013 (9 years ago),,Stevie Shields,,,
32646,unknown,"London, Greater London, England (United Kingdom)",,,,Sid Scala,,,
37116,Sidney Iking Bateman,"Memphis, Tennessee (United States of America)",13th March 1993 (age 28),2020,,Reggie,,,
7798,Marcel Koltermann,"Großenhain, Sachsen (Germany)",29th April 1978 (age 43),17th May 2008 (13 years ago),,Sternau,190 lbs. (86 kg) at 6'2'' (1.88 m),,
3736,Herman Stevens Jr.,,17th June 1965 (age 56),25th September 1995 (26 years ago),,Clarence Mason,170 lbs. (77 kg) at 5'9'' (1.75 m),,
722,Eugene Alan Snisky,"Nesquehoning, Pennsylvania (United States of America)",14th January 1970 (age 52),1997,,Snitsky,290 lbs. (132 kg) at 6'8'' (2.03 m),,
450,Jorge González,"El Colorado, Formosa (Argentina)",31st January 1966,1990,22nd September 2010,Giant González,430 lbs. (195 kg) at 7'6'' (2.29 m),,
913,Joseph William Utsler,"Detroit, Michigan (United States of America)",14th October 1974 (age 47),,,Shaggy 2 Dope,190 lbs. (86 kg) at 6'0'' (1.83 m),,
912,Joseph Frank Bruce,"Detroit, Michigan (United States of America)",28th April 1972 (age 49),1991,,Violent J,265 lbs. (120 kg) at 6'2'' (1.88 m),,
1368,unknown,"Agrigento, Sicilia (Italy)",,19th September 1997 (24 years ago),,Vincenzo Massaro,259 lbs. (117 kg) at 5'9'' (1.75 m),,
1101,Matt Wiese,"New York City, New York (United States of America)",22nd September 1971 (age 50),,,Luther Reigns,285 lbs. (129 kg) at 6'5'' (1.96 m),,
614,Michael Jones,"Nashville, Tennessee (United States of America)",13th June 1962 (age 59),1986,,Virgil,250 lbs. (113 kg) at 5'11'' (1.80 m),,
3540,unknown,"London, Greater London, England (United Kingdom)",20th February 1966 (age 56),,,Karl Krammer,396 lbs. (180 kg) at 5'11'' (1.80 m),,
791,Jason Arhndt,"Carthage, North Carolina (United States of America)",15th October 1971 (age 50),1994,,Joey Abs,277 lbs. (126 kg) at 6'3'' (1.91 m),,
2835,unknown,"Monterrey, Nuevo León (Mexico)",23rd November 1975 (age 46),20th March 2006 (15 years ago),,El Elegido,260 lbs. (118 kg) at 6'0'' (1.83 m),,
1285,Anthony Michaels,"Copiague, New York (United States of America)",21st June 1970 (age 51),21st August 1993 (28 years ago),,Anthony Michaels,240 lbs. (109 kg) at 6'2'' (1.88 m),,
1958,Koji Kitao,"Tsu, Mie (Japan)",12th August 1963,10th February 1989 (33 years ago),10th February 2019,Koji Kitao,311 lbs. (141 kg) at 6'7'' (2.01 m),,
12301,Ryota Hama,"Ibaraki, Osaka (Japan)",21st November 1979 (age 42),3rd November 2008 (13 years ago),,Ryota Hama,420 lbs. (191 kg) at 5'9'' (1.75 m),,
2908,unknown,Florida (United States of America),31st May 1986 (age 35),2005,,Máscara Púrpura,176 lbs. (80 kg) at 5'7'' (1.70 m),,
584,Erik Watts,"Amarillo, Texas (United States of America)",19th December 1967 (age 54),1992,,Erik Watts,268 lbs. (122 kg) at 6'6'' (1.98 m),,
3115,unknown,"Villa Hidalgo, Zacatecas (Mexico)",6th November 1952 (age 69),19th September 1976 (45 years ago),,Asesino Negro,291 lbs. (132 kg) at 5'10'' (1.78 m),,
3209,Alexander Pourteau,"Bossier City, Louisiana (United States of America)",30th October 1969 (age 52),17th December 1987 (34 years ago),,Alex Porteau,227 lbs. (103 kg) at 5'11'' (1.80 m),,
195,Thomas Hirschman,"Philadelphia, Pennsylvania (United States of America)",25th January 1982,13th August 1999 (22 years ago),21st July 2020,Z-Barr,195 lbs. (88 kg) at 6'0'' (1.83 m),,
823,Barrett Moore,"Los Angeles, California (United States of America)",31st May 1970 (age 51),2001,,Veronica Caine ,127 lbs. (58 kg) at 5'6'' (1.68 m),,
6330,unknown,Florida (United States of America),,,,Ace Rockwell,195 lbs. (88 kg) at 6'0'' (1.83 m),,
6817,unknown,Mexico,17th May 1988 (age 33),13th January 2008 (14 years ago),,El Hijo del Enrique Vera,198 lbs. (90 kg) at 5'10'' (1.78 m),,
6904,unknown,"Hackensack, New Jersey (United States of America)",29th January ???,2004,,Jana ,140 lbs. (64 kg) at 5'5'' (1.65 m),,
8089,unknown,"Guadalajara, Jalisco (Mexico)",1982,,,Atenea ,,,
8537,Dean Richard Lister,"San Diego, California (United States of America)",13th February 1976 (age 46),16th September 2000 (21 years ago),,Dean Lister,185 lbs. (84 kg) at 6'1'' (1.85 m),,
9652,Ruthann DeBona,"Glen Rock, New Jersey (United States of America)",7th March 1976 (age 46),23rd August 2003 (18 years ago),,Rue DeBona ,123 lbs. (56 kg) at 5'9'' (1.75 m),,
17443,unknown,Jalisco (Mexico),12th August 1989 (age 32),20th April 2010 (11 years ago),,Leo,170 lbs. (77 kg) at 5'11'' (1.80 m),,
23358,Tom DeBlass,"New Brunswick, New Jersey (United States of America)",14th May 1982 (age 39),11th June 2010 (11 years ago),,Tom DeBlass,205 lbs. (93 kg) at 6'0'' (1.83 m),,
31027,unknown,"Nottinghamshire, England (United Kingdom)",24th April 1997 (age 24),,,Gabriel Kidd,198 lbs. (90 kg) at 6'0'' (1.83 m),,
31633,unknown,,1997,,,HC Dyer,213 lbs. (97 kg) at 5'11'' (1.80 m),,
35316,unknown,"Brescia, Lombardia (Italy)",,2nd June 2013 (8 years ago),,Nick Lenders,176 lbs. (80 kg) at 5'11'' (1.80 m),,
338,Rodney Begnaud,"Lafayette, Indiana (United States of America)",1973,1998,,Rodney Mack,240 lbs. (109 kg) at 6'4'' (1.93 m),,
2922,Felipe Adrian Alvarado Díaz,"Acapulco de Juárez, Guerrero (Mexico)",26th May 1966 (age 55),1987,,Polvo de Estrellas,207 lbs. (94 kg) at 5'9'' (1.75 m),,
1312,Jesús Alfonso Huerta Escoboza,"Hermosillo, Sonora (Mexico)",4th January 1966,1987,11th January 2020,La Parka Jr.,216 lbs. (98 kg) at 6'0'' (1.83 m),,
26399,Dean Muhtadi,"Alexandria, Virginia (United States of America)",17th July 1986 (age 35),30th August 2012 (9 years ago),,Dean Muhtadi,290 lbs. (132 kg) at 6'4'' (1.93 m),,
3103,unknown,Mexico,1989,11th November 2003 (18 years ago),,Fantasy,,,
37585,Benito Antonio Martínez Ocasio,San Juan (Puerto Rico),10th March 1994 (age 28),,,Bad Bunny,,,
1352,Wayne Meyer,"Orlando, Florida (United States of America)",1975,2000,,Lex Lovett,225 lbs. (102 kg) at 6'1'' (1.85 m),,
2716,Danny Lammers,Germany,10th July 1981 (age 40),,,Professor Loco,160 lbs. (73 kg) at 5'7'' (1.70 m),,
23997,Vincent Schild,"Heilbad Heiligenstadt, Thüringen (Germany)",23rd December 1995 (age 26),14th July 2012 (9 years ago),,Vincent the Beast,187 lbs. (85 kg) at 6'1'' (1.85 m),,
1564,Kristal Marshall,"New York City, New York (United States of America)",11th November 1983 (age 38),2nd December 2005 (16 years ago),,Kristal Lashley ,120 lbs. (54 kg) at 5'5'' (1.65 m),,
555,Vincent James Russo,"New York City, New York (United States of America)",24th January 1961 (age 61),,,Vince Russo,220 lbs. (100 kg) at 6'2'' (1.88 m),,
612,Jillian Faye Fletcher,"Ashland, Kentucky (United States of America)",6th September 1980 (age 41),2002,,Jillian Hall ,130 lbs. (59 kg) at 5'5'' (1.65 m),,
1216,José Luis Jair Soria,"Guadalajara, Jalisco (Mexico)",12th September 1971 (age 50),16th October 1992 (29 years ago),,Shocker,227 lbs. (103 kg) at 5'9'' (1.75 m),,
190,Salvatore Valente,"New York City, New York (United States of America)",,1998,,Big Sal E. Graziano,600 lbs. (272 kg) at 6'9'' (2.06 m),,
2938,Scott Thompson,United States of America,,1990,,Krusher Kong,450 lbs. (204 kg) at 6'5'' (1.96 m),,
138,David Richard Fliehr,"Minneapolis, Minnesota (United States of America)",6th March 1979 (age 43),1999,,David Flair,177 lbs. (80 kg) at 6'1'' (1.85 m),,
18810,Paul Reubens,,27th August 1952 (age 69),1st November 2010 (11 years ago),,Pee-wee Herman,,,
157,Michael Edwin Neil Sanders,"Atlanta, Georgia (United States of America)",20th July 1969 (age 52),??th July 1998,,Mike Sanders,230 lbs. (104 kg) at 6'1'' (1.85 m),,
841,Theodore Alfred Arcidi,"Nashua, New Hampshire (United States of America)",16th June 1958 (age 63),,,Ted Arcidi,,285 lbs. (129 kg),
1102,John Roselli,"White Plains, New York (United States of America)",23rd September 1980 (age 41),1998,,Romeo Roselli,220 lbs. (100 kg) at 6'1'' (1.85 m),,
1039,Eric Angle,"Pittsburgh, Pennsylvania (United States of America)",8th August 1967 (age 54),19th November 2000 (21 years ago),,Eric Angle,245 lbs. (111 kg) at 6'1'' (1.85 m),,
2945,Randal Berry Orton,"Amarillo, Texas (United States of America)",28th May 1958,1976,19th March 2021,Barry Orton,,,6'1'' (1.85 m)
229,Alfred Poling,"New York City, New York (United States of America)",22nd January 1957 (age 65),1989,,911,310 lbs. (141 kg) at 6'8'' (2.03 m),,
1329,Jesús Reyes González,"Lagos de Moreno, Jalisco (Mexico)",10th March 1958 (age 64),27th November 1977 (44 years ago),,Máscara Año Dos Mil,214 lbs. (97 kg) at 5'11'' (1.80 m),,
788,Dalip Singh Rana,"Dhirana, Himachal Pradesh (India)",27th August 1972 (age 49),7th October 2000 (21 years ago),,The Great Khali,425 lbs. (193 kg) at 7'2'' (2.18 m),,
