,Real Name,Birthplace,Date of Birth,Debut,Date of Death,wrestler_name,Weight and Height,Weight,Height
9334,unknown,"Middleborough, Massachusetts (United States of America)",,,,Rick Fuller,325 lbs. (147 kg) at 6'3'' (1.91 m),,
12085,Wesley Brisco,"Tampa, Florida (United States of America)",21st February 1983 (age 39),2009,,Wes Brisco,210 lbs. (95 kg) at 5'10'' (1.78 m),,
9836,unknown,"Kingston upon Hull, East Yorkshire, England (United Kingdom)",9th October 1990 (age 31),26th August 2006 (15 years ago),,Nathan Cruz,186 lbs. (84 kg) at 5'10'' (1.78 m),,
1504,Perry Jackson,"Texarkana, Arkansas (United States of America)",,,,Action Jackson,287 lbs. (130 kg) at 6'3'' (1.91 m),,
4165,Patrick Frary,"Norwich, Norfolk, England (United Kingdom)",14th December 1953 (age 68),1985,,Ricky Knight,247 lbs. (112 kg) at 5'9'' (1.75 m),,
7688,Brandon Castillo,Mexico,11th October 1979 (age 42),2004,,Yuriko,,,
431,Orlando Jordan,"Salem, New Jersey (United States of America)",21st April 1974 (age 47),2000,,Orlando Jordan,256 lbs. (116 kg) at 6'4'' (1.93 m),,
695,Jaime Lynne,"Nashville, Tennessee (United States of America)",17th March 1979 (age 42),2002,,Lollipop ,118 lbs. (54 kg) at 5'7'' (1.70 m),,
2159,Joseph Magliano,"Baltimore, Maryland (United States of America)",29th September 1967,1987,15th October 2006,Joey Maggs,235 lbs. (107 kg) at 6'0'' (1.83 m),,
778,Ryuma Izumida,"Kurihara, Miyagi (Japan)",28th October 1965,25th May 1992 (29 years ago),25th January 2017,Junji Izumida,306 lbs. (139 kg) at 6'1'' (1.85 m),,
2281,Timothy R. Calkins Jr.,"New York City, New York (United States of America)",29th December 1975,2001,7th January 2015,Tim Arson,245 lbs. (111 kg) at 6'2'' (1.88 m),,
2746,Ernie Osiris Cirruzzo,"Southampton, New York (United States of America)",,12th May 2006 (15 years ago),,Ernie Osiris,181 lbs. (82 kg) at 5'7'' (1.70 m),,
587,Kevin Francis Sullivan,"Key West, Florida (United States of America)",26th October 1949 (age 72),1970,,Kevin Sullivan,240 lbs. (109 kg) at 5'11'' (1.80 m),,
285,Ronald Jason Knight,"Waterbury, Connecticut (United States of America)",12th December 1963 (age 58),??th June 1984,,Jason Knight,180 lbs. (82 kg) at 5'9'' (1.75 m),,
2436,Christian Städter,"Visselhövede, Niedersachsen (Germany)",18th March 1976 (age 45),1998,,Crazy Johnny Tiger,233 lbs. (106 kg) at 5'10'' (1.78 m),,
14998,unknown,Ciudad de Panamá (Panama),20th February 1975 (age 47),6th October 2009 (12 years ago),,Dalys la Caribeña ,143 lbs. (65 kg) at 5'6'' (1.68 m),,
57,Marcus Alexander Bagwell,"Marietta, Georgia (United States of America)",10th January 1970 (age 52),1990,,Buff Bagwell,240 lbs. (109 kg) at 6'1'' (1.85 m),,
3416,Ron Waterman,"Greeley, Colorado (United States of America)",23rd November 1965 (age 56),6th February 1999 (23 years ago),,Ron Waterman,275 lbs. (125 kg) at 6'2'' (1.88 m),,
4389,Chasyn Rance,"Miami, Florida (United States of America)",15th March 1983 (age 38),25th June 1999 (22 years ago),,Chasyn Rance,187 lbs. (85 kg) at 5'9'' (1.75 m),,
232,Don Harris,"Nashville, Tennessee (United States of America)",23rd October 1961 (age 60),1987,,Don Harris,280 lbs. (127 kg) at 6'5'' (1.96 m),,
209,Joe Applebaumer,"Chicago, Illinois (United States of America)",,29th March 1995 (26 years ago),,Pogo the Clown,440 lbs. (200 kg) at 6'6'' (1.98 m),,
340,Nathan Jones,"Sydney, New South Wales (Australia)",21st August 1970 (age 51),11th October 1997 (24 years ago),,Nathan Jones,340 lbs. (154 kg) at 6'10'' (2.08 m),,
2427,Justin Rocheleau,"Robbinsdale, Minnesota (United States of America)",18th June 1975 (age 46),2nd June 1996 (25 years ago),,Bam Bam Nealy,275 lbs. (125 kg) at 6'7'' (2.01 m),,
1588,Christopher Ashford-Smith,"Tampa, Florida (United States of America)",17th February 1961,1984,22nd August 2018,Chris Champion,222 lbs. (101 kg) at 6'1'' (1.85 m),,
5267,Oscar Herrera,,,,,Oscar,,,
5473,Bobby Dempsey,"Finderne, New Jersey (United States of America)",23rd February 1984 (age 38),23rd July 2005 (16 years ago),,Bobby Dempsey,,282 lbs. (128 kg),
1025,Derrick Neikirk,"Phoenix, Arizona (United States of America)",5th September 1974 (age 47),2000,,Derrick Neikirk,245 lbs. (111 kg) at 6'4'' (1.93 m),,
6951,unknown,,,10th October 1999 (22 years ago),,Diablo Santiago,225 lbs. (102 kg) at 6'2'' (1.88 m),,
8495,Carlos René Guajardo,"Monterrey, Nuevo León (Mexico)",30th June 1987 (age 34),2008,,René Guajardo Jr.,190 lbs. (86 kg) at 5'10'' (1.78 m),,
9838,unknown,"Liverpool, Merseyside, England (United Kingdom)",1985,,,Simon Valour,230 lbs. (104 kg) at 5'10'' (1.78 m),,
13678,Darrill Schoonover,"El Paso, Texas (United States of America)",18th June 1985 (age 36),12th January 2008 (14 years ago),,Darrill Schoonover,260 lbs. (118 kg) at 6'2'' (1.88 m),,
15244,Richard John Hatton,"Stockport, Greater Manchester, England (United Kingdom)",6th October 1978 (age 43),9th November 2009 (12 years ago),,Ricky Hatton,,,5'6'' (1.68 m)
29576,Sabatino Piscitelli,"Boca Raton, Florida (United States of America)",24th August 1983 (age 38),4th April 2015 (6 years ago),,Tino Sabbatelli,221 lbs. (100 kg) at 6'3'' (1.91 m),,
34417,Noah Nelms,"Olive Branch, Mississippi (United States of America)",30th July 1997 (age 24),,,Marko Stunt,,,5'2'' (1.57 m)
18583,Garett Bischoff,,20th April 1984 (age 37),7th November 2010 (11 years ago),,Garett Bischoff,,,
