,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Height,Weight
12497,unknown,"Seattle, Washington (United States of America)",14th September ???,Bernie Donderwitz,300 lbs. (136 kg) at 6'1'' (1.85 m),,,,
12500,Jacob Kiser,,8th March 1910,Jack Kiser,,1936,17th May 1991,,
12501,Dale Warnholtz,,,Dale Kiser,,,,,
12502,Jay E. Cox,,,Jay Cox,,,,,
12503,Chris Ward,"Palestine, Texas (United States of America)",13th May ???,Payton Scott,231 lbs. (105 kg) at 6'1'' (1.85 m),2001,,,
12504,unknown,"Houston, Texas (United States of America)",,Ryan Davidson,,,,,242 lbs. (110 kg)
12505,unknown,"Lawton, Oklahoma (United States of America)",9th June ???,Julian Wolf,225 lbs. (102 kg) at 6'0'' (1.83 m),,,,
12507,unknown,"Joplin, Missouri (United States of America)",13th June ???,Dustin Heritage,205 lbs. (93 kg) at 5'9'' (1.75 m),24th March 2007 (14 years ago),,,
12508,unknown,"Dallas, Texas (United States of America)",31st March ???,Mace,270 lbs. (122 kg) at 6'0'' (1.83 m),??th November 1998,,,
12509,unknown,"Bedford, Texas (United States of America)",23rd March ???,Seth Shai,235 lbs. (107 kg) at 5'11'' (1.80 m),1999,,,
12510,unknown,"Los Angeles, California (United States of America)",11th March ???,Nathan Sensation,187 lbs. (85 kg) at 5'8'' (1.73 m),28th July 2007 (14 years ago),,,
12511,unknown,Oklahoma (United States of America),20th July ???,Striker,350 lbs. (159 kg) at 6'2'' (1.88 m),??th September 1998,,,
12512,unknown,"Las Vegas, Nevada (United States of America)",??th March ???,Scott Sanders,270 lbs. (122 kg) at 6'2'' (1.88 m),2005,,,
12513,unknown,"Las Vegas, Nevada (United States of America)",??th March ???,Shawn Sanders,230 lbs. (104 kg) at 6'2'' (1.88 m),2005,,,
12514,unknown,"Wichita, Kansas (United States of America)",15th March ???,Jermaine Johnson,200 lbs. (91 kg) at 6'0'' (1.83 m),15th March 2008 (14 years ago),,,
12515,unknown,"Brooklyn, New York (United States of America)",,Montego Seeka,211 lbs. (96 kg) at 6'3'' (1.91 m),31st March 2007 (14 years ago),,,
12517,Ede Virág-Ébner,Budapest (Hungary),12th August 1912,Eddie Virág,220 lbs. (100 kg) at 5'10'' (1.78 m),10th October 1936 (85 years ago),22nd October 1951,,
12518,unknown,Colorado (United States of America),20th March 1958,Rick Crabtree,,,22nd March 2009,,
12519,James Milligan Wilson,"Pittsburgh, Pennsylvania (United States of America)",12th June 1942,Jim Wilson,,,2nd February 2009,,
12521,unknown,United States of America,,Slash,,,,,245 lbs. (111 kg)
12522,Christian Thompson,"Amarillo, Texas (United States of America)",6th February 1987 (age 35),Cody Jones,190 lbs. (86 kg) at 5'10'' (1.78 m),19th February 2005 (17 years ago),,,
12523,Tom Laxton,"Tampa, Florida (United States of America)",29th November 1950 (age 71),Tom Chitwood,,1971,,,
12525,Jennifer Quinn,"Tampa, Florida (United States of America)",26th July 1983 (age 38),Penny Cash ,,??th October 2008,,,108 lbs. (49 kg)
12526,Christoph Bondzio,"Rostock, Mecklenburg-Vorpommern (Germany)",22nd August 1986 (age 35),Christoph Bondzio,,,,6'2'' (1.88 m),
12529,Wylie Kenneth Yates,North Carolina (United States of America),5th August 1935,Ken Yates,,,25th January 1999,,
12530,unknown,,,Moose Evans,,,,,
12531,unknown,Mexico,,El Galgo Jr.,,2006,,,
12532,unknown,Mexico,,Mr. Potro,,,,,
12533,Ernest Leonard Jackson,"Ashland, Nebraska (United States of America)",1st June 1900,Bulldog Jackson,,,8th August 1979,,
12534,James Casey Morrisey,,,James Morrisey,,,,,
12535,unknown,,,George Clark,,,,,
12536,Francois Fouche,Canada,13th June 1890,Francois Fouche,251 lbs. (114 kg) at 6'2'' (1.88 m),,19th July 1968,,
12539,Juventino Romero Loza,"Acatic, Jalisco (Mexico)",25th January 1923,Juventino Romero,,,19th March 2009,,
12540,Nicola Pacchiano,"Marigliano, Campania (Italy)",21st September 1937,Nick Pacchiano,,,24th January 2010,,
12541,unknown,,,Dot Dotson ,,,,,
12542,unknown,,,Violet Viann ,,,,,
12543,unknown,,,Bob Wagner,,,,,
12544,Marvin Louis Westenberg,"Tacoma, Washington (United States of America)",27th July 1910,Marv Westenberg,245 lbs. (111 kg) at 6'0'' (1.83 m),,20th August 1978,,
12545,unknown,"Oklahoma City, Oklahoma (United States of America)",18th June ???,Bad Boy,,,,,265 lbs. (120 kg)
12546,unknown,California (United States of America),5th August ???,Glen Steel,220 lbs. (100 kg) at 5'11'' (1.80 m),2001,,,
12547,unknown,"Longview, Texas (United States of America)",23rd July ???,Outlaw,250 lbs. (113 kg) at 6'7'' (2.01 m),1996,,,
12548,unknown,Texas (United States of America),10th June ???,Gideon Vane,260 lbs. (118 kg) at 6'6'' (1.98 m),28th July 2007 (14 years ago),,,
12549,Steve Casey,"Sneem, Kerry (Ireland)",4th December 1908,Steve Casey,220 lbs. (100 kg) at 6'2'' (1.88 m),,10th January 1987,,
12550,Leo Newman,"St. Louis, Missouri (United States of America)",2nd August 1908,Leo Newman,180 lbs. (82 kg) at 5'7'' (1.70 m),,5th August 1992,,
12551,unknown,,,Jack Kelly,,,,,
12552,unknown,,,Art Brady,220 lbs. (100 kg) at 6'1'' (1.85 m),,,,
12553,Don Blackman,Alabama (United States of America),12th May 1912,Don Blackman,220 lbs. (100 kg) at 6'1'' (1.85 m),,11th September 1977,,
12555,William Robert Trout,"Sharon, Tennessee (United States of America)",2nd January 1911,Dick Trout,190 lbs. (86 kg) at 5'9'' (1.75 m),,3rd February 1964,,
12556,unknown,,,Jay French,,,,,
12557,Elton Theodore Owen,"Cove, Oregon (United States of America)",18th March 1915,Elton Owen,180 lbs. (82 kg) at 5'9'' (1.75 m),,31st December 1993,,
12558,Donald H. Owen,"Pendleton, Oregon (United States of America)",16th March 1912,Don Owen,,,1st August 2002,,
12559,unknown,,,Al Williams,,,,,
12560,Lester Chapman,Iowa (United States of America),1913,Kid Chapman,,,3rd March 1945,,
12561,Harold Arthur Sabath,"Chicago, Illinois (United States of America)",9th April 1916,"Harold ""Al"" Sabath",215 lbs. (98 kg) at 5'11'' (1.80 m),6th March 1944 (78 years ago),3rd March 1945,,
12562,Ben Reuben,,1st January 1895,Benny Reuben,,,3rd March 1945,,
12563,George Matkovich,,,George Mack,,,3rd March 1945,,
12564,George Ross,Greece,25th December 1891,Jack Ross,,,4th December 1953,,
12565,Gaius Wesley Young,"Weyerhaeuser, Wisconsin (United States of America)",19th January 1904,Gaius Young,225 lbs. (102 kg) at 6'1'' (1.85 m),,3rd March 1945,,
12566,Walter Podolak,New York (United States of America),19th August 1909,Walter Podolak,,,16th February 1984,,
12567,Marvin Kurtz Gehman,"Reading, Pennsylvania (United States of America)",28th July 1914,Marvin Mercer,195 lbs. (88 kg) at 5'10'' (1.78 m),,30th April 1997,,
12568,unknown,,,Alvino Lucenti,,,,,
12570,unknown,,,Pedro Ortega,,,,,
12571,unknown,,,George Babich,229 lbs. (104 kg) at 6'4'' (1.93 m),,,,
12572,Kaimon Kudo,Fukushima (Japan),12th November 1906,Kimon Kudo,,,8th October 1993,,
12573,unknown,"New York City, New York (United States of America)",,Abe Stein,,,,,
12574,John Kirkpatrick,,1923,Red Kirkpatrick,,,XXXX,,
12575,unknown,"Monterrey, Nuevo León (Mexico)",,La Kalaka,163 lbs. (74 kg) at 5'11'' (1.80 m),2006,,,
12576,unknown,Mexico,1988,Meteoro Kid,148 lbs. (67 kg) at 5'6'' (1.68 m),13th September 2007 (14 years ago),,,
12577,unknown,Mexico,3rd April 1982 (age 39),La Tormenta ,,7th May 2005 (16 years ago),,,
12579,Richard Ignacio,United States of America,24th June ???,American Rebel,180 lbs. (82 kg) at 5'10'' (1.78 m),??th October 1999,,,
12580,unknown,Mexico,,Panchito Robles Jr.,,,,,
12581,Michael Lee Richard,"Houston, Texas (United States of America)",11th February 1949,T. John Tibbedeux,,,17th September 2013,,650 lbs. (295 kg)
12582,unknown,United States of America,,Dr. P.A. Mullikan,,,,,
12583,unknown,Berlin (Germany),,Siegfried Schulz,207 lbs. (94 kg) at 6'3'' (1.91 m),,,,
12584,unknown,,,Michael Ujevic,,,XXXX,,269 lbs. (122 kg)
12585,unknown,,1941,Nino Mercury,,,,,247 lbs. (112 kg)
12586,Louis Talaber,Szentgotthárd (Hungary),15th September 1888,Lou Talaber,,,1st June 1973,5'7'' (1.70 m),
12587,unknown,Sweden,22nd September 1870,Hjalmar Lundin,,,8th April 1941,,
12588,Alexander Wathen,,1898,Micky Wood,,,,,
12590,José Macías,"Aguascalientes, Aguascalientes (Mexico)",,"Gorila Macías, II.",,1942,,,
12591,Jacobo Macías,"Aguascalientes, Aguascalientes (Mexico)",,"Gorila Macías, III.",,,26th February 1980,,
12592,Steve Steinbeiss,United Kingdom,5th May 1981 (age 40),Steve Steinbeiss,185 lbs. (84 kg) at 6'3'' (1.91 m),15th December 2006 (15 years ago),,,
12594,Tim McKenzie,"Santa Clara, California (United States of America)",,Tim McKenzie,185 lbs. (84 kg) at 6'0'' (1.83 m),9th November 2001 (20 years ago),,,
12595,William John Murray Parks,"North Bay, Ontario (Canada)",8th January 1921,Bill Parks,,??th April 1947,11th February 2004,,
12596,Joseph Cecini,"Rio Marina, Toscana (Italy)",31st December 1891,Joe Parelli,180 lbs. (82 kg) at 5'6'' (1.68 m),1912,13th October 1955,,
12597,unknown,"Mazatlán, Sinaloa (Mexico)",,Juan Zaiza,,,,,
12598,Daniel Aldana-Rebatet,Veracruz de Ignacio de la Llave (Mexico),23rd July 1912,Daniel Aldana,,13th March ???,31st December 1990,,
12601,Sean Caffrey,"Liverpool, Merseyside, England (United Kingdom)",,Sugar Sean,,,,,
12602,Samuel Stein,"New York City, New York (United States of America)",1st April 1905,Sammy Stein,200 lbs. (91 kg) at 6'0'' (1.83 m),,30th March 1966,,
12603,William Hayes Shaw,"Pittsburgh, Pennsylvania (United States of America)",8th August 1907,Pat O'Shocker,270 lbs. (122 kg) at 6'1'' (1.85 m),,19th December 1977,,
12605,unknown,Italy,6th June 1942 (age 79),Tony Rocco,,,,,
12608,Andrew Lutziger,"Lincoln, Nebraska (United States of America)",23rd June 1901,Paul Jones,,1922,17th April 1988,,
12609,James Ross Esson,,21st November 1890,Jim Esson,,,1916,,
12610,unknown,"Newport, Monmouthshire, Wales (United Kingdom)",6th August 1913,Les Stent,,,XXXX,,
12611,Yuki Kondo,Niigata (Japan),17th July 1975 (age 46),Yuki Kondo,170 lbs. (77 kg) at 5'11'' (1.80 m),28th January 1996 (26 years ago),,,
12612,Jesse Sanders,"Oskaloosa, Iowa (United States of America)",2nd July 1980 (age 41),Jesse Sanders,170 lbs. (77 kg) at 6'0'' (1.83 m),14th January 2006 (16 years ago),,,
12613,Brock Orville Larson,"Brainerd, Minnesota (United States of America)",23rd August 1977 (age 44),Brock Larson,170 lbs. (77 kg) at 5'11'' (1.80 m),19th October 2002 (19 years ago),,,
12614,Carmelo Marrero,"Philadelphia, Pennsylvania (United States of America)",26th January 1981 (age 41),Carmelo Marrero,205 lbs. (93 kg) at 6'0'' (1.83 m),16th October 2004 (17 years ago),,,
12615,Gillion Cleotis Allen,Texas (United States of America),15th February 1905,Stocky Kneilson,175 lbs. (79 kg) at 5'9'' (1.75 m),,11th June 1952,,
12616,Broni Peter Smolinski,"Portland, Oregon (United States of America)",18th April 1914,Babe Small,220 lbs. (100 kg) at 5'9'' (1.75 m),,27th October 2001,,
12617,unknown,British Columbia (Canada),18th June ???,Pyro ,155 lbs. (70 kg) at 5'6'' (1.68 m),14th February 2003 (19 years ago),,,
12618,unknown,"Stoner, British Columbia (Canada)",,Mike Sledge,175 lbs. (79 kg) at 5'8'' (1.73 m),10th December 2000 (21 years ago),,,
12621,Maitland W. Higgins,"Newberg, Oregon (United States of America)",5th April 1919,Bud Higgins,,,7th October 1971,6'2'' (1.88 m),
12622,unknown,Tamaulipas (Mexico),,Eddie López Jr.,,,,,
12623,Henry Eugene Bowman,"Chattanooga, Tennessee (United States of America)",10th July 1910,Gene Bowman,240 lbs. (109 kg) at 6'2'' (1.88 m),,15th October 1962,,
12624,unknown,,,Joe Cox,,,,,
12625,unknown,,,George Ligosky,,,,,
12626,unknown,,,Charlie Heard,,,,,
12627,Joseph William Robinson Harle,"Newcastle upon Tyne, Tyne and Wear, England (United Kingdom)",31st May 1927,Tiger Joe Robinson,,,3rd July 2017,6'2'' (1.88 m),
12628,unknown,,,Jock Ward,,,,,
12629,Joseph Alphonsus Doyle,"Cobh, Cork (Ireland)",31st August 1913,Jack Doyle,,,13th December 1978,,
12630,unknown,,,Martin Bucht,,,,,
12631,Aylin Rocio Montañez Aranda,"Tampico, Tamaulipas (Mexico)",20th August 1995 (age 26),Baby Puma ,,2008,,,
12632,Selena Verónica Quintanilla Lozano,"Monterrey, Nuevo León (Mexico)",18th April 1995 (age 26),Lady Jaguar ,110 lbs. (50 kg) at 5'0'' (1.52 m),2008,,,
12634,Karla Shadai Silver,Andalucía (Spain),15th February 1995 (age 27),Dark Fantasy ,,5th March 2008 (14 years ago),,,
12635,unknown,Mexico,,Sexy Queen ,,,,,
12636,unknown,"Aberdeen, Aberdeen, Scotland (United Kingdom)",,CJ Hunter,176 lbs. (80 kg) at 6'0'' (1.83 m),,,,
12637,Rosemary Ann Sexton,"Manchester, Greater Manchester, England (United Kingdom)",16th July 1977 (age 44),Rosi Sexton ,125 lbs. (57 kg) at 5'4'' (1.63 m),11th May 2002 (19 years ago),,,
12640,Alonzo Martinez,"Omaha, Nebraska (United States of America)",22nd April 1984 (age 37),Alonzo Martinez,155 lbs. (70 kg) at 5'10'' (1.78 m),15th March 2003 (19 years ago),,,
12641,Matt Makowski,"Philadelphia, Pennsylvania (United States of America)",,Matt Makowski,215 lbs. (98 kg) at 5'11'' (1.80 m),28th July 2007 (14 years ago),,,
12642,Ben Greer,Canada,24th October 1984 (age 37),Ben Greer,145 lbs. (66 kg) at 5'9'' (1.75 m),12th October 2003 (18 years ago),,,
12643,Joseph Angel Soto,"Porterville, California (United States of America)",22nd March 1987 (age 34),Joe Soto,145 lbs. (66 kg) at 5'8'' (1.73 m),16th July 2006 (15 years ago),,,
12644,Luis Palomino,Peru,9th October 1980 (age 41),Luis Palomino,145 lbs. (66 kg) at 5'8'' (1.73 m),24th June 2006 (15 years ago),,,
12645,Douglas Ivan Hepburn,,1926,Doug Hepburn,,,??th November 2000,,
12646,Yahir Reyes,"Tijuana, Baja California (Mexico)",14th August 1985 (age 36),Yahir Reyes,145 lbs. (66 kg) at 5'7'' (1.70 m),8th September 2002 (19 years ago),,,
12647,Nick González,"Austin, Texas (United States of America)",3rd March 1981 (age 41),Nick González,145 lbs. (66 kg) at 5'6'' (1.68 m),17th November 2001 (20 years ago),,,
12648,Greg Loughran,"Londonderry, Northern Ireland (United Kingdom)",5th November 1983 (age 38),Greg Loughran,155 lbs. (70 kg) at 6'0'' (1.83 m),31st August 2002 (19 years ago),,,
12649,unknown,,,Andy Brown,,,,,
12651,Nick Agallar,"Racine, Wisconsin (United States of America)",13th January 1979 (age 43),Nick Agallar,155 lbs. (70 kg) at 5'8'' (1.73 m),4th December 1999 (22 years ago),,,
12652,unknown,,,Howard Burnell,,,,,
12653,Joseph Vance Chorre Jr.,"Los Angeles, California (United States of America)",14th November 1914,Suni War Cloud,231 lbs. (105 kg) at 6'2'' (1.88 m),,14th June 1987,,
12654,unknown,"Minneapolis, Minnesota (United States of America)",,Millie Stafford ,135 lbs. (61 kg) at 5'3'' (1.60 m),,,,
12657,Yuya Shirai,Aichi (Japan),2nd April 1980 (age 41),Yuya Shirai,170 lbs. (77 kg) at 5'9'' (1.75 m),15th September 2003 (18 years ago),,,
12659,Seichi Ikemoto,"Matsubara, Osaka (Japan)",24th August 1975 (age 46),Seichi Ikemoto,170 lbs. (77 kg) at 5'11'' (1.80 m),29th October 1999 (22 years ago),,,
12661,Daiki Hata,"Saitama, Saitama (Japan)",24th August 1982 (age 39),DJ.taiki,145 lbs. (66 kg) at 5'8'' (1.73 m),15th October 2004 (17 years ago),,,
12662,Shungo Oyama,Tochigi (Japan),11th April 1982 (age 39),Shungo Oyama,185 lbs. (84 kg) at 5'11'' (1.80 m),24th February 2001 (21 years ago),,,
12663,Vitor Ribeiro,"Río de Janeiro, Río de Janeiro (Brazil)",24th February 1979 (age 43),Vitor Ribeiro,155 lbs. (70 kg) at 5'8'' (1.73 m),3rd November 2001 (20 years ago),,,
12665,Jason Chambers,"Chicago, Illinois (United States of America)",23rd March 1980 (age 41),Jason Chambers,170 lbs. (77 kg) at 6'0'' (1.83 m),3rd April 1998 (23 years ago),,,
12666,Rafael Dias,"Río de Janeiro, Río de Janeiro (Brazil)",20th October 1979 (age 42),Rafael Dias,145 lbs. (66 kg) at 5'9'' (1.75 m),1st May 2004 (17 years ago),,,
12667,Emile George Zeimes,Brasov (Romania),15th July 1909,King Kong Czaya,400 lbs. (181 kg) at 6'0'' (1.83 m),,15th May 1970,,
12668,Susie Mae McCoy,"Cayce, South Carolina (United States of America)",16th December 1938,Sweet Georgia Brown ,145 lbs. (66 kg) at 5'8'' (1.73 m),1958,25th July 1989,,
12669,unknown,Mexico,1987,Grecia,,2004,,,
12670,unknown,,,Hans Green,,,,,
12672,Rani Ahmad Yahya,"Brasília, Distrito Federal (Brazil)",12th September 1984 (age 37),Rani Yahya,145 lbs. (66 kg) at 5'6'' (1.68 m),17th April 2004 (17 years ago),,,
12673,Fredson Paixão Melo,"Parintins, Amazonas (Brazil)",13th May 1979 (age 42),Fredson Paixão,145 lbs. (66 kg) at 5'6'' (1.68 m),15th May 2004 (17 years ago),,,
12675,Ivan López,"Tijuana, Baja California (Mexico)",,Ivan López,135 lbs. (61 kg) at 5'6'' (1.68 m),8th September 2002 (19 years ago),,,
12676,Jameel Badih Massouh,"Milwaukee, Wisconsin (United States of America)",12th September 1984 (age 37),Jameel Massouh,145 lbs. (66 kg) at 5'10'' (1.78 m),19th February 2005 (17 years ago),,,
12680,Victor Meza,California (United States of America),13th August 1982 (age 39),Victor Meza,170 lbs. (77 kg) at 6'0'' (1.83 m),13th October 2007 (14 years ago),,,
12682,Aaron Romero,United States of America,26th July 1972 (age 49),Aaron Romero,170 lbs. (77 kg) at 6'1'' (1.85 m),11th December 2004 (17 years ago),,,
12683,unknown,Texas (United States of America),,Dane Griffin,240 lbs. (109 kg) at 6'0'' (1.83 m),31st March 2007 (14 years ago),,,
12684,unknown,"Chicago, Illinois (United States of America)",4th August ???,Tyson Jaymes,235 lbs. (107 kg) at 5'8'' (1.73 m),2003,,,
12685,unknown,"Stockton, California (United States of America)",14th January ???,Matt Emerald,230 lbs. (104 kg) at 6'1'' (1.85 m),??th August 2005,,,
12686,Jonathan Vargas,,??th July 1988,JV Rich,,,,,
12687,unknown,,,Maui,,,,,
12688,unknown,,,Cousin Cassie ,,,,,
12689,unknown,,,Lil Slamm,,,,,
12691,Jorge Ortiz,Mexico,6th October 1976 (age 45),Jorge Ortiz,170 lbs. (77 kg) at 6'1'' (1.85 m),26th April 2002 (19 years ago),,,
12692,Héctor Urbina,Mexico,17th September 1987 (age 34),Héctor Urbina,170 lbs. (77 kg) at 6'0'' (1.83 m),2nd September 2006 (15 years ago),,,
12694,Thomas Schulte,"Albuquerque, New Mexico (United States of America)",13th January 1981 (age 41),Thomas Schulte,155 lbs. (70 kg) at 5'9'' (1.75 m),19th August 2001 (20 years ago),,,
12696,Henry Justin Martinez,"Española, New Mexico (United States of America)",7th August 1983 (age 38),Henry Martinez,155 lbs. (70 kg) at 5'7'' (1.70 m),4th August 2006 (15 years ago),,,
12697,unknown,"Las Vegas, Nevada (United States of America)",,Volt Vegas,253 lbs. (115 kg) at 6'4'' (1.93 m),19th October 2008 (13 years ago),,,
12698,unknown,"Nanaimo, British Columbia (Canada)",13th November ???,Scott Steel,180 lbs. (82 kg) at 5'8'' (1.73 m),2002,,,
12700,Soledad Azucena Bautista Armas,Zacatecas (Mexico),10th December 1993 (age 28),Sucii Love ,,2007,,,
12702,Buck Meredith,"Temecula, California (United States of America)",17th May 1982 (age 39),Buck Meredith,185 lbs. (84 kg) at 6'2'' (1.88 m),29th June 2003 (18 years ago),,,
12706,Wagner da Conceição Martins,"São Luís, Maranhão (Brazil)",19th May 1978 (age 43),Zuluzinho,410 lbs. (186 kg) at 6'7'' (2.01 m),13th March 2004 (18 years ago),,,
12707,unknown,"London, Greater London, England (United Kingdom)",,Jet Logan,220 lbs. (100 kg) at 6'5'' (1.96 m),2004,,,
12708,unknown,"London, Greater London, England (United Kingdom)",,DKJ,205 lbs. (93 kg) at 6'2'' (1.88 m),,,,
12710,unknown,"London, Greater London, England (United Kingdom)",,Ananya ,159 lbs. (72 kg) at 5'6'' (1.68 m),,,,
12711,Clarence Everett Cox,"Kansas City, Missouri (United States of America)",28th October 1900,Joe Cox,,,31st August 1945,,236 lbs. (107 kg)
12712,Leon Eugene Graham,"Chillicothe, Ohio (United States of America)",31st December 1928,Leon Graham,,26th March 1954 (67 years ago),6th February 1993,,
12713,George Michael Macricostas,Athína (Greece),1st January 1916,George Macricostas,218 lbs. (99 kg) at 5'9'' (1.75 m),,18th October 1960,,
12714,unknown,,,Bill Collins,,,,,
12715,unknown,"Toronto, Ontario (Canada)",11th November 1928,Lou Pitoscia,255 lbs. (116 kg) at 6'0'' (1.83 m),,28th July 2005,,
12716,Patrick Meehan,"Edmonton, Alberta (Canada)",1908,Pat Meehan,,,10th January 1974,,
12717,unknown,"Ada, Oklahoma (United States of America)",,Kunna Keyoh,215 lbs. (98 kg) at 5'10'' (1.78 m),31st March 2007 (14 years ago),,,
12718,unknown,"St. Louis, Missouri (United States of America)",,Ronnie Storm,,29th March 2008 (13 years ago),,,170 lbs. (77 kg)
12719,unknown,United States of America,24th August ???,Randy Price,225 lbs. (102 kg) at 6'1'' (1.85 m),10th May 2008 (13 years ago),,,
12720,unknown,"Philadelphia, Pennsylvania (United States of America)",9th August 1969 (age 52),Mike Iles,,18th June 2004 (17 years ago),,,
12721,unknown,"Ventura, California (United States of America)",12th November ???,Austin Tacious,210 lbs. (95 kg) at 6'0'' (1.83 m),,,,
12722,unknown,"Camden, New Jersey (United States of America)",11th July ???,Xavior,210 lbs. (95 kg) at 5'9'' (1.75 m),1st September 2007 (14 years ago),,,
12723,unknown,"Eufaula, Oklahoma (United States of America)",25th July ???,Kevin Morgan,295 lbs. (134 kg) at 6'5'' (1.96 m),27th May 2007 (14 years ago),,,
12724,unknown,"Ardmore, Oklahoma (United States of America)",14th February ???,Ky-ote,208 lbs. (94 kg) at 5'10'' (1.78 m),2007,,,
12726,unknown,"San Luis Potosí, San Luis Potosí (Mexico)",24th November ???,Javi Hernández,221 lbs. (100 kg) at 5'11'' (1.80 m),31st March 2007 (14 years ago),,,
12727,unknown,"Moore, Oklahoma (United States of America)",5th May ???,Shane Rawls,250 lbs. (113 kg) at 6'4'' (1.93 m),2nd July 2006 (15 years ago),,,
12729,unknown,"Indianapolis, Indiana (United States of America)",16th June ???,Brock Landers,162 lbs. (73 kg) at 5'8'' (1.73 m),??th June 2003,,,
12730,unknown,"Miami, Florida (United States of America)",27th June ???,Jason Kirby,135 lbs. (61 kg) at 5'7'' (1.70 m),2007,,,
12731,unknown,"Tucson, Arizona (United States of America)",10th September ???,Les Mayne,230 lbs. (104 kg) at 5'9'' (1.75 m),25th May 2007 (14 years ago),,,
12732,Larry Mitchell,"Minneapolis, Minnesota (United States of America)",13th May 1987 (age 34),Lars Manderson,245 lbs. (111 kg) at 6'4'' (1.93 m),31st January 2009 (13 years ago),,,
12734,unknown,"Chicago, Illinois (United States of America)",9th December 1987 (age 34),Tyson Armstrong,275 lbs. (125 kg) at 6'0'' (1.83 m),??th August 2004,,,
12735,unknown,"Fresno, California (United States of America)",25th May 1975 (age 46),Michael York,238 lbs. (108 kg) at 6'4'' (1.93 m),??th August 2005,,,
12736,unknown,Oklahoma (United States of America),20th June ???,Jon Cross,200 lbs. (91 kg) at 6'0'' (1.83 m),??th April 2007,,,
12737,unknown,"Tahlequah, Oklahoma (United States of America)",31st May ???,Fuel,175 lbs. (79 kg) at 5'9'' (1.75 m),??th May 2001,,,
12738,unknown,"Medicine Hat, Alberta (Canada)",,Canadian Red Devil,217 lbs. (98 kg) at 6'4'' (1.93 m),27th June 2004 (17 years ago),,,
12739,unknown,"Tahlequah, Oklahoma (United States of America)",30th April ???,Anarchy 2nd,169 lbs. (77 kg) at 5'11'' (1.80 m),??th May 2002,,,
12740,unknown,Oklahoma (United States of America),30th November ???,Damien Morte,150 lbs. (68 kg) at 6'0'' (1.83 m),14th October 2006 (15 years ago),,,
12741,unknown,"Broken Arrow, Oklahoma (United States of America)",17th June ???,Ray Martinez,177 lbs. (80 kg) at 5'10'' (1.78 m),7th May 2003 (18 years ago),,,
12742,unknown,"Verdigris, Oklahoma (United States of America)",27th June ???,Reckless,,8th November 2002 (19 years ago),,,215 lbs. (98 kg)
12743,unknown,"Monterrey, Nuevo León (Mexico)",23rd March ???,Jesús Rodríguez,213 lbs. (97 kg) at 5'8'' (1.73 m),20th October 2007 (14 years ago),,,
12744,unknown,"Verdigris, Oklahoma (United States of America)",27th June ???,Ignition,,8th November 2002 (19 years ago),,,215 lbs. (98 kg)
12745,unknown,"Tulsa, Oklahoma (United States of America)",5th December ???,Christopher Fox,200 lbs. (91 kg) at 5'10'' (1.78 m),1985,,,
12746,unknown,"Austin, Texas (United States of America)",22nd September ???,Harley Johnson,260 lbs. (118 kg) at 6'7'' (2.01 m),1990,,,
12747,Louis Papineau,"Windsor, Ontario (Canada)",1928,Gino Nicolini,218 lbs. (99 kg) at 5'10'' (1.78 m),,7th March 1964,,
12748,unknown,,,Leo Alexander,,,XXXX,,
12750,Ricardo Arona,"Niterói, Río de Janeiro (Brazil)",17th July 1978 (age 43),Ricardo Arona,205 lbs. (93 kg) at 5'11'' (1.80 m),20th April 2000 (21 years ago),,,
12751,Alexandre Franca Nogueira,Brazil,15th January 1978 (age 44),Alexandre Franca Nogueira,145 lbs. (66 kg) at 5'7'' (1.70 m),26th April 1998 (23 years ago),,,
12753,unknown,,,Willi Halmann,,,10th April 1937,,
12759,unknown,"Frontenac, Kansas (United States of America)",,Skrappy Kanine,230 lbs. (104 kg) at 5'9'' (1.75 m),,,,
12760,Shin'ichi Kojima,"Yokohama, Kanagawa (Japan)",6th February 1979 (age 43),Shin'ichi Kojima,125 lbs. (57 kg) at 5'4'' (1.63 m),31st October 2003 (18 years ago),,,
12761,Rodrigo Damm,"Vila Velha, Espírito Santo (Brazil)",3rd February 1980 (age 42),Rodrigo Damm,155 lbs. (70 kg) at 5'8'' (1.73 m),23rd October 2004 (17 years ago),,,
12762,James R. Wilson,"Pittston, Pennsylvania (United States of America)",,Wee Willie Wilson,,,6th May 1993,,
12765,Joseph Paul Carollo,"Wyandotte, Michigan (United States of America)",25th March 1940 (age 81),Joe Carollo,,,,,
12766,Donald John Chuy,"Newark, New Jersey (United States of America)",20th July 1941,Don Chuy,,,6th January 2014,,
12767,unknown,"Bognor Regis, West Sussex, England (United Kingdom)",,Rock Steady Eddy,266 lbs. (121 kg) at 6'3'' (1.91 m),,,,
12768,unknown,United Kingdom,,A.D.,236 lbs. (107 kg) at 6'2'' (1.88 m),,,,
12769,unknown,United Kingdom,,Bryan Clark,,,,6'7'' (2.01 m),
12770,Dave Crespin,United Kingdom,,Dave Crespin,,,,,
12771,unknown,Nuevo León (Mexico),,Dreamer,,2008,,,
12772,unknown,Nuevo León (Mexico),,La Rebelde ,132 lbs. (60 kg) at 5'4'' (1.63 m),19th February 2007 (15 years ago),,,
