,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Height,Weight
11784,Andy Ologun,Ibadan (Nigeria),12th June 1983 (age 38),Andy Ologun,170 lbs. (77 kg) at 5'11'' (1.80 m),31st December 2006 (15 years ago),,,
11785,Bobby Kanda,Ibadan (Nigeria),8th April 1966 (age 55),Bobby Ologun,215 lbs. (98 kg) at 6'1'' (1.85 m),31st December 2004 (17 years ago),,,
11790,unknown,"Myrtle Beach, South Carolina (United States of America)",,Chris Taylor,154 lbs. (70 kg) at 5'9'' (1.75 m),2001,,,
11792,unknown,Pennsylvania (United States of America),,Kid Cupid,,??th September 1999,,6'1'' (1.85 m),
11794,José Erasmo Mejía Márquez,Mexico,,Corzo #1,,,22nd April 2003,,
11795,Akihito Tanaka,"Fukuoka, Fukuoka (Japan)",9th March 1983 (age 39),Akihito Tanaka,205 lbs. (93 kg) at 6'1'' (1.85 m),31st December 2008 (13 years ago),,,
11796,Tsuyoshi Kosaka,Japan,6th March 1970 (age 52),Tsuyoshi Kosaka,225 lbs. (102 kg) at 5'11'' (1.80 m),24th December 1994 (27 years ago),,,
11797,unknown,United States of America,,Ken Hollis,,,,,
11798,unknown,"Saguenay, Quebec (Canada)",,Kacey Diamond ,125 lbs. (57 kg) at 5'2'' (1.57 m),2003,,,
11799,unknown,"Shawinigan, Quebec (Canada)",14th January 1990 (age 32),Éve ,150 lbs. (68 kg) at 5'9'' (1.75 m),2006,,,
11800,unknown,"Saint-Louis-de-Gonzague, Quebec (Canada)",,Charlotte Lamothe ,250 lbs. (113 kg) at 5'8'' (1.73 m),2004,,,
11802,unknown,"Shawinigan, Quebec (Canada)",,Karen Brooks ,118 lbs. (54 kg) at 4'11'' (1.50 m),2007,,,
11804,unknown,Newfoundland and Labrador (Canada),,Freddie Youngblood,,,,,
11805,unknown,,,Jon Magnus,,,,,
11806,unknown,Canada,,Tony King,,,,,
11807,unknown,Newfoundland and Labrador (Canada),,Loco,,,,,
11808,unknown,Canada,,Johnny Chaos,,,,,
11810,unknown,Canada,,Gerald B. ONeill,,30th June 2004 (17 years ago),,,
11811,Steve Clarke,"St. Johns, Newfoundland and Labrador (Canada)",,Lance Romance,184 lbs. (83 kg) at 5'11'' (1.80 m),,,,
11812,unknown,Newfoundland and Labrador (Canada),,Metal Gear,,,,,
11813,unknown,Canada,,Mike Skye,,,,,
11815,Andrew Hawkins,"St. Johns, Newfoundland and Labrador (Canada)",17th November 1986 (age 35),Andrew Hawkes,187 lbs. (85 kg) at 5'8'' (1.73 m),,,,
11816,unknown,Canada,,JXP,,,,,
11817,unknown,"Kitsuki, Oita (Japan)",20th July 1983 (age 38),Yoshiyasu Shimizu,165 lbs. (75 kg) at 5'4'' (1.63 m),16th June 2007 (14 years ago),,,
11819,unknown,,,Scott Braddock,,,,,
11822,unknown,"Hamar, Hedmark (Norway)",1978,Kaptein Knoke,231 lbs. (105 kg) at 5'11'' (1.80 m),,,,
11823,unknown,"Fetsund, Akershus (Norway)",1984,Bønna Ramhaug,243 lbs. (110 kg) at 6'0'' (1.83 m),,,,
11825,Joey Villaseñor,"Albuquerque, New Mexico (United States of America)",17th October 1975 (age 46),Joey Villaseñor,185 lbs. (84 kg) at 6'0'' (1.83 m),17th April 1999 (22 years ago),,,
11826,unknown,,,Dean Druken,,,,,
11827,unknown,,,Mike Burry,,,,,
11828,unknown,Canada,,Nick Dyson,,,,,
11829,Kaitlin R. Young,"Circle Pines, Minnesota (United States of America)",15th September 1985 (age 36),Kaitlin Young ,135 lbs. (61 kg) at 5'9'' (1.75 m),4th October 2007 (14 years ago),,,
11830,Yoshiro Maeda,"Takamatsu, Kagawa (Japan)",31st October 1981 (age 40),Yoshiro Maeda,135 lbs. (61 kg) at 5'7'' (1.70 m),16th February 2003 (19 years ago),,,
11834,Po'ai Suganuma,"Hilo, Hawaii (United States of America)",9th September 1981 (age 40),Po'ai Suganuma,205 lbs. (93 kg) at 6'2'' (1.88 m),27th August 2005 (16 years ago),,,
11835,Katsuhiko Nagata,"Togane, Chiba (Japan)",31st October 1973 (age 48),Katsuhiko Nagata,155 lbs. (70 kg) at 5'7'' (1.70 m),4th January 2005 (17 years ago),,,
11836,Mizuto Hirota,"Isahaya, Nagasaki (Japan)",5th May 1981 (age 40),Mizuto Hirota,145 lbs. (66 kg) at 5'7'' (1.70 m),6th February 2005 (17 years ago),,,
11838,Ian William Freeman,"Sunderland, Tyne and Wear, England (United Kingdom)",10th November 1966 (age 55),Ian Freeman,205 lbs. (93 kg) at 5'11'' (1.80 m),27th July 1999 (22 years ago),,,
11840,Errol Zimmerman,Paramaribo (Suriname),20th April 1986 (age 35),Errol Zimmerman,240 lbs. (109 kg) at 6'3'' (1.91 m),31st December 2008 (13 years ago),,,
11843,Dong Sik Yoon,Seoul (South Korea),24th August 1972 (age 49),Dong Sik Yoon,185 lbs. (84 kg) at 6'0'' (1.83 m),23rd April 2005 (16 years ago),,,
11844,Andrews Nakahara,"Mogi das Cruzes, São Paulo (Brazil)",12th March 1983 (age 39),Andrews Nakahara,170 lbs. (77 kg) at 6'0'' (1.83 m),29th April 2008 (13 years ago),,,
11846,Luiz Firmino,Brazil,18th March 1982 (age 39),Luiz Firmino,155 lbs. (70 kg) at 5'8'' (1.73 m),27th May 2000 (21 years ago),,,
11849,Franz Blonner,"München, Bayern (Germany)",10th April 1868,Franz Blonner,,,1944,,
11850,unknown,"Vancouver, British Columbia (Canada)",,Bam Bam Bambi ,140 lbs. (64 kg) at 5'6'' (1.68 m),2000,,,
11851,Jon McCausland,"Toronto, Ontario (Canada)",1981,Osiris,,,,,
11855,unknown,Quebec (Canada),,Nightmare,,,,,
11856,Matt Jewell,,31st August 1935,Bearcat Brown,,,7th April 1996,,245 lbs. (111 kg)
11857,Mitsuhiro Ishida,"Tsukuba, Ibaraki (Japan)",29th December 1978 (age 43),Mitsuhiro Ishida,145 lbs. (66 kg) at 5'6'' (1.68 m),6th July 2001 (20 years ago),,,
11859,Taiei Kin,"Amagasaki, Hyogo (Japan)",8th July 1970 (age 51),Taiei Kin,185 lbs. (84 kg) at 5'11'' (1.80 m),5th August 2006 (15 years ago),,,
11860,Takeshi Yamazaki,Japan,25th May 1977 (age 44),Takeshi Yamazaki,145 lbs. (66 kg) at 5'9'' (1.75 m),8th April 2001 (20 years ago),,,
11862,Bu Kyung Jung,Seoul (South Korea),26th May 1978 (age 43),Bu Kyung Jung,155 lbs. (70 kg) at 5'7'' (1.70 m),31st December 2007 (14 years ago),,,
11863,Dae Won Kim,South Korea,1st November 1979 (age 42),Dae Won Kim,185 lbs. (84 kg) at 5'11'' (1.80 m),30th August 2003 (18 years ago),,,
11864,Hidetaka Monma,"Tokyo, Tokyo (Japan)",23rd October 1973 (age 48),Hidetaka Monma,170 lbs. (77 kg) at 6'0'' (1.83 m),21st September 2001 (20 years ago),,,
11865,Ian Murphy,United States of America,14th June 1985 (age 36),Ian Murphy,185 lbs. (84 kg) at 5'11'' (1.80 m),29th April 2008 (13 years ago),,,
11866,Jimmy Ambriz,"Huntington Beach, California (United States of America)",26th October 1970 (age 51),Jimmy Ambriz,275 lbs. (125 kg) at 6'1'' (1.85 m),28th April 2001 (20 years ago),,,
11869,Alavutdin Gadjiev,"Chabarowsk, Chabarowsk (Russia)",23rd February 1982 (age 40),Alavutdin Gadjiev,185 lbs. (84 kg) at 6'0'' (1.83 m),5th June 2004 (17 years ago),,,
11870,Andre Amade,"Río de Janeiro, Río de Janeiro (Brazil)",9th October 1983 (age 38),Andre Amade,155 lbs. (70 kg) at 5'8'' (1.73 m),9th April 2004 (17 years ago),,,
11872,Artur Oumakhanov,Russia,27th February 1979 (age 43),Artur Oumakhanov,155 lbs. (70 kg) at 5'7'' (1.70 m),5th June 2004 (17 years ago),,,
11873,Atsushi Yamamoto,Shiga (Japan),2nd October 1980 (age 41),Atsushi Yamamoto,135 lbs. (61 kg) at 5'6'' (1.68 m),6th February 2004 (18 years ago),,,
11876,unknown,Mexico,,Gizza,,,,5'1'' (1.55 m),
11877,unknown,Mexico,,Drago,,2006,,,
11878,unknown,Mexico,,Beta,,2005,,,
11882,Sanae Kikuta,"Tokyo, Tokyo (Japan)",10th September 1971 (age 50),Sanae Kikuta,200 lbs. (91 kg) at 5'9'' (1.75 m),30th March 1996 (25 years ago),,,
11883,Yoshihiro Nakao,"Tokyo, Tokyo (Japan)",25th July 1972 (age 49),Yoshihiro Nakao,220 lbs. (100 kg) at 5'11'' (1.80 m),31st December 2003 (18 years ago),,,
11885,Ken Baldwin,"Wigan, Greater Manchester, England (United Kingdom)",12th October 1933 (age 88),Tony Zale,,,,,
11886,unknown,Portugal,,Kid Zamboa,,,,,
11887,unknown,Poland,1931,Warnia Zarzecki,,,2016,6'2'' (1.88 m),
11888,unknown,Bulgaria,,Nicolai Zigulinoff,,,17th June 1980,,
11889,Ernal Stephens,Sierra Leone,,Honey Boy Zimba,217 lbs. (98 kg) at 5'7'' (1.70 m),,1999,,
11890,Bob Abbott,"Nottingham, Nottinghamshire, England (United Kingdom)",,Bob Abbott,,,??th October 2003,,
11891,unknown,Lahore (Pakistan),1937,Majid Ackra,,,,,
11893,Sergey Golyaev,"St. Petersburg, St. Petersburg (Russia)",3rd November 1981 (age 40),Sergey Golyaev,155 lbs. (70 kg) at 6'0'' (1.83 m),28th June 2001 (20 years ago),,,
11895,Mu Bae Choi,Seoul (South Korea),27th June 1970 (age 51),Mu Bae Choi,255 lbs. (116 kg) at 6'3'' (1.91 m),15th February 2004 (18 years ago),,,
11896,Yukiya Naito,Japan,28th February 1983 (age 39),Yukiya Naito,205 lbs. (93 kg) at 6'1'' (1.85 m),12th May 2002 (19 years ago),,,
11898,Seigo Inoue,"Omura, Nagasaki (Japan)",8th October 1986 (age 35),Seigo Inoue,155 lbs. (70 kg) at 5'9'' (1.75 m),25th December 2005 (16 years ago),,,
11899,Minoru Kato,Japan,11th November 1980 (age 41),Minoru Kato,205 lbs. (93 kg) at 6'3'' (1.91 m),29th April 2006 (15 years ago),,,
11900,unknown,Quebec (Canada),24th February 1955,Pierre Lefebvre,233 lbs. (106 kg) at 5'10'' (1.78 m),1972,20th December 1985,,
11901,Alexandre Barros,"Río de Janeiro, Río de Janeiro (Brazil)",1976,Alexandre Barros,170 lbs. (77 kg) at 5'9'' (1.75 m),27th April 1999 (22 years ago),,,
11903,Ivan Serati,"Monza, Lombardia (Italy)",,Ivan Serati,205 lbs. (93 kg) at 6'1'' (1.85 m),20th May 2006 (15 years ago),,,
11904,Thomas Egan,"Kildare, Kildare (Ireland)",,Tom Egan,170 lbs. (77 kg) at 5'11'' (1.80 m),1st March 2008 (14 years ago),,,
11906,unknown,,,Gordo Chihuahua,,,,,
11908,unknown,,,Nano Ortega,220 lbs. (100 kg) at 5'8'' (1.73 m),1950,,,
11909,unknown,,,Ian Weston,,,,,
11910,unknown,,,Rex Cooper,,,,,
11911,unknown,Georgia (United States of America),,Johnny Blaze,,,,,
11913,Elmer D. Brown,Texas (United States of America),??th September 1888,Elmer Brown,,,5th May 1923,,
11915,Pat McMahon,"Newtownbutler, Fermanagh, Northern Ireland (United Kingdom)",3rd May 1937,Shillelagh O'Sullivan,,,11th March 2012,,
11916,unknown,,,Lou Anthony,,,,,
11918,Joseph Lesperance,,,Joe Lesperance,,,28th June 2008,,
11919,unknown,,,Bengalí,,,,,
11920,Shuji Joe Nozawa,"Los Angeles, California (United States of America)",28th December 1922,Fuji Nozawa,,,7th May 2008,5'10'' (1.78 m),
11922,Joseph A. Ball Jr.,,,Joe Ball,,,4th November 2008,,
11923,Robert Logan Kenaston Jr.,"Springfield, Nebraska (United States of America)",12th September 1907,Bob Kenaston,190 lbs. (86 kg) at 6'0'' (1.83 m),,??th November 1982,,
11924,unknown,,,Patrick Miller,,,17th August 2008,,
11926,John August Witte,"Buffalo, Wyoming (United States of America)",29th January 1933,John Witte,235 lbs. (107 kg) at 6'3'' (1.91 m),,17th March 1993,,
11927,Harold Edwin Davidson,"Carlisle, Indiana (United States of America)",11th February 1908,Buck Davidson,178 lbs. (81 kg) at 5'7'' (1.70 m),,12th May 1989,,
11928,unknown,,,Paul Kowalski,,,,,
11929,unknown,New York (United States of America),24th May 1958 (age 63),Joe Cagle,,,,,
11930,unknown,,,Tina Carr ,,,,,
11931,unknown,South Africa,,Willie Liebenberg,235 lbs. (107 kg) at 6'0'' (1.83 m),,,,
11932,unknown,Nebraska (United States of America),1889,Billy Edwards,,,21st January 1941,,
11933,unknown,,,Emil Grikis,,,XXXX,,
11934,unknown,Italy,,Lino DiSanto,,,,,
11935,Joseph Carroll Marsh,"Lancashire, England (United Kingdom)",,Joe Carroll,,,,,
11936,unknown,,,Peter Götz,,,,,
11938,Dale F. Patrick,,29th September 1923,Billy Rolling Thunder,235 lbs. (107 kg) at 6'1'' (1.85 m),,4th October 1998,,
11939,unknown,,3rd October 1958,Time Traveler,230 lbs. (104 kg) at 5'10'' (1.78 m),1979,8th November 2018,,
11940,Giovanni Giuseppe Bonica,"Lipari, Sicilia (Italy)",16th February 1917,Dr. John Bonica,,,15th August 1994,,
11942,unknown,,,Herve Renesto,,,,,
11946,John Edward Kelly,,15th December 1862,Jack Dempsey,140 lbs. (64 kg) at 5'8'' (1.73 m),,1st November 1895,,
11947,Leo Thompson Mortensen,"Battle Creek, Iowa (United States of America)",2nd February 1914,Leo Mortensen,185 lbs. (84 kg) at 6'1'' (1.85 m),1925,22nd February 1948,,
11948,Patrick Speight,"San Diego, California (United States of America)",,Patrick Speight,170 lbs. (77 kg) at 6'1'' (1.85 m),15th October 2005 (16 years ago),,,
11949,Brett Cooper,"Long Beach, California (United States of America)",7th March 1982 (age 40),Brett Cooper,170 lbs. (77 kg) at 6'0'' (1.83 m),15th October 2005 (16 years ago),,,
11950,Antonio Duarte,"Tijuana, Baja California (Mexico)",,Antonio Duarte,145 lbs. (66 kg) at 5'7'' (1.70 m),1st April 2006 (15 years ago),,,
11951,Albert Rios,"Los Angeles, California (United States of America)",,Albert Rios,135 lbs. (61 kg) at 5'8'' (1.73 m),3rd June 2004 (17 years ago),,,
11952,La Carvas Rashad Davis,"Kansas City, Kansas (United States of America)",28th October 1980 (age 41),LC Davis,145 lbs. (66 kg) at 5'8'' (1.73 m),25th February 2006 (16 years ago),,,
11958,Kirill Sidelnikov,"Stary Oskol, Belgorod (Russia)",17th August 1988 (age 33),Kirill Sidelnikov,230 lbs. (104 kg) at 5'11'' (1.80 m),20th January 2007 (15 years ago),,,
11964,Matthew Annis,"Calgary, Alberta (Canada)",17th May 1983,Matthew Annis,,,15th July 1996,,
11965,Tom Benninghaus,"Waco, Texas (United States of America)",,Tough Tom,280 lbs. (127 kg) at 6'0'' (1.83 m),,,,
11966,Kenny Rice,United States of America,,Kenny Rice,,,,,
