,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Weight,Height
23876,unknown,"London, Greater London, England (United Kingdom)",,White Stevens III.,240 lbs. (109 kg) at 5'9'' (1.75 m),,,,
23877,unknown,"London, Greater London, England (United Kingdom)",,Brick Andrews,260 lbs. (118 kg) at 5'5'' (1.65 m),,,,
23878,unknown,"Coventry, West Midlands, England (United Kingdom)",12th July 1994 (age 27),Tomas James Sky,147 lbs. (67 kg) at 5'11'' (1.80 m),??th October 2010,,,
23879,unknown,United Kingdom,,The Nail,185 lbs. (84 kg) at 5'10'' (1.78 m),,,,
23880,unknown,United Kingdom,,Jimmy Grimm,296 lbs. (134 kg) at 6'3'' (1.91 m),,,,
23881,unknown,"London, Greater London, England (United Kingdom)",,Tommy Martins,220 lbs. (100 kg) at 6'2'' (1.88 m),,,,
23883,unknown,"Ciudad de México, Ciudad de México (Mexico)",13th March 1984 (age 38),Serpiente de Oro,,,,,
23884,unknown,United Kingdom,,Wrecker,197 lbs. (89 kg) at 5'10'' (1.78 m),,,,
23885,unknown,,,Julio Rodríguez,,,,,
23886,unknown,,,Pancho Vasquez,,,,,
23887,José Luis Llancanao Reyes,Chile,,José Luis Llancanao,,,,,
23888,unknown,United States of America,,Xavier Mustafa,,,,,6'4'' (1.93 m)
23889,Gary Fergie,Tennessee (United States of America),,Gary Fergie,,,,,
23892,unknown,,,Tyler McQuade,,,,,
23893,unknown,"New York City, New York (United States of America)",,Vince Steele,425 lbs. (193 kg) at 6'6'' (1.98 m),,,,
23894,unknown,"Union City, New Jersey (United States of America)",,Neeno Capone,190 lbs. (86 kg) at 5'9'' (1.75 m),,,,
23895,Malik Williams,"New York City, New York (United States of America)",14th November 1984 (age 37),Jamal Jackson,270 lbs. (122 kg) at 5'10'' (1.78 m),,,,
23896,Anthony Ilarda,"Bogotá, Distrito Capital (Columbia)",,FNB,280 lbs. (127 kg) at 5'11'' (1.80 m),,,,
23897,unknown,Panama,,Tito Escondido,230 lbs. (104 kg) at 6'2'' (1.88 m),,,,
23898,Joe Ocasio,"East Meadow, New York (United States of America)",2nd September 1991 (age 30),Joe Ocasio,238 lbs. (108 kg) at 6'0'' (1.83 m),31st July 2010 (11 years ago),,,
23899,William Fehrmann,"New Castle, Delaware (United States of America)",12th March 1990 (age 32),B. Fehrm,,,,,5'9'' (1.75 m)
23900,unknown,New Jersey (United States of America),,Rikki Roxx,,,,,
23901,unknown,"Lockport, Illinois (United States of America)",,Austin Roberts,220 lbs. (100 kg) at 6'0'' (1.83 m),,,,
23902,unknown,,,Frank Yusko,,,,,
23905,unknown,Oregon (United States of America),,Bubba Blanchard,301 lbs. (137 kg) at 5'10'' (1.78 m),,,,
23906,unknown,"Houston, Texas (United States of America)",,HBQ,220 lbs. (100 kg) at 5'9'' (1.75 m),,,,
23907,unknown,United States of America,,Dr. Kliever,242 lbs. (110 kg) at 6'5'' (1.96 m),,,,
23908,unknown,"Sacramento, California (United States of America)",,Big Ugly,270 lbs. (122 kg) at 6'0'' (1.83 m),,,,
23910,unknown,,,Mary Jane Payne ,,,,,
23911,unknown,Ohio (United States of America),,Wade Hess,250 lbs. (113 kg) at 6'1'' (1.85 m),,,,
23912,unknown,"Detroit, Michigan (United States of America)",,Drexl,,11th March 2007 (15 years ago),,,
23913,Garett Fertig,"Eugene, Oregon (United States of America)",,G-Shock,,,,189 lbs. (86 kg),
23914,Chris Jensen,"Oregon City, Oregon (United States of America)",,Thunder,265 lbs. (120 kg) at 6'2'' (1.88 m),,,,
23915,unknown,United States of America,,Demarcus James,,,,,
23916,unknown,"Booneville, Mississippi (United States of America)",,Ricky Gibson,200 lbs. (91 kg) at 6'0'' (1.83 m),,,,
23917,unknown,"Memphis, Tennessee (United States of America)",,Jeremy Blanchard,,,,,
23918,unknown,"Olympia, Washington (United States of America)",,Patrick Large,170 lbs. (77 kg) at 5'8'' (1.73 m),,,,
23919,Joel Robinson,,,Jonas Albert Robinson,,,,,
23920,Joachim Winterscheidt,"Mönchengladbach, Nordrhein-Westfalen (Germany)",13th January 1979 (age 43),Joko Winterscheidt,,27th May 2012 (9 years ago),,,6'3'' (1.91 m)
23921,unknown,"Runcorn, Cheshire, England (United Kingdom)",,Troy McCarthy,,,,149 lbs. (68 kg),
23922,unknown,United Kingdom,,Skillet,209 lbs. (95 kg) at 5'11'' (1.80 m),,,,
23923,unknown,United Kingdom,,Rcade,,,,,
23924,unknown,United Kingdom,,Little John,,,,,
23925,unknown,"Merseyside, England (United Kingdom)",,Joey Fabulous,216 lbs. (98 kg) at 6'2'' (1.88 m),,,,
23926,unknown,United Kingdom,,Demoni,,,,,
23927,unknown,United Kingdom,,Big Dave Dunn,,,,,
23928,unknown,United Kingdom,,Axl Stardust,,,,,
23929,unknown,United Kingdom,,Average Joe,,,,,
23930,unknown,"Santiago de Chile, Región Metropolitana de Santiago (Chile)",16th May 1986 (age 35),Ghurka,191 lbs. (87 kg) at 6'0'' (1.83 m),2003,,,
23931,Don Lechien,Indiana (United States of America),,Donnie Tsunami,,12th February 2005 (17 years ago),,,
23932,unknown,Guatemala,,Starman,,,,,
23935,Jeremy Larsen,"Tucson, Arizona (United States of America)",11th March 1986 (age 36),Jeremy Larsen,155 lbs. (70 kg) at 5'10'' (1.78 m),11th November 2006 (15 years ago),,,
23938,Christopher Michael Saunders,"Long Beach, California (United States of America)",11th March 1986 (age 36),Chris Saunders,155 lbs. (70 kg) at 5'8'' (1.73 m),17th July 2009 (12 years ago),,,
23939,Chris Tickle,"Pontiac, Illinois (United States of America)",,Chris Tickle,155 lbs. (70 kg) at 5'9'' (1.75 m),2nd May 2008 (13 years ago),,,
23942,John Lawrence Cofer,"Savannah, Georgia (United States of America)",29th April 1984 (age 37),John Cofer,155 lbs. (70 kg) at 5'9'' (1.75 m),17th May 2008 (13 years ago),,,
23949,unknown,,,Ali Baba Jr.,200 lbs. (91 kg) at 5'5'' (1.65 m),,,,
23950,Donald Baarns,,25th July 1939,Don Barnes,,,1st October 1980,,
23951,unknown,,,Dan Burdick,,,,,
23952,unknown,Durango (Mexico),1st November 1992 (age 29),Siniestro,198 lbs. (90 kg) at 6'0'' (1.83 m),13th August 1998 (23 years ago),,,
23953,Leon Brown,,23rd April 1950 (age 71),Leon Chandler,,,,,
23954,unknown,,,Ray Andrews,,,,,
23955,unknown,"Rancagua, Región del Libertador General Bernardo OHiggins (Chile)",24th September 1987 (age 34),Fernando Korona,216 lbs. (98 kg) at 5'11'' (1.80 m),5th August 2005 (16 years ago),,,
23956,unknown,Nuevo León (Mexico),,El Cholo,,,,,
23957,unknown,Nuevo León (Mexico),,Rapper Boy,,,,,
23958,unknown,,,Steve Cooper,,,15th November 2011,,
23960,unknown,,,Jack Zeravich,,,,,
23961,unknown,,,Alex Teslock,,,,,
23962,unknown,Mexico,,Rino Castro,,,,,
23963,unknown,"Perth, Western Australia (Australia)",,Hayden Zenith,178 lbs. (81 kg) at 5'9'' (1.75 m),,,,
23965,unknown,"Exmouth, Western Australia (Australia)",,Tyler Throne,235 lbs. (107 kg) at 6'5'' (1.96 m),2011,,,
23968,unknown,Hidalgo (Mexico),,Talos la Momia Jr.,,,,,
23969,unknown,Hidalgo (Mexico),,Payaso Tiliches,,,,,
23970,unknown,Hidalgo (Mexico),,Roco Van Jr.,,,,,
23973,unknown,Nuevo León (Mexico),,Tigre Negro,,,,,
23974,unknown,Mexico,,Alma Negra,,,,,
23975,unknown,Mexico,,El Toluco,,,,,
23976,unknown,Mexico,,El Horóscopo,,,,,
23977,unknown,Mexico,,La Llorona,,,,,
23978,unknown,Mexico,,La Llorona #2,,,,,
23981,Dan Gusler,Illinois (United States of America),,Dan the Man,150 lbs. (68 kg) at 5'8'' (1.73 m),,,,
23983,unknown,"Tampa, Florida (United States of America)",,Ace Martino,215 lbs. (98 kg) at 5'10'' (1.78 m),,,,
23984,unknown,United States of America,6th October 1987 (age 34),Justice Jones,285 lbs. (129 kg) at 6'4'' (1.93 m),??th November 2009,,,
23985,unknown,,,Yabo the Clown,,,,,
23986,unknown,United States of America,,Greg Glover,,2008,,,
23987,unknown,United States of America,,Brian Nelson,,,,,
23988,Maxwell Fuller,,,Buddy Atlas,,,,,
23989,Juan Luis Quiroz,"Los Angeles, California (United States of America)",1982,Daikirai,,2006,,,
23990,unknown,,,FVN,,,,,
23992,unknown,,,Kayla Armstrong ,,,,,
23993,unknown,"Las Vegas, Nevada (United States of America)",30th November 1987 (age 34),Raquel Chase ,,,,,
23998,unknown,Mexico,,Brazo de Platino Jr.,,,,,
23999,unknown,Nuevo León (Mexico),,Eclipso,,,,,
24000,unknown,Guatemala,,Action Man,,,,,
24001,Maximilian Berger,"Chemnitz, Sachsen (Germany)",12th May 1995 (age 26),Full Nelson,287 lbs. (130 kg) at 6'3'' (1.91 m),2nd June 2012 (9 years ago),,,
24004,unknown,,,Don Griffin,,,,,
24005,Alejandra Lomac,Nuevo León (Mexico),,Alejandra ,,,,,
24009,unknown,"Los Angeles, California (United States of America)",,CJ Edwards,160 lbs. (73 kg) at 5'7'' (1.70 m),,,,
24010,unknown,,,Eric Right,,,,,
24011,unknown,"Shelton, Washington (United States of America)",,Chuck Payne,,,,,
24012,unknown,United States of America,,Nate Andrews,200 lbs. (91 kg) at 5'9'' (1.75 m),,,,
24013,unknown,Oregon (United States of America),,Draven Vargas,252 lbs. (114 kg) at 5'11'' (1.80 m),,,,
24014,unknown,,,Brickhouse Bereta,,,,,
24015,unknown,,,Kellen Raeth,,,,,
24017,unknown,,,Diafullah the Butcher,,,,,
24018,Kristina Saeger,"Olympia, Washington (United States of America)",23rd June 1984 (age 37),Lylah Lodge ,,,,,5'6'' (1.68 m)
24019,unknown,,,Bobby Gibson,,,,,
24020,unknown,Oregon (United States of America),,Moose Morrow,,,,,
24021,Robert C. Lyons Jr.,,,Bobby Lyons,,,,,
24022,unknown,,,Dale Jones,,,,,
24023,Gary B. Martin,,,Gary Martin,,,,,
24024,unknown,,,Jay Clinstock,,,,,
24025,James Burke,,,Jim Burke,,,,,
24026,unknown,,,Joe Flaherty,,,,,
