,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Weight,Height
20482,Donald Smith,"Livermore, California (United States of America)",23rd May 1930 (age 91),Moe Smith,,,,,
20483,Koichiro Matsumoto,"Tokushima, Tokushima (Japan)",7th March 1986 (age 36),Koichiro Matsumoto,145 lbs. (66 kg) at 5'7'' (1.70 m),6th May 2007 (14 years ago),,,
20484,unknown,Chiba (Japan),17th July 1982 (age 39),Naohiro Katsumi,165 lbs. (75 kg) at 5'7'' (1.70 m),,,,
20485,unknown,"Yonezawa, Yamagata (Japan)",29th May 1984 (age 37),Naoki Matsumoto,168 lbs. (76 kg) at 5'7'' (1.70 m),,,,
20487,unknown,"Tsubame, Niigata (Japan)",5th July 1986 (age 35),Yusuke Shimizu,170 lbs. (77 kg) at 5'8'' (1.73 m),,,,
20489,unknown,"Fukuoka, Fukuoka (Japan)",30th September 1979 (age 42),Koichi Nagari,163 lbs. (74 kg) at 5'7'' (1.70 m),,,,
20490,unknown,Japan,,Kendo Busan,172 lbs. (78 kg) at 5'7'' (1.70 m),,,,
20491,unknown,Guatemala,,Terminator,,,,,
20492,unknown,Guatemala,9th March 1969 (age 53),Voltron,220 lbs. (100 kg) at 5'8'' (1.73 m),7th June 1986 (35 years ago),,,
20493,unknown,"Ciudad de México, Ciudad de México (Mexico)",,X-Psicopata,,,,,
20494,unknown,Mexico,,Maravilla Roja,,,,,
20495,Erick Bernardo Quinteros Maldonado,"Santiago de Chile, Región Metropolitana de Santiago (Chile)",26th September 1989 (age 32),Taylor Wolf,210 lbs. (95 kg) at 5'10'' (1.78 m),26th September 2009 (12 years ago),,,
20497,Atsushi Moriyasu,"Nogata, Fukuoka (Japan)",22nd October 1977 (age 44),Oga,265 lbs. (120 kg) at 5'11'' (1.80 m),,,,
20498,unknown,,,Sammy Nettles,,,,,
20502,unknown,"Elk Grove, California (United States of America)",,Anthony Butabi,200 lbs. (91 kg) at 6'0'' (1.83 m),15th November 2009 (12 years ago),,,
20503,unknown,"Ceres, California (United States of America)",,Bobby Hart,253 lbs. (115 kg) at 6'1'' (1.85 m),2000,,,
20504,Bobby Lee Simmons,"Atlanta, Georgia (United States of America)",7th May 1955 (age 66),Bobby Simmons,,,,,
20505,unknown,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",1st May 1987 (age 34),Princesa Egipcia ,121 lbs. (55 kg) at 5'3'' (1.60 m),,,,
20507,unknown,,,D. A. McMillan,,,,,
20508,unknown,"Baltimore, Maryland (United States of America)",,Ashley Nicely,105 lbs. (48 kg) at 5'1'' (1.55 m),,,,
20511,unknown,,,Apostle Steele,,,,,
20512,unknown,,,Thomas Farnsworth,,,,,
20513,unknown,"Pasadena, Maryland (United States of America)",,Brian Hardy,,,,,
20514,unknown,,,Louis Rich,,,,,
20519,Reggie Rivers,,23rd March 1985,Prodigy PTV,,,7th June 2015,,
20520,Yusaku Nakamura,"Osaka, Osaka (Japan)",21st June 1986 (age 35),Yusaku Nakamura,135 lbs. (61 kg) at 5'5'' (1.65 m),24th January 2010 (12 years ago),,,
20521,David Herchelroath,"McKeesport, Pennsylvania (United States of America)",12th November 1967 (age 54),Gator,,,,,
20522,unknown,Kanagawa (Japan),3rd September 1970 (age 51),Kiyoshi Hamaya,190 lbs. (86 kg) at 5'9'' (1.75 m),,,,
20523,unknown,,,Koryuki,,,,,
20524,unknown,,,The Duke,,,,,
20525,unknown,"Cleveland, Ohio (United States of America)",,Aero,,,,121 lbs. (55 kg),
20528,Dominic W. Doganiero,,11th December 1921,Dominic Doganiero,,,27th February 1994,,
20529,Woody Lee Coulter,"Lima, Ohio (United States of America)",1st March 1951,Woody Lee,,1987,9th November 2014,,
20531,unknown,,3rd June 1981 (age 40),Justin Baesman,170 lbs. (77 kg) at 5'10'' (1.78 m),,,,
20533,unknown,,,Steven Drochner,,,,,
20534,unknown,"Warszawa, Mazowieckie (Poland)",,Jaron Skalka,185 lbs. (84 kg) at 6'0'' (1.83 m),18th September 2010 (11 years ago),,,
20535,unknown,Guatemala,,Súper Parka Latina,,,,,
20536,unknown,Guatemala,,Slayer,,,,,
20538,unknown,La Nueva Guatemala de la Asunción (Guatemala),,Starman Jr.,,,,,
20539,unknown,Guatemala,,Rayo de Oro,,,,,
20540,unknown,Nagasaki (Japan),20th August 1973 (age 48),Koichi Takemura,190 lbs. (86 kg) at 5'7'' (1.70 m),,,,
20541,Jeremy Perry,Indiana (United States of America),14th August 1979 (age 42),Hank Calhoun,230 lbs. (104 kg) at 6'2'' (1.88 m),2000,,,
20542,Jymmy Wheat,"South Bend, Indiana (United States of America)",1983,Jymmy W,,,,,5'10'' (1.78 m)
20543,Jared Rosholt,"Sandpoint, Idaho (United States of America)",4th August 1986 (age 35),Jared Rosholt,240 lbs. (109 kg) at 6'2'' (1.88 m),26th February 2011 (11 years ago),,,
20545,Mike Borchert,"Lübeck, Schleswig-Holstein (Germany)",,Mike Violence,238 lbs. (108 kg) at 6'1'' (1.85 m),,,,
20547,unknown,"New York City, New York (United States of America)",,Nickie Valentino ,196 lbs. (89 kg) at 5'7'' (1.70 m),??th December 2008,,,
20549,unknown,,,Chris Clow,,,,,
20550,unknown,,,Savannah Riley,,,,,
20552,unknown,,,R.Cade,,,,,
20554,unknown,"Austin, Texas (United States of America)",24th April ???,Ethan Price,,,,,
20557,unknown,,,Bruce Austin,,,,,
20561,Thomas Lentych,Indiana (United States of America),1939,Tom Lynch,,1970,,,5'8'' (1.73 m)
20563,unknown,"Chicago, Illinois (United States of America)",29th July 1946,Duke George,,,6th July 2016,,
20564,unknown,,,Blackie Guzman,,,,,
20566,unknown,Guerrero (Mexico),,Némesis,,,,,
20567,unknown,Puebla (Mexico),,Ángel Fly,,,,,
20568,unknown,Puebla (Mexico),,Shura,,,,,
20569,unknown,Puebla (Mexico),,Joker,,,,,
20570,unknown,Puebla (Mexico),,Eragon,,,,,
20571,unknown,Puebla (Mexico),,Infierno Negro,,,,,
20572,unknown,Puebla (Mexico),2nd December 1986 (age 35),Hidrofobia,,,,,
20573,unknown,Puebla (Mexico),8th April 1988 (age 33),Guerrero Espartaco,,,,,
20574,unknown,Puebla (Mexico),,Drako,,,,,
20579,unknown,,,Billy Catanzaro,,,,,
20580,unknown,Mexico,,Black Man Jr.,,,,,
20581,unknown,Mexico,,La Batichica,,,,,
20582,unknown,Mexico,13th December 1995 (age 26),Aviador,141 lbs. (64 kg) at 5'8'' (1.73 m),13th December 2009 (12 years ago),,,
20583,Guillermo Carrillo Arenas,"Ciudad de México, Ciudad de México (Mexico)",,Cuchillo Jr.,,,,,
20584,unknown,United Kingdom,,Ghent Wakefield,,,20th December 2016,,
20586,Ricky Lee Conrad,"Indianapolis, Indiana (United States of America)",19th November 1946,Rick Conrad,,,4th February 2017,,
20588,Robin Whisman,,,The Big Whiz,,,,,
20589,unknown,,,Golden Viking,,,,,
20590,Thomas James De Marco,"Chicago, Illinois (United States of America)",11th July 1946,Tom DeMarco,,,4th June 1989,,
20591,unknown,,,Mike Dupree,,,,,
20592,unknown,Guatemala,,Mano Blanca Jr.,,,,,
20593,unknown,Guatemala,,Ángel Negro,,,,,
20596,unknown,"Ciudad de México, Ciudad de México (Mexico)",20th January 1989 (age 33),Desorden,,28th October 2010 (11 years ago),,,
20599,Douglas Balch,,4th July ???,The Rockstar,,,,,6'4'' (1.93 m)
20601,unknown,,,Tom Townsend,,,,,
20602,Jerry Todisco,United States of America,26th April 1977 (age 44),Jay Lover,,1992,,,
20604,unknown,"Tulancingo de Bravo, Hidalgo (Mexico)",,Jhonky,,18th September 2010 (11 years ago),,,
20605,unknown,Mexico,29th June 1975 (age 46),El Hijo del Brazo,,,,,
20606,James A. Spires,United States of America,12th December 1946 (age 75),Jim Kent,,,,,
20608,Mike Shupe,"Magalia, California (United States of America)",20th June 1984 (age 37),Marek Shoop,158 lbs. (72 kg) at 5'8'' (1.73 m),,,,
20610,Frances Ballard,,,Hillbilly Kate,,,,,
20611,unknown,Oaxaca (Mexico),,Kingo Jr.,,,,,
20612,unknown,Oaxaca (Mexico),,Teddy Lee,,,,,
20613,unknown,Oaxaca (Mexico),,Lalo el Loco,,,,,
20614,unknown,Oaxaca (Mexico),,El Caballero Jr.,,,,,
20615,unknown,Oaxaca (Mexico),,Arcanos,,,,,
20616,Michael Dean,"St. Louis, Missouri (United States of America)",,Darren Richardson,,,16th January 2016,,
20620,unknown,,,Scoot Robertson,,,,,
20625,unknown,,,Carmon Carone,,,,,
20626,unknown,"Richmond, Virginia (United States of America)",,Jason Vega,196 lbs. (89 kg) at 5'9'' (1.75 m),,,,
20638,Nestor Dropko,"Moose Jaw, Saskatchewan (Canada)",7th April 1931,Whitey Dropko,,,12th October 2018,,
20639,unknown,Pennsylvania (United States of America),27th December 1983 (age 38),Flash Thompson,205 lbs. (93 kg) at 5'10'' (1.78 m),2011,,,
20640,Martín García García,Mexico,1966,Capricornio,,,1st July 1999,,
20642,unknown,Mexico,8th November ???,Valerie Richter ,,,,,
20643,unknown,Estado de México (Mexico),,El Halcón de Acero,,,,,
20644,unknown,Estado de México (Mexico),,Mitzi,,,,,
20645,Thomas Gregory Loyd,,1970,Blackie West,,,31st May 2011,,
20650,unknown,United Kingdom,,The Wrestling Clown,,,,240 lbs. (109 kg),
20651,unknown,"Rotherham, South Yorkshire, England (United Kingdom)",,Justin Hawk,,,,180 lbs. (82 kg),
20652,unknown,United Kingdom,,Brutus Pain,,,,,
20653,Dario Constantino,,1968,Mr. Quick,,,5th December 2009,,
20654,unknown,Nuevo León (Mexico),,Poison,,,,,
20655,unknown,Nuevo León (Mexico),,Azul Tequila,,,,,
20656,unknown,Nuevo León (Mexico),,Carola,,,,,
20657,Caro González,Nuevo León (Mexico),,Karo Korazón,,,,,
20658,unknown,Estado de México (Mexico),,Demonio Baltazar,,,,,
20659,Noé Hernández,"La Paz, La Paz (Bolivia)",1987,Dragón Negro,,2007,,,
20660,unknown,Estado de México (Mexico),,Golden Star,,,,,
20661,unknown,"Highland Park, New Jersey (United States of America)",24th June 1987 (age 34),Jeff Cannonball,284 lbs. (129 kg) at 5'11'' (1.80 m),31st March 2006 (15 years ago),,,
20662,Willy Carrillo,Puebla (Mexico),,Pequeño Policeman,,,,,
20663,unknown,United States of America,,Raccid Najjar,,,,,
20664,unknown,,,Ricky Singleton,,,,,
20665,Matthew R. Ball,"Osage, Iowa (United States of America)",5th November 1984,Arkham,,,28th November 2010,,
20668,unknown,Guatemala,,Alto Voltaje,,,,,
20669,unknown,Guatemala,,Cachorro Davis,,1987,,,
20670,unknown,"Bray, Wicklow (Ireland)",,Tattoo Charlie,188 lbs. (85 kg) at 5'10'' (1.78 m),,,,
20671,Jimmy L. Gibson,United States of America,10th January 1940 (age 82),Hoot Gibson,,,,,
20673,unknown,"Ciudad de México, Ciudad de México (Mexico)",28th August 1985 (age 36),Sacristán del Diablo,198 lbs. (90 kg) at 5'5'' (1.65 m),30th January 2007 (15 years ago),,,
20677,unknown,United Kingdom,8th April 1987 (age 34),Dow Jones,,,,,6'3'' (1.91 m)
20678,unknown,United Kingdom,,Mason Storm,,,,,
20679,Bret Haynes,"Towcester, Northamptonshire, England (United Kingdom)",,Bagheera,,??th January 2007,,,5'2'' (1.57 m)
20680,unknown,United Kingdom,,Jack Russell,,,,,
20681,unknown,United States of America,,Sledgehammer McGill,266 lbs. (121 kg) at 6'2'' (1.88 m),,,,
20682,unknown,Hidalgo (Mexico),,Arsenal,,16th September ???,,,
20683,Charles Edward Harrell,Alabama (United States of America),3rd August 1959,Moondog Splash,,1984,20th February 2011,,
20684,Roy Leonard Bradbury,,15th September 1961,Joe Powers,,,3rd September 2003,,
20686,Brandon Moras,"Jolalpan, Puebla (Mexico)",,El Gemelo Fantastico #1,,,,,
20687,Brian Moras,"Jolalpan, Puebla (Mexico)",,El Gemelo Fantastico #2,,,,,
20688,Robert H. Regan,"Boston, Massachusetts (United States of America)",27th March 1927,Bobby Regan,,,2nd June 2011,,
20689,"Alvin D. ""Smokey"" DeVall","South Sioux City, Nebraska (United States of America)",13th August 1927,Chief Red Cloud,,,22nd May 2011,,
20690,Paul William Pannkoke,"Milwaukee, Wisconsin (United States of America)",6th May 1922,Paul Martin,,,25th October 2009,,
20691,William Harrison Jones Jr.,"Hamilton, Ohio (United States of America)",14th December 1977,Will the Thrill,,,12th February 2011,,
20692,Ellery Linn Muselin,,30th March 1972,Linn Muselin,,,23rd October 2007,,
20693,unknown,,,Scary Gary,,,,,
20694,unknown,,13th September 1987 (age 34),Donny Redd,,2006,,,
20695,Manuel M. Leibert,"New York City, New York (United States of America)",8th February 1913,Manny Leibert,,,30th April 2011,,
20696,Robert L. Hannan,"Hulett, Wyoming (United States of America)",30th October 1931,Bob Hannan,,,30th March 2011,,
20697,Roger A. Hannan,Wyoming (United States of America),6th February 1939,Rocky Hannan,,,5th May 2007,,
20698,Robert Dale Phipps,United States of America,,Adrian Steele,,,4th June 2011,,
20699,unknown,,17th April 1935,Jack Curtis Jr.,,,2nd January 2021,,
20704,unknown,,,Tsuyoshi Kurihara,200 lbs. (91 kg) at 5'10'' (1.78 m),,,,
20705,unknown,"Acapulco de Juárez, Guerrero (Mexico)",11th December 1980 (age 41),Ramtha,,,,,
20706,unknown,Guerrero (Mexico),,Omega,,,,,
20707,unknown,Guerrero (Mexico),,Aquaman Jr.,,,,,
20708,unknown,"Ciudad de México, Ciudad de México (Mexico)",26th October 1995 (age 26),Keira ,,2009,,,
20709,Dave Hart,United States of America,1986,Chris Arkadian,180 lbs. (82 kg) at 6'0'' (1.83 m),,8th March 2012,,
20711,unknown,"Nelsonville, Ohio (United States of America)",,Jock Samson,254 lbs. (115 kg) at 5'9'' (1.75 m),31st October 2005 (16 years ago),,,
20712,unknown,Guerrero (Mexico),,La Venus,,,,,
20713,unknown,Guayanilla (Puerto Rico),,Jorge Luis Rivera,,,,255 lbs. (116 kg),
20715,Chris Sharpe,"Richmond, Virginia (United States of America)",16th February ???,Chris Sharpe,160 lbs. (73 kg) at 5'9'' (1.75 m),,,,
20716,unknown,,,Larry Hamilton,,1980,,,
20717,unknown,New York (United States of America),,Ajax 820,132 lbs. (60 kg) at 5'9'' (1.75 m),,,,
20718,unknown,,9th November ???,Steve King,,,,,
20719,Carlos Alberto Briseño López,"Ciudad de México, Ciudad de México (Mexico)",28th March 1986 (age 35),Kaleth,,2003,,,
20723,Hiroyuki Ito,"Shimizu, Shizuoka (Japan)",11th September 1976 (age 45),Hiroyuki Ito,176 lbs. (80 kg) at 5'11'' (1.80 m),21st September 2001 (20 years ago),,,
20728,Rene Carbajal,"Escondido, California (United States of America)",14th March 1981 (age 41),Kid Caramba,,,,,
20729,unknown,,,Joey Barone,,,,190 lbs. (86 kg),
20730,Markus Antonius Gökciyel,"Herford, Nordrhein-Westfalen (Germany)",26th February ???,Markus Antonius,183 lbs. (83 kg) at 5'11'' (1.80 m),11th September 2010 (11 years ago),,,
20731,unknown,"Squamish, British Columbia (Canada)",,Cody Smith,216 lbs. (98 kg) at 5'8'' (1.73 m),,,,
20732,unknown,,,Destro,,,,,
20733,unknown,"Albuquerque, New Mexico (United States of America)",29th July ???,Nick Madrid,,17th April 2010 (11 years ago),,200 lbs. (91 kg),
20734,Jenny Galbraith,"Green Bay, Wisconsin (United States of America)",18th May ???,Stacy Shadows ,,4th July 2009 (12 years ago),,,
20735,unknown,,,Domingo Robles,,,,,
20736,unknown,Mexico,1st November 1993 (age 28),Electro Boy,,6th January 2010 (12 years ago),,,
20737,unknown,Oaxaca (Mexico),18th June 1990 (age 31),Zombie Jr.,,,,,
20739,unknown,,,Gyushin Liger,160 lbs. (73 kg) at 5'9'' (1.75 m),11th November 2006 (15 years ago),,,
20740,Ismael Andrés Pinto Cáceres,"Santiago de Chile, Región Metropolitana de Santiago (Chile)",31st March ???,X3MO,220 lbs. (100 kg) at 5'5'' (1.65 m),,,,
20741,unknown,,,Blackjack Luka,,,,,
20742,unknown,,,Serge Dumont,,,,,
20743,unknown,,,Everett Newton,,,,,
20744,Arthur Heaton,,,Gustav Le Brun,,,,,
20745,Mika Mizunuma,"Yashio, Saitama (Japan)",14th October 1986 (age 35),Mikado ,190 lbs. (86 kg) at 5'5'' (1.65 m),3rd January 2006 (16 years ago),,,
20746,George L. Espada,Salinas (Puerto Rico),,George Espada,,,,,
20747,unknown,,,José Espada,,,,,
20748,Travis G. Henry,,2nd July 1986,Travis Henry,,,5th March 2005,,
20749,Herman G. Thomaston Jr.,,8th February 1950,Herman Thomaston,,,13th February 2010,,
20750,Arthur M. Williams,Texas (United States of America),21st February 1913,Art Williams,,,2nd July 2006,,
20751,Patrick A. Poland Sr.  ,"Hartford, Connecticut (United States of America)",18th May 1963,Pat Poland,,,24th April 2004,,
20752,Kermit LeRoy Snyder,"St. Paul, Minnesota (United States of America)",6th April 1919,Joe Snyder,155 lbs. (70 kg) at 5'8'' (1.73 m),1938,24th October 2003,,
20753,Joseph H. Carrillo,Mexico,28th September 1917,Joe Carrillo,,,1st April 2007,,
20754,Austin M. Shiver,"Camilla, Georgia (United States of America)",3rd January 1927,Austin Shiver,,,20th April 2007,,
20755,Dimitar Dimitrov,Bulgaria,,Don Kolov,,,,,
20757,unknown,Hidalgo (Mexico),8th December 1989 (age 32),Hacker,,18th February 2010 (12 years ago),,,
20759,Dale Chapman,New York (United States of America),,Hale Collins,,,,207 lbs. (94 kg),
20760,Michael Taris,,,Mr. Motion,,,,,
20761,Wilson Ramírez,"New York City, New York (United States of America)",29th December 1987 (age 34),Wil Maximo,,,,,
20764,Chad J. Floyd,,15th April 1968,Chad Floyd,,,10th December 2005,,
20765,Moody Moore Palmer,Tennessee (United States of America),9th October 1911,Moody Palmer,210 lbs. (95 kg) at 5'9'' (1.75 m),,15th May 2007,,
20767,Riley Eugene Allbert,,4th June 1929,Gene Allbert,,4th September 1951 (70 years ago),8th December 2005,,
20768,Armando Camacho Sr.,"El Paso, Texas (United States of America)",3rd November 1934,Armando Camacho,,,31st March 2008,,
20770,J. C. Caldwell,,2nd July 1935,Whitey Caldwell,225 lbs. (102 kg) at 6'1'' (1.85 m),,7th October 1972,,
20771,George Tony Peters,Tennessee (United States of America),4th September 1948 (age 73),Tony Peters,,,,,
20774,unknown,"Syracuse, New York (United States of America)",,Kevin Graham,185 lbs. (84 kg) at 6'0'' (1.83 m),,,,
20775,Dmitrios Sarandopoulos,,,Jimmy Sarandos,,,,,
20777,unknown,,,Kara Osman,,,,,
20778,unknown,,,Carl Busch,,,,,
20779,Emil Bregulla,,,Emil Brugglio,,,,,
20781,George Prindle,,1875,Frank Prindle,,,1928,,
20782,Oreste Vadalfi,Italy,1895,Oreste Vadalfi,,,14th July 1952,,
20783,unknown,,,Frank H. Lewis,,,,,
20784,unknown,,,Eimel Tanner,,,,,
20785,unknown,,,George Braun,,,,,
20786,Peter Buzukos,Athína (Greece),16th February 1884,Peter Buzukos,145 lbs. (66 kg) at 5'7'' (1.70 m),,XXXX,,
20787,unknown,,,Shosha Yokoyama,,,,,
20788,unknown,"Soddy-Daisy, Tennessee (United States of America)",,Micah Hughes,228 lbs. (103 kg) at 6'3'' (1.91 m),,,,
20794,Brian Melancon,"Houston, Texas (United States of America)",,Brian Melancon,170 lbs. (77 kg) at 5'8'' (1.73 m),24th January 2009 (13 years ago),,,
20795,Todd Moore,Texas (United States of America),,Todd Moore,170 lbs. (77 kg) at 5'10'' (1.78 m),22nd October 2005 (16 years ago),,,
20796,Joe Ray,"Miramar, Florida (United States of America)",17th December 1984 (age 37),Joe Ray,185 lbs. (84 kg) at 5'11'' (1.80 m),30th January 2010 (12 years ago),,,
20797,unknown,Colima (Mexico),,El General de la Muerte,,,,,
20798,unknown,Colima (Mexico),20th May 1990 (age 31),El Tigre de Colima,,,,,
20800,unknown,Mexico,,Space Man,,,,,
20801,unknown,Estado de México (Mexico),11th March 1988 (age 34),Draiger,168 lbs. (76 kg) at 5'9'' (1.75 m),29th November 2004 (17 years ago),,,
20802,unknown,Mexico,,El Hijo del Señor Tormenta,,,,,
20803,Dieter Tappert,"Düren, Nordrhein-Westfalen (Germany)",8th January 1972 (age 50),Paul Panzer,,17th June 2011 (10 years ago),,,
20804,Magno Almeida,"São Paulo, São Paulo (Brazil)",6th June 1985 (age 36),Magno Almeida,155 lbs. (70 kg) at 5'11'' (1.80 m),6th May 2006 (15 years ago),,,
20805,unknown,"New York City, New York (United States of America)",,Whitney Jean-Francois,169 lbs. (77 kg) at 6'0'' (1.83 m),3rd December 2010 (11 years ago),,,
20809,Masato Inaba,"Kawasaki, Kanagawa (Japan)",13th November 1982 (age 39),Masato Inaba,216 lbs. (98 kg) at 5'10'' (1.78 m),29th December 2007 (14 years ago),,,
20814,Harry Myer Light,"Paris, Île-de-France (France)",17th September 1898,Harry Light,230 lbs. (104 kg) at 5'7'' (1.70 m),,29th October 1971,,
20815,Cristofo Mirena,"Philadelphia, Pennsylvania (United States of America)",25th February 1907,Chris Dundee,,,17th November 1998,,
20816,unknown,"Las Vegas, Nevada (United States of America)",2nd October 1981 (age 40),Funny Bone,216 lbs. (98 kg) at 6'0'' (1.83 m),11th December 2004 (17 years ago),,,
20818,Jack Thomas Garofono,"Canandaigua, New York (United States of America)",23rd January 1935,Jack Garofono,,,1st April 1978,,
20820,unknown,United States of America,,Kiara Dillon ,,2008,,,
20821,unknown,"Århus, Midtjylland (Denmark)",26th February 1994 (age 28),Michael Fynne,191 lbs. (87 kg) at 6'3'' (1.91 m),13th February 2010 (12 years ago),,,
20822,unknown,United Kingdom,,Scott Maverick,,,,,
20823,Tommy Sinkfield,"Appleton, Wisconsin (United States of America)",,Thomas Walton III.,165 lbs. (75 kg) at 6'0'' (1.83 m),2007,,,
20825,Daniel Pagan,Bayamón (Puerto Rico),,Danny Pagan,,,,,
20826,unknown,Estado de México (Mexico),,Mike Rivera,,,,,
20827,unknown,Estado de México (Mexico),,El Potro Jr.,,,,,
20828,unknown,Hidalgo (Mexico),,Luger,,,,,
20829,unknown,Mexico,,El Führer,,,,,
20830,unknown,Colima (Mexico),,El Vaquero,,,,,
20831,unknown,Colima (Mexico),,Papillón Jr.,,,,,
20832,unknown,Colima (Mexico),,Chamaco Anguiano,,,,,
20833,unknown,Colima (Mexico),,Baby Criss,,,,,
20834,Héctor Jonathan León Aros,Chile,28th August 1987 (age 34),Adrenalina,220 lbs. (100 kg) at 5'10'' (1.78 m),2009,,,
20835,unknown,Mexico,1st August 1980,Tabú,,,11th September 2020,,
20836,Luvsandorj Nyamjav,Ulaanbaatar (Mongolia),9th March 1983 (age 39),Luvsandorj Nyamjav,282 lbs. (128 kg) at 5'9'' (1.75 m),3rd August 2010 (11 years ago),,,
20839,unknown,,,Guy Smith,,,,,
20841,Chad Whitman,,,Chad Williams,,,,,
20842,Keith Berry,"Murrieta, California (United States of America)",25th October 1987 (age 34),Keith Berry,205 lbs. (93 kg) at 6'1'' (1.85 m),2nd December 2005 (16 years ago),,,
20843,Eduardo Pamplona,"São Paulo, São Paulo (Brazil)",20th August 1975 (age 46),Eduardo Pamplona,170 lbs. (77 kg) at 5'11'' (1.80 m),30th November 2002 (19 years ago),,,
20844,Germaine de Randamie,"Utrecht, Utrecht (Netherlands)",24th April 1984 (age 37),Germaine de Randamie,135 lbs. (61 kg) at 5'11'' (1.80 m),19th December 2008 (13 years ago),,,
20846,unknown,Japan,13th July 1994 (age 27),Remi Nagano ,132 lbs. (60 kg) at 5'1'' (1.55 m),27th November 2010 (11 years ago),,,
20848,Matt Ricehouse,"St. Charles, Missouri (United States of America)",,Matt Ricehouse,155 lbs. (70 kg) at 5'11'' (1.80 m),30th January 2010 (12 years ago),,,
20850,Pernell James Kiefer,,7th October 1963,Night Train,,,11th October 2008,,
20851,unknown,Guerrero (Mexico),,Andros Black,,,,,
20852,unknown,Guerrero (Mexico),,Venganza,,,,,
20853,Rambaa Somdet,Pattaya (Thailand),30th August 1974 (age 47),Rambaa Somdet,115 lbs. (52 kg) at 5'2'' (1.57 m),2001,,,
20855,unknown,Mexico,,Yorno el Califa,,,,,
20856,unknown,Mexico,,Bardo el Gitano,,,,,
20857,unknown,United States of America,22nd May ???,Sunami,,,,,6'0'' (1.83 m)
20858,unknown,"Santa Maria, California (United States of America)",1985,Kadin Anthony,185 lbs. (84 kg) at 5'8'' (1.73 m),,,,
20859,unknown,"Chino, California (United States of America)",18th May 1982 (age 39),Jesse Jiménez,,??th March 2003,,,5'9'' (1.75 m)
20860,Genair da Silva,"Río de Janeiro, Río de Janeiro (Brazil)",26th December 1983 (age 38),Genair da Silva,145 lbs. (66 kg) at 5'7'' (1.70 m),12th April 2008 (13 years ago),,,
20861,Jacob DeVree,"Gilbert, Arizona (United States of America)",17th October 1987 (age 34),Jacob DeVree,145 lbs. (66 kg) at 5'9'' (1.75 m),23rd February 2008 (14 years ago),,,
20862,unknown,"Newport News, Virginia (United States of America)",1st April 1988 (age 33),Mikey Jay,,,,,
20866,unknown,"Iowa City, Iowa (United States of America)",,Erik Lockhart,,19th May 2007 (14 years ago),,,
20867,unknown,"Atlantic City, New Jersey (United States of America)",,Andre Kanan Alexander,,,,,
20868,unknown,"Erie, Pennsylvania (United States of America)",23rd March ???,Benett Cole,,,,,
20872,unknown,Estado de México (Mexico),22nd November 1977 (age 44),Pequeño Black Shadow,,,,,
20873,unknown,,,Silent Montenaro,,,,,
20874,unknown,,,Sammy Ford,,,,,
20875,unknown,Puebla (Mexico),1940,Chico Madrid,,,25th June 2011,,
20876,unknown,,,Nichiryu,,,,,
20877,Larry Caeser Wright,,8th August 1925,Larry Wright,,1946,20th January 2010,,
20878,unknown,,,Nels Moe,,,,,
20879,unknown,,,Billy Williams,,,,,
20880,Steve Karel,United States of America,,Steve Karel,,,,,
20881,unknown,,27th May 1987 (age 34),Amanda Fox ,110 lbs. (50 kg) at 5'5'' (1.65 m),,,,
20882,Eric J. Marx,"Tampa, Florida (United States of America)",2nd May 1981,Eric Marx,205 lbs. (93 kg) at 5'5'' (1.65 m),,26th June 2011,,
20883,unknown,Riga (Latvia),,Ivan Romanoff,,,,,
20884,unknown,Serbia,6th September 1927,Nicola Selenkowitsch,,,17th June 2004,,
20885,unknown,,,Bruce Noland,,,,,
20886,unknown,Texas (United States of America),4th November 1987 (age 34),Ricky Romida,285 lbs. (129 kg) at 6'0'' (1.83 m),??th December 2007,,,
20888,unknown,Guerrero (Mexico),,Astaroth,,,,,
20889,unknown,Guerrero (Mexico),,Poseidon,,,,,
20894,unknown,"Earlham, Iowa (United States of America)",4th February 1990 (age 32),Levi McDaniel,195 lbs. (88 kg) at 6'1'' (1.85 m),31st January 2009 (13 years ago),,,
20895,Leonard W. Schaefer,,1917,Len Schaefer,,,20th April 1970,,
20897,unknown,"Columbia, Missouri (United States of America)",,Jeff Strong,,,,,
20898,Darren Gamblin,"Linn, Missouri (United States of America)",25th July 1989 (age 32),Jack Gamble,187 lbs. (85 kg) at 5'11'' (1.80 m),8th August 2009 (12 years ago),,,
20899,Ethan Wright,"Alliance, Ohio (United States of America)",26th October 1989 (age 32),Ethan Wright,205 lbs. (93 kg) at 6'0'' (1.83 m),20th February 2010 (12 years ago),,,
20900,unknown,"Venice, Florida (United States of America)",18th July 1990 (age 31),Jelena ,124 lbs. (56 kg) at 5'5'' (1.65 m),8th August 2006 (15 years ago),,,
20901,unknown,"Indianapolis, Indiana (United States of America)",,Tripp Cassidy,205 lbs. (93 kg) at 6'1'' (1.85 m),6th March 2010 (12 years ago),,,
20902,unknown,New York (United States of America),,Kriptic Keegan,201 lbs. (91 kg) at 5'10'' (1.78 m),18th March 2006 (15 years ago),,,
