,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
4612,unknown,,,,,Jim Fannin,,,
4613,Manuela Volk,,"Freilassing, Bayern (Germany)",23rd June 1978 (age 43),13th December 1998 (23 years ago),Flame,,5'4'' (1.63 m),
4615,Alexander Dippolt,280 lbs. (127 kg) at 5'11'' (1.80 m),"Wien, Wien (Austria)",1st May 1970 (age 51),16th June 2000 (21 years ago),Alex the Iceman,,,
4617,Tim Dodson,,"Rialto, California (United States of America)",28th January 1966 (age 56),,Tim Patterson,,,
4620,unknown,,Mexico,,,El Chabelo,,,
4621,unknown,,Mexico,,,Oro Negro,,,
4623,unknown,,,,,Al Burke,,,
4625,Alfonso Nava,,Mexico,,1988,Furia Chicana,16th September 2008,,
4626,unknown,,"Seattle, Washington (United States of America)",,,Todd Tomko,,,
4627,unknown,,,,,Terry Tomko,,,
4629,Norman Smith,,,,,Carl Novak,,,
4630,unknown,203 lbs. (92 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",11th June 1979 (age 42),1997,Naoshi Sano,,,
4632,Adele Bernocchi,170 lbs. (77 kg) at 6'2'' (1.88 m),"Lodi, Lombardia (Italy)",7th September 1979 (age 42),2006,Queen Maya ,,,
4633,Sean Charles Evans,,"McKeesport, Pennsylvania (United States of America)",28th January 1971,1993,Sean Evans,2nd October 2007,,
4634,Arthur James Knight,,,,,Chick Knight,,,
4636,unknown,,United Kingdom,,,Jim McKenzie,,,
4637,unknown,,,,,Leon Labriola,,,
4639,Kurt Zehe,430 lbs. (195 kg) at 7'2'' (2.18 m),"Kaliningrad, Kaliningrad (Russia)",12th January 1913,1933,Kurt Zehe,1969,,
4640,unknown,,,,,Mitchell Gill,,,
4641,Ernest Walter Kingston,,"Christchurch, Canterbury (New Zealand)",,1939,Ernie Kingston,1992,6'5'' (1.96 m),
4646,Rene Binder,192 lbs. (87 kg) at 5'8'' (1.73 m),Germany,,18th May 2002 (19 years ago),Genosse Boris,,,
4647,William Allen Martin,,,,,Allen Martin,,,
4649,Sean David Baxter,,,,,Shawn Baxter,,,
4650,Scott Dumas,,,25th February 1963,,Scotty Williams,7th August 2007,,
4651,unknown,,"Lecce, Puglia (Italy)",1984,1st April 2006 (15 years ago),Lacrima Christi ,,5'9'' (1.75 m),
4653,unknown,,,,,Randy Taylor,,,
4654,unknown,,,,,Red Tyler,,,
4656,unknown,207 lbs. (94 kg) at 5'9'' (1.75 m),"Los Mochis, Sinaloa (Mexico)",28th January ???,22nd November 2002 (19 years ago),Murciélago,,,
4657,unknown,205 lbs. (93 kg) at 5'11'' (1.80 m),"Madero, Tamaulipas (Mexico)",,2nd November 2004 (17 years ago),Oro Negro,,,
4658,unknown,,Mexico,,,El Diablo Jr.,,,
