,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
8,unknown,235 lbs. (107 kg) at 6'0'' (1.83 m),"Cleveland, Ohio (United States of America)",28th December ???,??th August 1998,J-Rocc,,,
257,unknown,260 lbs. (118 kg) at 6'0'' (1.83 m),New York (United States of America),,1995,Danny Rose,,,
259,Thomas W. Neiss,220 lbs. (100 kg) at 5'11'' (1.80 m),"Philadelphia, Pennsylvania (United States of America)",,,Eddie Valentine,,,
261,unknown,,"Smyrna, Delaware (United States of America)",1973,,Jeff Rocker,,,
264,unknown,175 lbs. (79 kg) at 5'10'' (1.78 m),"Sewell, New Jersey (United States of America)",,1998,Dewey Donovan,,,
300,Harald Khozina,300 lbs. (136 kg) at 6'3'' (1.91 m),"Wien, Wien (Austria)",5th October 1960 (age 61),1982,Dirty Harry,,,
357,Alfonso Amezcua,,"Guadalajara, Jalisco (Mexico)",22nd August 1918,1937,Al Amezcua,4th November 1999,,
358,José Ángel Vargas Sánchez,192 lbs. (87 kg) at 5'9'' (1.75 m),"Atoyac, Jalisco (Mexico)",2nd August 1936,1958,Ángel Blanco,26th April 1986,,
359,Carlos Ignacio Carrillo Contreras,178 lbs. (81 kg) at 5'10'' (1.78 m),"Topilejo, Michoacán de Ocampo (Mexico)",5th November 1940,??th November 1963,Aníbal,9th March 1994,,
360,Arias Romero,218 lbs. (99 kg) at 5'7'' (1.70 m),"Santiago de Querétaro, Querétaro Arteaga (Mexico)",20th December 1951,??th October 1967,Ari Romero,29th December 2013,,
361,Alejandro Cruz Ortíz,,"León de los Aldama, Guanajuato (Mexico)",3rd May 1921,21st June 1942 (79 years ago),Black Shadow,8th March 2007,,
364,Rodolfo Evaristo Ludovico Galindo Ramírez,176 lbs. (80 kg) at 5'10'' (1.78 m),"Chihuahua, Chihuahua (Mexico)",27th September 1923,1938,Cavernario Galindo,19th July 1999,,
365,Francisco Aguayo Escobosa,,"Torreón, Coahuila de Zaragoza (Mexico)",24th October 1895,,Francisco Aguayo,22nd September 1963,,
366,Fausto Humberto Veloz Barrueto ,,"Monterrey, Nuevo León (Mexico)",25th March 1938,1959,Ciclón Veloz Jr.,30th August 2001,,
367,Eduardo Hernández Calderón,,"Huichapán, Hidalgo (Mexico)",22nd May 1908,23rd September 1933 (88 years ago),Dientes Hernández,28th May 1988,,
370,Luis Ramírez Romero,,Mexico,,1954,El Gladiador,3rd December 1965,,
372,Luis Alberto Medina Delgadillo,,"Monterrey, Nuevo León (Mexico)",??th September 1968,26th March 1986 (35 years ago),El Sanguinario,8th September 2002,,
375,Antonio Hernández Fernández,,"Ciudad de México, Ciudad de México (Mexico)",9th February 1939,1951,Espectro #1,13th October 1993,,
377,Gonzalo Flores García,,"Monterrey, Nuevo León (Mexico)",22nd April 1924,1952,Gorilita Flores,24th July 2001,,
379,"Juan ""Johnny"" Chavarría Galicia",276 lbs. (125 kg) at 6'3'' (1.91 m),"Torreón, Coahuila de Zaragoza (Mexico)",27th December 1938,,Gran Markus,15th November 2007,,
381,Daniel García Arteaga,203 lbs. (92 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",9th April 1926,,Huracán Ramírez,1st November 2006,,
382,Jaime Álvarez Mendoza,207 lbs. (94 kg) at 5'9'' (1.75 m),"Guadalajara, Jalisco (Mexico)",29th October 1948 (age 73),??th September 1972,Jaque Mate,,,
383,Pedro Javier Cervantes Santacruz,165 lbs. (75 kg) at 5'8'' (1.73 m),"Guadalajara, Jalisco (Mexico)",5th December 1958 (age 63),2nd September 1980 (41 years ago),Javier Cruz,,,
384,Javier Augusto Yañez Corona,,"Ciudad de México, Ciudad de México (Mexico)",6th September 1952 (age 69),28th August 1973 (48 years ago),Javier Llanes,,,
385,José Francisco Marquina Márquez,,,1936,1954,Joe Marquina,9th November 2020,,
386,Carlos de Lucio Lagarde,,"Zapotlán de Juárez, Hidalgo (Mexico)",27th July 1928,1950,Karloff Lagarde,31st August 2007,,
387,Raymundo Cuesta Veloz,,Baja California (Mexico),20th January 1951,1968,Kung Fu,3rd January 2001,,
388,José Eusebio Vázquez Bernal,,"Torreón, Coahuila de Zaragoza (Mexico)",1933,,Espanto #1,30th May 1968,,
389,Fernando Cisneros Carrillo,,"Torreón, Coahuila de Zaragoza (Mexico)",25th August 1932,1952,Espanto #2,27th August 2010,,
390,"Miguel ""Miguelito"" Vázquez Bernal",,"Torreón, Coahuila de Zaragoza (Mexico)",11th February 1940,13th January 1962 (60 years ago),Espanto #3,8th December 1996,,
391,Pablito Fuentes Reyna,233 lbs. (106 kg) at 5'11'' (1.80 m),"Salvatierra, Guanajuato (Mexico)",31st December 1956,12th July 1978 (43 years ago),MS-1,12th January 2012,,
392,Jesús Velázquez Quintero,,"Dolores Hidalgo, Guanajuato (Mexico)",30th October 1909,3rd April 1938 (83 years ago),Murciélago Velázquez,26th May 1972,,
393,Jesús Javier Hernández Solís,,"Guadalajara, Jalisco (Mexico)",24th December 1971,23rd November 1990 (31 years ago),Oro,26th October 1993,,
396,Juan Manuel Guajardo Mejorado,210 lbs. (95 kg) at 5'9'' (1.75 m),"Villa Mainero, Tamaulipas (Mexico)",4th January 1933,1954,René Guajardo,11th May 1992,,
397,Rito Romero Loza,,"Acatic, Jalisco (Mexico)",19th March 1927,,Rito Romero,17th January 2001,,
399,Rolando Hernández Verástegui,,"Monterrey, Nuevo León (Mexico)",1st February 1915,,Rolando Vera,29th March 2001,,
401,Francisco Javier Mar Hernández,176 lbs. (80 kg) at 5'8'' (1.73 m),"León de los Aldama, Guanajuato (Mexico)",4th December 1926,1943,Sugi Sito,4th May 2000,,
402,José Francisco Arreola Ramírez,270 lbs. (122 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",27th May 1950,1968,Tamba,6th September 2001,,
403,Carlos López Tovar,185 lbs. (84 kg) at 5'8'' (1.73 m),"Jerez de García Salinas, Zacatecas (Mexico)",28th August 1912,12th April 1934 (87 years ago),Tarzán López,28th August 1975,,
405,José Alfredo Díaz Mendoza,182 lbs. (83 kg) at 5'10'' (1.78 m),"Ciudad de México, Ciudad de México (Mexico)",25th September 1949,1969,Villano II,17th April 1989,,
495,unknown,,,,,Half Nelson Keyes,,,
496,unknown,,,,,Erich Ecker,,,
526,Masayuki Naruse,210 lbs. (95 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",15th March 1973 (age 48),16th May 1992 (29 years ago),Masayuki Naruse,,,
534,Hiroshi Nagao,249 lbs. (113 kg) at 6'4'' (1.93 m),"Osaka, Osaka (Japan)",26th December 1979 (age 42),2nd February 2003 (19 years ago),Hiroshi Nagao,,,
548,Akiya Anzawa,187 lbs. (85 kg) at 5'9'' (1.75 m),"Kariwa, Niigata (Japan)",9th January 1981 (age 41),21st September 2003 (18 years ago),Akiya Anzawa,,,
569,Derek Arsenault,155 lbs. (70 kg) at 5'8'' (1.73 m),"Cochrane, Ontario (Canada)",1984,1999,The Arsenal,,,
572,Enson Shoji Inoue,220 lbs. (100 kg) at 5'11'' (1.80 m),"Honolulu, Hawaii (United States of America)",15th December 1967 (age 54),21st January 1995 (27 years ago),Enson Inoue,,,
582,Jeffrey R. Peterson,145 lbs. (66 kg) at 5'9'' (1.75 m),"Tampa, Florida (United States of America)",13th August 1981,21st March 1998 (23 years ago),Jeff Peterson,29th November 2002,,
599,unknown,170 lbs. (77 kg) at 5'9'' (1.75 m),"Sainte-Anne-des-Plaines, Quebec (Canada)",,,Fred la Merveille,,,
601,Erica D. Porter,150 lbs. (68 kg) at 5'7'' (1.70 m),"Columbia, Maryland (United States of America)",31st October 1974 (age 47),2000,Erica Porter ,,,
602,Damian Duplessis,145 lbs. (66 kg) at 5'10'' (1.78 m),"Montréal, Quebec (Canada)",1980,1998,Damian,,,
605,Antonia Maria Galvin,126 lbs. (57 kg) at 5'7'' (1.70 m),"Reno, Nevada (United States of America)",19th February 1976 (age 46),,Hellena Heavenly ,,,
607,unknown,120 lbs. (54 kg) at 5'4'' (1.63 m),La Habana (Cuba),21st December ???,??th October 2003,Hurricane Havana,,,
609,Kelly Clift,130 lbs. (59 kg) at 5'7'' (1.70 m),"Huntsville, Alabama (United States of America)",3rd October ???,??th March 2001,Infynity,,,
610,Jaime Jacqueline Koeppe,125 lbs. (57 kg) at 5'5'' (1.65 m),"Vancouver, British Columbia (Canada)",13th October 1978 (age 43),,Jaime Koeppe,,,
616,Yukie Abe,115 lbs. (52 kg) at 5'1'' (1.55 m),"Tokyo, Tokyo (Japan)",18th September 1974 (age 47),9th March 1996 (26 years ago),Sachie Abe ,,,
619,Keiko Aono,154 lbs. (70 kg) at 5'4'' (1.63 m),"Kadoma, Osaka (Japan)",8th April 1973 (age 48),10th February 1995 (27 years ago),Keiko Aono ,,,
620,unknown,198 lbs. (90 kg) at 5'9'' (1.75 m),"Tulancingo de Bravo, Hidalgo (Mexico)",31st August 1954 (age 67),??th November 1978,Águila Solitaria,,,
625,Alda Moreno León,121 lbs. (55 kg) at 4'9'' (1.45 m),"Ciudad de México, Ciudad de México (Mexico)",6th March 1974 (age 48),12th January 1990 (32 years ago),Alda Moreno ,,,
626,Jessica Nicole Soto,167 lbs. (76 kg) at 5'4'' (1.63 m),"Amherst, Ohio (United States of America)",27th November 1976 (age 45),,Bionic J ,,,
627,Naomi Kato,139 lbs. (63 kg) at 5'1'' (1.55 m),"Tokyo, Tokyo (Japan)",8th October 1977 (age 44),7th October 1994 (27 years ago),The Bloody ,,,
628,José Luis Amezcua Díaz,209 lbs. (95 kg) at 5'8'' (1.73 m),"Guadalajara, Jalisco (Mexico)",13th April 1943,1960,Alfonso Dantés,30th July 2008,,
630,Mizuki Endo,154 lbs. (70 kg) at 5'3'' (1.60 m),"Hokuto, Yamanashi (Japan)",9th November 1971 (age 50),4th August 1991 (30 years ago),Eiger ,,,
631,Nobue Endo,143 lbs. (65 kg) at 5'5'' (1.65 m),"Yokohama, Kanagawa (Japan)",22nd April 1973 (age 48),31st August 1994 (27 years ago),SAYA ,,,
632,Miyuki Fujii,128 lbs. (58 kg) at 5'4'' (1.63 m),"Mie, Mie (Japan)",17th December 1977 (age 44),16th September 1996 (25 years ago),SASORI ,,,
635,Javier Hernández Padilla,196 lbs. (89 kg) at 5'7'' (1.70 m),"Teocuitatlán de Corona, Jalisco (Mexico)",22nd September 1952 (age 69),15th January 1975 (47 years ago),Américo Rocca,,,
648,DeAlva Eyvonnie Sibly-Snyder,140 lbs. (64 kg) at 5'7'' (1.70 m),"Houston, Texas (United States of America)",25th May 1922,1944,June Byers ,20th July 1998,,
654,Lana Kinnear,115 lbs. (52 kg) at 5'7'' (1.70 m),"Los Angeles, California (United States of America)",29th July ???,2000,Lana Star,,,
667,unknown,180 lbs. (82 kg) at 5'9'' (1.75 m),"Green Bay, Wisconsin (United States of America)",19th December 1978 (age 43),??th December 2003,Ann Brookstone ,,,
672,Kyoko Ichiki,117 lbs. (53 kg) at 5'0'' (1.52 m),"Kobe, Hyogo (Japan)",21st February 1973 (age 49),10th December 1994 (27 years ago),Kyoko Ichiki ,,,
673,Masami Iizuka,132 lbs. (60 kg) at 5'0'' (1.52 m),"Urayasu, Chiba (Japan)",12th January 1973 (age 49),26th May 1997 (24 years ago),Obacchi Iizuka ,,,
681,unknown,175 lbs. (79 kg) at 5'7'' (1.70 m),"Oceanside, California (United States of America)",,1999,Matrix,,,
696,Jennifer Lane,125 lbs. (57 kg) at 5'8'' (1.73 m),"Las Vegas, Nevada (United States of America)",16th August 1978 (age 43),1999,Looney Lane ,,,
698,Juan Manuel Zúñiga,,"Ciudad Lerdo, Durango (Mexico)",24th June 1963,??th June 1980,Ángel Azteca,18th March 2007,,
701,José Luis Amezcua Muñoz,222 lbs. (101 kg) at 5'11'' (1.80 m),"Guadalajara, Jalisco (Mexico)",28th September 1968 (age 53),4th December 1988 (33 years ago),Apolo Dantés,,,
703,Jorge Huaracha López,209 lbs. (95 kg) at 5'8'' (1.73 m),"La Piedad de Cavadas, Michoacán de Ocampo (Mexico)",8th June 1949,??th June 1964,As Charro,28th April 2018,,
706,José Guadalupe Fuentes Ochoa,216 lbs. (98 kg) at 5'7'' (1.70 m),"Colima, Colima (Mexico)",31st August 1947 (age 74),1970,Babe Face,,,
707,Juan Manuel Rodríguez Carrillo,198 lbs. (90 kg) at 5'8'' (1.73 m),"Guadalajara, Jalisco (Mexico)",11th February 1962,12th June 1983 (38 years ago),Bestia Salvaje,19th March 2008,,
709,Álvaro Meléndez Tibanez,189 lbs. (86 kg) at 5'6'' (1.68 m),"Guadalajara, Jalisco (Mexico)",19th February 1949,1965,Black Man,28th February 2022,,
710,Juan José Salazar Alanís,158 lbs. (72 kg) at 5'5'' (1.65 m),"Monterrey, Nuevo León (Mexico)",,14th November 1964 (57 years ago),Black Shadow Jr.,,,
715,Carlos Alvarado González,181 lbs. (82 kg) at 5'8'' (1.73 m),"León de los Aldama, Guanajuato (Mexico)",15th April 1950,,Bobby Lee,26th November 2020,,
728,Pedro Jacobo Contreras,205 lbs. (93 kg) at 5'7'' (1.70 m),"Mezcala de la Asunción, Jalisco (Mexico)",10th October 1955 (age 66),??th July 1974,Cachorro Mendoza,,,
731,José Carlos Jiménez Vázquez,198 lbs. (90 kg) at 5'9'' (1.75 m),"Madrid, Comunidad de Madrid (Spain)",11th March 1944 (age 78),1961,Carlos Plata,,,
732,Javier Prado Valaguez,189 lbs. (86 kg) at 5'7'' (1.70 m),"Cuernavaca, Morelos (Mexico)",10th February 1957 (age 65),8th February 1976 (46 years ago),Chamaco Valaguez,,,
747,Elio Carlo Colosetti Drazich,,"Buenos Aires, Ciudad Autónoma de Buenos Aires (Argentina)",19th May 1948 (age 73),1963,Coloso Colosetti,,,
748,unknown,,"Monterrey, Nuevo León (Mexico)",,20th February 2005 (17 years ago),El Teletubbie Rojo,,,
749,unknown,,"Monterrey, Nuevo León (Mexico)",,20th February 2005 (17 years ago),El Teletubbie Amarillo,,,
750,unknown,,"Monterrey, Nuevo León (Mexico)",,20th February 2005 (17 years ago),El Teletubbie Violeta,,,
751,unknown,,"Monterrey, Nuevo León (Mexico)",,20th February 2005 (17 years ago),El Teletubbie Verde,,,
775,Doménico Bazán León,205 lbs. (93 kg) at 5'10'' (1.78 m),"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",16th May 1947,1966,El Audaz,30th June 2020,,
783,Ronald Lewis Etchison Sr.,242 lbs. (110 kg) at 6'1'' (1.85 m),"St. Joseph, Missouri (United States of America)",6th May 1920,20th October 1938 (83 years ago),Ronnie Etchison,4th March 1994,,
809,Robert Shibuya,250 lbs. (113 kg) at 5'9'' (1.75 m),Hawaii (United States of America),16th May 1921,1st October 1951 (70 years ago),Kinji Shibuya,3rd May 2010,,
811,Francisco Javier Delgado Reyes,214 lbs. (97 kg) at 5'9'' (1.75 m),"Juárez, Chihuahua (Mexico)",6th May 1952 (age 69),??th October 1970,El Cobarde #2,,,
813,José Luis Hernández,220 lbs. (100 kg) at 6'0'' (1.83 m),"Oaxaca de Juárez, Oaxaca (Mexico)",9th January 1957,21st March 1976 (45 years ago),El Egipcio,22nd June 2018,,
814,unknown,143 lbs. (65 kg) at 5'3'' (1.60 m),"Torreón, Coahuila de Zaragoza (Mexico)",24th April 1968,,El Espantito,12th October 2020,,
815,David Patiño Orozco,187 lbs. (85 kg) at 5'6'' (1.68 m),"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",1934,1955,El Gran Davis,4th November 1991,,
817,unknown,198 lbs. (90 kg) at 5'7'' (1.70 m),"Torreón, Coahuila de Zaragoza (Mexico)",20th March 1978 (age 43),20th March 1993 (28 years ago),El Hijo del Espanto #1,,,
818,unknown,176 lbs. (80 kg) at 5'9'' (1.75 m),"Torreón, Coahuila de Zaragoza (Mexico)",1971,1st December 1988 (33 years ago),El Hijo del Espanto #2,,,
839,Dan Kroffat,240 lbs. (109 kg) at 6'0'' (1.83 m),"Vancouver, British Columbia (Canada)",14th June 1945 (age 76),1969,Dan Kroffat,,,
842,unknown,231 lbs. (105 kg) at 5'10'' (1.78 m),"Mount Hope, West Virginia (United States of America)",,1981,Brad Batten,??th November 2014,,
843,unknown,231 lbs. (105 kg) at 5'10'' (1.78 m),"Mount Hope, West Virginia (United States of America)",,1982,Bart Batten,,,
855,Brian Danovich,275 lbs. (125 kg) at 6'2'' (1.88 m),"New York City, New York (United States of America)",,2002,Brian Carlucci,9th August 2018,,
858,Keith Assoun,,Canada,1971,1990,Zakk Wylde,,,
879,Jun Ogawauchi,176 lbs. (80 kg) at 5'7'' (1.70 m),"Nakatsu, Oita (Japan)",11th January 1979 (age 43),18th May 2001 (20 years ago),JUN,,,
888,Carlos O. Musquiz,180 lbs. (82 kg) at 5'8'' (1.73 m),"San Antonio, Texas (United States of America)",3rd March 1972 (age 50),12th July 1992 (29 years ago),El Latino,,,
889,Rodolfo García Pedrosa,165 lbs. (75 kg) at 5'5'' (1.65 m),"Ciudad de México, Ciudad de México (Mexico)",20th April 1940 (age 81),2nd May 1958 (63 years ago),El Matemático,,,
895,Salvador Cuevas Ramírez,206 lbs. (93 kg) at 5'8'' (1.73 m),"Tijuana, Baja California (Mexico)",8th July 1942,8th July 1976 (45 years ago),El Supremo,4th May 2010,,
907,unknown,198 lbs. (90 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",1st January 1970 (age 52),1985,Fantastik,,,
909,Francisco Segura García,196 lbs. (89 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",10th November 1907,28th January 1934 (88 years ago),Firpo Segura,15th January 1968,,
931,Giovanni Raicevich,264 lbs. (120 kg) at 5'7'' (1.70 m),"Trieste, Friuli-Venezia Giulia (Italy)",10th January 1881,1900,Giovanni Raicevich,1st November 1957,,
933,Kevin Michael Crine,240 lbs. (109 kg) at 6'2'' (1.88 m),"Akron, Ohio (United States of America)",9th June 1983 (age 38),22nd February 1998 (24 years ago),The American Eagle,,,
935,Makoto Arakawa,220 lbs. (100 kg) at 5'7'' (1.70 m),"Izumi, Kagoshima (Japan)",6th March 1946,1972,Don Arakawa,2nd December 2017,,
936,Brian Johnston,220 lbs. (100 kg) at 6'4'' (1.93 m),"San José, California (United States of America)",28th July 1969 (age 52),12th July 1996 (25 years ago),Brian Johnston,,,
937,unknown,225 lbs. (102 kg) at 6'0'' (1.83 m),"Phoenix, Arizona (United States of America)",3rd January 1974 (age 48),1999,Danny Devine,,,
940,Shigehisa Higo,187 lbs. (85 kg) at 5'9'' (1.75 m),"Kagoshima, Kagoshima (Japan)",5th March 1951 (age 71),??th March 1976,Mach Hayato,,,
942,Ted Allen Lipscomb,,"Cartersville, Georgia (United States of America)",17th November 1955,1973,Ted Allen,19th August 2010,,
957,unknown,217 lbs. (98 kg) at 6'0'' (1.83 m),"Kahoka, Missouri (United States of America)",,1999,Matt Murphy,,,
961,Takehiro Murahama,150 lbs. (68 kg) at 5'4'' (1.63 m),"Nonoichi, Ishikawa (Japan)",5th December 1974 (age 47),1999,Takehiro Murahama,,,
979,unknown,278 lbs. (126 kg) at 6'1'' (1.85 m),Canada,,30th August 1997 (24 years ago),Chris Wayne,,,
987,Masashi Aoyagi,205 lbs. (93 kg) at 5'8'' (1.73 m),"Toyota, Aichi (Japan)",27th December 1956 (age 65),2nd July 1989 (32 years ago),Masashi Aoyagi,,,
989,Anthony Stradling,202 lbs. (92 kg) at 6'1'' (1.85 m),"San Antonio, Texas (United States of America)",4th October 1980 (age 41),1999,Tony Santorelli,,,
990,Daniel Michael Quirk,151 lbs. (68 kg) at 6'0'' (1.83 m),"Bridgeport, Connecticut (United States of America)",19th July 1982,21st July 2002 (19 years ago),Spider,28th May 2005,,
1013,Brett J. Keen,225 lbs. (102 kg) at 5'10'' (1.78 m),United States of America,2nd November 1972,15th December 1996 (25 years ago),Chip Fairway,9th April 2011,,
1014,unknown,160 lbs. (73 kg) at 5'9'' (1.75 m),"Jeffersonville, Indiana (United States of America)",,1998,Richard X,,,
1015,Stan Swida,185 lbs. (84 kg) at 5'7'' (1.70 m),"Scarsdale, New York (United States of America)",,,Chuck E. Smooth,,,
1017,unknown,215 lbs. (98 kg) at 6'1'' (1.85 m),United States of America,,1998,Cuefa the Flyin Hawaiian,,,
1021,Fumihiro Niikura,238 lbs. (108 kg) at 6'1'' (1.85 m),"Yokohama, Kanagawa (Japan)",23rd August 1957 (age 64),10th January 1981 (41 years ago),Fumihiro Niikura,,,
1026,Mac Johnson,200 lbs. (91 kg) at 6'1'' (1.85 m),"Duson, Louisiana (United States of America)",5th August 1983 (age 38),2000,Mac Johnson,,,
1028,Mike Sharrer,243 lbs. (110 kg) at 5'10'' (1.78 m),"Kane'ohe, Hawaii (United States of America)",21st May 1977 (age 44),2001,Micah Taylor,,,
1031,unknown,335 lbs. (152 kg) at 6'7'' (2.01 m),"Huntington Beach, California (United States of America)",30th October 1970 (age 51),1998,Stefan Gamlin,,,
1032,unknown,185 lbs. (84 kg) at 5'8'' (1.73 m),"Laguna Niguel, California (United States of America)",7th July 1981 (age 40),,Billy Kim,,,
1033,Nathan Nickerson,135 lbs. (61 kg) at 5'5'' (1.65 m),"Los Angeles, California (United States of America)",18th March 1986 (age 35),2002,Lil' Nate,,,
1035,unknown,,,,,Sideshow Kjell,,,
1036,Richard Ferrara,225 lbs. (102 kg) at 5'6'' (1.68 m),"Dijon, Bourgogne-Franche-Comté (France)",5th June 1944,,Igor Putski,28th February 1996,,
1050,Katsuhisa Shibata,220 lbs. (100 kg) at 5'10'' (1.78 m),"Kuwana, Mie (Japan)",4th December 1943,12th October 1966 (55 years ago),Katsuhisa Shibata,16th January 2010,,
1052,Masakazu Fukuda,200 lbs. (91 kg) at 6'2'' (1.88 m),"Otawara, Tochigi (Japan)",17th May 1972,20th March 1996 (25 years ago),Masakazu Fukuda,19th April 2000,,
1055,Haruka Eigen,242 lbs. (110 kg) at 5'8'' (1.73 m),"Nakanoto, Ishikawa (Japan)",11th January 1945,12th October 1966 (55 years ago),Haruka Eigen,28th November 2016,,
1058,Satoru Asako,203 lbs. (92 kg) at 5'7'' (1.70 m),"Saitama, Saitama (Japan)",2nd March 1971 (age 51),4th April 1991 (30 years ago),Satoru Asako,,,
1061,Don Clyde Drake,245 lbs. (111 kg) at 6'0'' (1.83 m),Pennsylvania (United States of America),16th September 1957 (age 64),1979,DC Drake,,,
1069,Jonah Adelman,265 lbs. (120 kg) at 6'2'' (1.88 m),"Natick, Massachusetts (United States of America)",15th December 1979 (age 42),,Jonah,,,
1076,Osvaldo Rivera,165 lbs. (75 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",,,Envy,,,
1077,Greg Milne,230 lbs. (104 kg) at 5'9'' (1.75 m),"Port Coquitlam, British Columbia (Canada)",30th June 1978 (age 43),2nd February 2002 (20 years ago),Brian Sommers,,,
1078,Vernard Adams,359 lbs. (163 kg) at 6'3'' (1.91 m),"Euclid, Ohio (United States of America)",19th September ???,??th June 2000,Tyrone Morris,,,
1081,unknown,181 lbs. (82 kg) at 6'0'' (1.83 m),Australia,21st December 1985 (age 36),28th December 2002 (19 years ago),Slikk Steev,,,
1082,Robert Cook,190 lbs. (86 kg) at 5'6'' (1.68 m),"Elmira, New York (United States of America)",12th January 1975 (age 47),??th February 1999,IB Green,,,
1087,Brian Dunn,270 lbs. (122 kg) at 6'4'' (1.93 m),"St. Louis, Missouri (United States of America)",10th February 1972 (age 50),25th December 1999 (22 years ago),Brian Ash,,,
1093,unknown,172 lbs. (78 kg) at 5'9'' (1.75 m),"St. Louis, Missouri (United States of America)",20th August 1982 (age 39),??th August 2002,Cade Sydal,,,
1095,Dustin Saulsbury,160 lbs. (73 kg) at 5'10'' (1.78 m),"Easton, Maryland (United States of America)",12th November 1985 (age 36),2003,Trey Webber,,,
1115,unknown,229 lbs. (104 kg) at 5'11'' (1.80 m),"Wellington, Wellington (New Zealand)",,1989,AJ Freeley,,,
1117,Milad Elzein,152 lbs. (69 kg) at 5'3'' (1.60 m),Beirut (Lebanon),25th December 1960 (age 61),1987,Abu Wizal,,,
1128,unknown,200 lbs. (91 kg) at 6'0'' (1.83 m),"Nashville, Tennessee (United States of America)",,,Rick Santel,,,
1134,unknown,204 lbs. (93 kg) at 5'11'' (1.80 m),"Greenville, South Carolina (United States of America)",28th July 1981 (age 40),2001,Jeremy Vain,,,
1146,Codie Mullins,238 lbs. (108 kg) at 6'3'' (1.91 m),"Sapulpa, Oklahoma (United States of America)",19th March 1987 (age 34),??th June 2004,CG Mullins ,,,
1148,William Noel Ash,225 lbs. (102 kg) at 5'10'' (1.78 m),"Carthage, Missouri (United States of America)",13th June 1946 (age 75),,Bill Ash,,,
1153,Robert Guill,280 lbs. (127 kg) at 6'1'' (1.85 m),"Wharton, Texas (United States of America)",,2000,Devestator,,,
1154,Eddie Guill,398 lbs. (181 kg) at 6'7'' (2.01 m),"Houston, Texas (United States of America)",,1993,Demonseed,,,
1155,Stephen Wagers,240 lbs. (109 kg) at 5'10'' (1.78 m),"New Orleans, Louisiana (United States of America)",18th March 1967 (age 54),1986,Lord Asteroth,,,
1156,Eddie Walker,226 lbs. (103 kg) at 6'0'' (1.83 m),"Savannah, Georgia (United States of America)",1981,??th March 2001,Vordell Walker,,,
1158,David James Arquette,158 lbs. (72 kg) at 5'10'' (1.78 m),"Winchester, Virginia (United States of America)",8th September 1971 (age 50),12th April 2000 (21 years ago),David Arquette,,,
1159,Joe Di Nuzzo,225 lbs. (102 kg) at 6'0'' (1.83 m),"Corleone, Sicilia (Italy)",16th May 1982 (age 39),15th June 2001 (20 years ago),Diego Corleone,,,
1165,Lawrence Julius Taylor,240 lbs. (109 kg) at 6'3'' (1.91 m),"Williamsburg, Virginia (United States of America)",4th February 1959 (age 63),2nd April 1995 (26 years ago),Lawrence Taylor,,,
1168,Leon Baxter,230 lbs. (104 kg) at 5'10'' (1.78 m),"Donalsonville, Georgia (United States of America)",4th June 1938,1960,The Wrestling Pro,15th August 2019,,
1169,Woodrow Wilson Woolwine Strode,205 lbs. (93 kg) at 6'3'' (1.91 m),"Los Angeles, California (United States of America)",25th July 1914,14th February 1940 (82 years ago),Woody Strode,31st December 1994,,
1170,Christopher Gazaway,162 lbs. (73 kg) at 5'6'' (1.68 m),United States of America,10th August 1984 (age 37),8th February 2003 (19 years ago),X-Cal,,,
1179,Taylor Ann Matheny,125 lbs. (57 kg) at 5'2'' (1.57 m),"Maple Valley, Washington (United States of America)",,2001,Taylor Matheny ,,,
1180,Hawk Hayes Younkins,230 lbs. (104 kg) at 6'4'' (1.93 m),"St. Augustine, Florida (United States of America)",28th July 1981 (age 40),7th June 2002 (19 years ago),Hawk Younkins,,,
1182,Ian Logan,204 lbs. (93 kg) at 6'3'' (1.91 m),"Aldershot, Hampshire, England (United Kingdom)",2nd September 1981 (age 40),18th August 2002 (19 years ago),Ian Logan,,,
1183,Jerrod West,190 lbs. (86 kg) at 6'1'' (1.85 m),"Long Beach, California (United States of America)",21st December 1983 (age 38),27th March 2004 (17 years ago),Indy Kid,,,
1187,Daniel Harnsberger,240 lbs. (109 kg) at 6'5'' (1.96 m),"Midlothian, Virginia (United States of America)",10th July 1980 (age 41),7th October 2003 (18 years ago),Dan Richards,,,
1188,Melvin Lee Ramos,215 lbs. (98 kg) at 5'9'' (1.75 m),"New York City, New York (United States of America)",14th March 1985 (age 37),??th June 1999,Sean Sánchez,,,
1189,Kevin Reiche,175 lbs. (79 kg) at 6'2'' (1.88 m),"Philadelphia, Pennsylvania (United States of America)",7th August 1986 (age 35),7th August 2004 (17 years ago),Apollyon,,,
