,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Height,Date of Death,Weight
19998,Karl Veimann,Estonia,21st March 1888,Hadji Weinura,,,,1970,
19999,Ausencio Ángel Mijangos Arroyo,"Heroica Puebla de Zaragoza, Puebla (Mexico)",28th December 1956 (age 65),Baby Killer,,15th September 1975 (46 years ago),,,
20000,Jacob Pfefer,"Warszawa, Mazowieckie (Poland)",10th December 1894,Jack Pfefer,135 lbs. (61 kg) at 5'5'' (1.65 m),,,13th September 1974,
20003,unknown,"San Luis Potosí, San Luis Potosí (Mexico)",,The Lince,,,,,
20004,unknown,"Ciudad de México, Ciudad de México (Mexico)",23rd December 1983 (age 38),La Diosa Felina ,165 lbs. (75 kg) at 5'8'' (1.73 m),,,,
20005,unknown,"Cynthiana, Kentucky (United States of America)",2nd March 1984 (age 38),Juicy Jimmy Feltcher,,,,,
20007,unknown,,17th September 1986 (age 35),SEIYA,165 lbs. (75 kg) at 5'6'' (1.68 m),15th May 2010 (11 years ago),,,
20008,unknown,,,Grappling Machine #2,,,,,
20010,unknown,Chihuahua (Mexico),,El Tahúr,,,,,
20011,unknown,,,Souther,,,,,
20012,unknown,,,Tigre Oriental,,,,,
20013,unknown,"Ube, Yamaguchi (Japan)",,Yuji Maeda,165 lbs. (75 kg) at 5'7'' (1.70 m),,,,
20014,unknown,,,Hikaru Michimoto,,,,,
20015,unknown,"Oita, Oita (Japan)",6th June ???,xXXx,203 lbs. (92 kg) at 5'8'' (1.73 m),,,,
20016,unknown,,15th May ???,Kevin Jeffries,,,,,
20018,unknown,Morelos (Mexico),,El Mercurio,,,,,
20019,unknown,Morelos (Mexico),,Apolo Ramírez,,,,,
20020,Francisco Javier Torres Insunza,"Ciudad Obregón, Sonora (Mexico)",10th April 1985 (age 36),Javier Torres,170 lbs. (77 kg) at 6'1'' (1.85 m),27th March 2010 (11 years ago),,,
20021,Charlie Rader,"New Orleans, Louisiana (United States of America)",6th April 1982 (age 39),Charlie Rader,170 lbs. (77 kg) at 6'2'' (1.88 m),29th September 2007 (14 years ago),,,
20023,Ryan McGillivray,"Duncan, British Columbia (Canada)",,Ryan McGillivray,170 lbs. (77 kg) at 5'11'' (1.80 m),8th June 2006 (15 years ago),,,
20025,Yusuke Kubo,"Isa, Kagoshima (Japan)",15th February 1987 (age 35),Yusuke Kubo,176 lbs. (80 kg) at 5'8'' (1.73 m),22nd October 2005 (16 years ago),,,
20028,unknown,,,Taifu,,,,,
