,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
26968,unknown,260 lbs. (118 kg) at 6'6'' (1.98 m),"Greenwich, Connecticut (United States of America)",Christopher Cambridge,10th July 2011 (10 years ago),,20th January ???,,
26970,unknown,400 lbs. (181 kg) at 6'5'' (1.96 m),,Geter,,,,,
26971,unknown,255 lbs. (116 kg) at 6'3'' (1.91 m),,Jagged Edge,1996,,,,
26972,unknown,,,Austin Bradley,,,,,
26973,unknown,110 lbs. (50 kg) at 5'3'' (1.60 m),"Marugame, Kagawa (Japan)",Ayano Omori ,,,4th July 1978 (age 43),,
26974,unknown,155 lbs. (70 kg) at 5'7'' (1.70 m),Osaka (Japan),Chiaki Kashida ,29th April 2001 (20 years ago),,19th October 1976 (age 45),,
26975,Motoko Baba,,"Akashi, Hyogo (Japan)",Motoko Baba ,,,2nd January 1940,14th April 2018,
26976,unknown,105 lbs. (48 kg) at 5'0'' (1.52 m),"Nagoya, Aichi (Japan)",Chitose Yamamoto ,10th December 2000 (21 years ago),,9th June 1976 (age 45),,
26977,unknown,,"Numazu, Shizuoka (Japan)",Mizuho Ishikawa ,2001,5'5'' (1.65 m),12th August 1975 (age 46),,
26978,Everett Eddy,235 lbs. (107 kg) at 6'0'' (1.83 m),Pennsylvania (United States of America),The Monsterman,,,,,
26979,unknown,234 lbs. (106 kg) at 6'0'' (1.83 m),"Calgary, Alberta (Canada)",Kim Klokeid,,,1951,,
26981,unknown,120 lbs. (54 kg) at 5'1'' (1.55 m),Niigata (Japan),Keiko Saito ,13th October 2002 (19 years ago),,16th April 1977 (age 44),,
26982,unknown,128 lbs. (58 kg) at 5'3'' (1.60 m),"Tokyo, Tokyo (Japan)",Akane Kokume ,24th November 2002 (19 years ago),,18th July 1978 (age 43),,
26983,Yukari Kitao,140 lbs. (64 kg) at 5'1'' (1.55 m),"Hikone, Shiga (Japan)",Yukari Kitao ,29th March 2003 (18 years ago),,14th December 1977 (age 44),,
26986,unknown,,,Bill Christy,,,,,
26988,unknown,110 lbs. (50 kg) at 5'2'' (1.57 m),"Nagano, Nagano (Japan)",Yui Kanbara ,28th February 2004 (18 years ago),,30th May 1982 (age 39),,
26989,Rika Takahashi,121 lbs. (55 kg) at 5'2'' (1.57 m),"Fujimi, Saitama (Japan)",Rika Takahashi ,31st October 2004 (17 years ago),,3rd December 1991 (age 30),,
26992,unknown,200 lbs. (91 kg) at 5'8'' (1.73 m),United Kingdom,Josh O'Brien,24th November 2011 (10 years ago),,15th December 1983 (age 38),,
26993,unknown,238 lbs. (108 kg) at 5'11'' (1.80 m),"Los Angeles, California (United States of America)",Buki,6th April 2011 (10 years ago),,,,
26994,Motohisa Yamawaki,,"Gifu, Gifu (Japan)",Motoya Izumi,3rd November 2005 (16 years ago),5'6'' (1.68 m),4th June 1974 (age 47),,
26996,unknown,190 lbs. (86 kg) at 5'9'' (1.75 m),Japan,Ginga Senshi Lavender,,,,,
26997,Marina Okamoto,117 lbs. (53 kg) at 5'1'' (1.55 m),Aichi (Japan),Fairy Nipponbashi ,18th December 2011 (10 years ago),,15th March ???,,
26998,unknown,187 lbs. (85 kg) at 5'8'' (1.73 m),"Yao, Osaka (Japan)",Hiroaki Moriya,21st May 1995 (26 years ago),,6th January 1969 (age 53),,
26999,Shiho Nakamigawa,126 lbs. (57 kg) at 5'2'' (1.57 m),"Tokyo, Tokyo (Japan)",Shiho Tsubaki ,??th December 1990,,22nd July 1973 (age 48),,
27000,Justin Martin,,,Jack Massacre,,,,,
27002,Ryan LaFlare,170 lbs. (77 kg) at 6'1'' (1.85 m),"Lindenhurst, New York (United States of America)",Ryan LaFlare,27th June 2008 (13 years ago),,1st October 1983 (age 38),,
27003,Ilir Latifi,205 lbs. (93 kg) at 5'8'' (1.73 m),"Malmö, Skåne (Sweden)",Ilir Latifi,17th May 2008 (13 years ago),,28th July 1983 (age 38),,
27007,Daisuke Miura,,"Kashihara, Nara (Japan)",Makai #18,,,25th December 1973 (age 48),,
27008,unknown,108 lbs. (49 kg) at 5'2'' (1.57 m),"Tokyo, Tokyo (Japan)",Teruko Kagawa ,8th April 2001 (20 years ago),,20th March 1975 (age 47),,
27010,unknown,,"Chula Vista, California (United States of America)",Santos,,,,,
27012,Kazue Saito,137 lbs. (62 kg) at 5'5'' (1.65 m),"Yokohama, Kanagawa (Japan)",Kazue Saito,7th December 1989 (32 years ago),,23rd July 1969 (age 52),,
27014,P.G. Gilbert,,,Nap de Vora,,,,,
27015,Aya Sakurai,126 lbs. (57 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",Aya Sakurai ,17th December 2000 (21 years ago),,17th January 1983 (age 39),,
27016,Noriko Takimoto,119 lbs. (54 kg) at 5'3'' (1.60 m),"Yamato, Kanagawa (Japan)",Dirty Yamato ,17th August 1989 (32 years ago),,4th January 1967 (age 55),,
27017,Mika Takahashi,139 lbs. (63 kg) at 5'5'' (1.65 m),Tochigi (Japan),Mika Takahashi ,25th September 1986 (35 years ago),,12th February 1969 (age 53),,
27018,Yu Tanabe,73 lbs. (33 kg) at 4'6'' (1.37 m),"Tokyo, Tokyo (Japan)",Yu Tanabe ,5th May 2003 (18 years ago),,26th February 1992 (age 30),,
27019,Hatsumi Tawada,106 lbs. (48 kg) at 5'2'' (1.57 m),Shiga (Japan),Hatsumi Tawada ,,,16th February 1976 (age 46),,
27021,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Gori Casanova,,,17th February 1934 (age 88),,
27022,unknown,,Mexico,Sexy Glamour,,,,,
27023,Matthew Saad Muhammad,175 lbs. (79 kg) at 5'11'' (1.80 m),"Philadelphia, Pennsylvania (United States of America)",Matthew Saad Muhammad,8th May 1992 (29 years ago),,16th June 1954 (age 67),,
27024,unknown,,"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",Átomo Jr.,,,,,
27025,Akemi Torisu,290 lbs. (132 kg) at 5'5'' (1.65 m),"Saga, Saga (Japan)",Akemi Torisu ,21st July 1990 (31 years ago),,6th October 1970 (age 51),,
27026,Roberto de Luna Jr.,220 lbs. (100 kg) at 6'2'' (1.88 m),"Hammond, Indiana (United States of America)",Roberto De Luna,,,7th September 1976 (age 45),,
27027,Trina Thompson,,"Louisville, Kentucky (United States of America)",Trina ,,5'4'' (1.63 m),,,
27028,unknown,,United Kingdom,Switch,,,,,180 lbs. (82 kg)
27029,Robert Russell,,New Zealand,Prince Banu,,,,,
27030,unknown,,New Zealand,Ray Clarke,,,,,
27032,Sheila Gaff,135 lbs. (61 kg) at 5'5'' (1.65 m),"Eschwege, Hessen (Germany)",Sheila Gaff ,2nd September 2006 (15 years ago),,29th December 1989 (age 32),,
27034,unknown,,Puebla (Mexico),Toro Loco,,,,,
27035,unknown,,Puebla (Mexico),El Toro de Oro,2001,,1978,,
27036,unknown,,Puebla (Mexico),Blue Tiger,,,,,
27037,unknown,,Puebla (Mexico),Dreika ,,,,,
27038,unknown,,Puebla (Mexico),El Lince,,,,,
27041,unknown,,,Matt Farmer,1st April 1995 (26 years ago),,,,
27043,unknown,,,Ghillie,,,,,
27044,Nick Santos,,"Roselle, New Jersey (United States of America)",Nicholas Kaye,,,,,
27045,unknown,,Puerto Rico,J-Co,,,,??th April 2013,
27046,unknown,,Mexico,Inmortal,,,,,
27047,unknown,,"Knoxville, Tennessee (United States of America)",Robbie Race,,,1976,,
27048,unknown,,Mexico,El Hijo del Black Man,,,,,
27049,Cornelius D. Jones,,"Brunswick, Georgia (United States of America)",Cameron LaRue,,,1976,6th March 2013,
27053,Sean Terry Catron,,,Allen Durgy,,,26th September 1975,11th November 2011,
27054,unknown,,,JR Alzado,,,,,
27055,Keith Sheara,,"Cranford, New Jersey (United States of America)",Keith Scherer,,,,,
27056,unknown,,Mexico,Máscara Oculta,2007,,1987,,
27057,unknown,,,Jim Bryant,,,23rd March 1966 (age 55),,
27058,unknown,,"Pikeville, Kentucky (United States of America)",Colby Carmichael,,,12th December 1991 (age 30),,
27059,Jake Kemmerer,,"Philadelphia, Pennsylvania (United States of America)",Bad Crew #1,1990,,,,
27060,Paul Olsek Jr.,,"Philadelphia, Pennsylvania (United States of America)",Bad Crew #2,1990,,,,
27061,Geza Walter Tako,,,Geza Tako,,,21st May 1907,10th March 1985,
27062,unknown,200 lbs. (91 kg) at 5'7'' (1.70 m),"Juárez, Chihuahua (Mexico)",Angelix,26th August 2006 (15 years ago),,,,
27063,Óscar González Rolon,,"Reynosa, Tamaulipas (Mexico)",Miguel Ángel,,,,13th August 2020,
27064,Martín Corona Ocañas,,"Montemorelos, Nuevo León (Mexico)",Leonardo,,,15th July 1955,8th September 2021,
27065,Guadalupe Mata,,"Monterrey, Nuevo León (Mexico)",Donatello,,,,,
27066,Vicence González,,"Reynosa, Tamaulipas (Mexico)",Rafael,,,,,
27067,Humberto Arellano,,Mexico,Elegante Blanco,,,,13th January 1996,
27068,Millard Bennett,,,Bruiser Bennett,,,,,
27069,Earl Ray Kennedy,,"Davis, Oklahoma (United States of America)",Earl Kennedy,1990,6'1'' (1.85 m),19th January ???,,
27070,unknown,,San Luis Potosí (Mexico),Arañita,,,,,
27071,unknown,,Puebla (Mexico),El Malayo,,,,,
27072,Roland Oakes Jr.,,,Ron Oakes,,,,,
27075,unknown,,,Chuck West,,,,,
27077,unknown,,Nuevo León (Mexico),30-30,,,,,
27078,Galen Carpenter,,,General Von Kessler,1980,,31st August 1940 (age 81),,
27079,José Luis Moran Tapia,,Mexico,Torbellino,2007,,1989,,
27080,unknown,,,Mike Andrews,,,,,
27103,Canyon Lindley,,"Athens, Texas (United States of America)",Canyon,,,,,
27105,Brooks Arnold,,"Bedford, Indiana (United States of America)",The Roadie,,,9th February 1984 (age 38),,
27106,unknown,,Ecuador,El Megastar,2008,,,,
27107,unknown,,Juncos (Puerto Rico),Hércules Gómez,,,,,280 lbs. (127 kg)
27108,unknown,196 lbs. (89 kg) at 5'10'' (1.78 m),Ciudad de Panamá (Panama),Nick Romano,,,18th November 1982 (age 39),,
27110,unknown,168 lbs. (76 kg) at 5'9'' (1.75 m),Netherlands,Young Money Chong,,,,,
27113,unknown,,"Reynosa, Tamaulipas (Mexico)",Sweety ,??th July 2009,,26th September 1988 (age 33),,
27114,unknown,121 lbs. (55 kg) at 5'7'' (1.70 m),"Brownsville, Texas (United States of America)",Lady Viper ,??th February 2013,,,,
27115,unknown,,Nuevo León (Mexico),El Sultán,,,,,
27117,unknown,154 lbs. (70 kg) at 5'9'' (1.75 m),,Sly Sebastian,2010,,,,
27119,unknown,243 lbs. (110 kg) at 6'5'' (1.96 m),"Graz, Steiermark (Austria)",Steinbolt,,,,,
27120,unknown,218 lbs. (99 kg) at 5'10'' (1.78 m),"Lahti, Päijät-Häme (Finland)",Murskaaja Mieto,,,,,
27121,unknown,187 lbs. (85 kg) at 6'7'' (2.01 m),,Angel de Tormenta,,,,,
