,Alias,Finisher,Interesting Weblinks,Management,Matches Fought,Nickname,Stables,Tag Teams,Tournament Wins,Trademark Moves,Trainer,Familiy Ties,Managed by,Shows Commentated,Students,Typical Error(s),Booked Promotion,Mask Win,Hair Match Won,Managed Promotions,Hair Match Lost,Hair Matches Won,Nicknames,Managed Promotion,Hair Matches Lost,Mask Loss,Mask Wins,Student,Booked Promotions,Familiy Tie,Mask Losses,Fighting Style,- Runs Infinite Promotions,- has at least fifteen sons,- retired from Wrestling on 06/27/2014
13328,1,3,1,0,1,1,1,5,5,5,1,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,1,3,1,0,1,0,8,2,7,13,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1215,1,1,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
363,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
944,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0
9912,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,1,0,0,0,1,1,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0
9,1,3,2,0,1,0,5,1,5,9,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
469,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1572,1,1,0,0,1,0,1,2,1,3,1,1,0,0,1,0,0,0,0,0,0,7,1,0,11,0,0,0,0,0,0,0,0,0,0
276,1,3,0,0,1,1,7,1,13,4,1,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
286,1,1,0,1,1,1,1,5,1,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,1,0,1,0,3,4,5,7,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
959,1,2,0,0,1,0,2,2,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,1,3,1,0,1,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1533,1,3,1,0,1,0,6,1,8,6,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25693,1,2,1,0,1,1,0,4,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,1,0,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1380,1,3,0,0,1,0,0,3,5,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,1,5,1,0,1,0,10,5,9,19,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
317,1,4,1,0,1,0,5,3,6,35,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2144,1,1,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0
1567,1,1,0,0,1,1,2,3,12,4,1,1,1,0,1,0,1,1,0,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0
2803,1,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,2,0,0,0,0
18,1,2,0,0,1,0,6,7,5,9,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,1,2,0,0,1,0,8,1,2,10,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2581,1,3,2,0,1,0,3,3,7,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0
15571,1,4,3,0,1,0,5,2,7,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
96,1,1,1,0,1,0,3,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1222,1,0,0,0,1,0,4,2,19,4,1,1,0,0,1,0,1,0,0,0,0,8,1,0,0,1,4,0,0,0,0,0,0,0,0
310,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,1,4,0,0,1,0,4,6,3,11,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1863,1,1,2,0,1,0,0,0,1,3,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
968,1,3,1,0,1,0,13,3,6,8,1,0,0,1,0,2,1,1,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0
2412,1,1,0,0,1,0,0,2,0,5,1,1,0,0,1,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0,0,0,0,0,0
5462,1,3,0,0,1,0,5,3,11,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,1,3,1,0,1,0,8,5,8,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
515,1,3,1,0,1,0,4,2,8,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
560,1,4,1,0,1,0,2,7,5,10,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
761,1,5,1,0,1,1,3,1,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,1,1,0,0,1,1,7,4,4,4,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,1,0,0,0,0,0,0,0
1051,1,2,0,0,1,1,2,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
6948,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2440,1,1,2,0,1,1,3,1,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,3,0,0,1,0,3,2,3,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2325,1,5,1,0,1,0,3,3,5,10,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2896,1,1,1,0,1,0,0,2,5,3,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
313,1,3,2,0,1,0,7,2,2,14,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1729,1,3,0,0,1,0,5,1,4,5,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,1,3,1,0,1,0,0,1,1,13,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1763,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17005,1,3,1,0,1,1,2,6,7,3,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,1,1,0,0,1,0,0,3,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1520,1,3,0,0,1,0,4,1,5,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,1,3,0,0,1,1,4,3,5,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
36,1,3,1,0,1,1,5,2,1,7,1,1,1,1,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1350,1,1,1,0,1,0,1,1,5,5,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,1,2,2,0,1,0,5,2,6,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
554,1,4,2,0,1,0,6,1,4,9,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
