,Date,Match,Promotion,Event,Rating,# of teams,Team Size,PPV,Wrestler 1,Wrestler 2,Wrestler 3,Wrestler 4,Wrestler 5,Wrestler 6,Wrestler 7,Wrestler 8,Wrestler 9,Wrestler 10,Wrestler 11,Wrestler 12
157,"August 31, 2019",Walter vs. Tyler Bate,WWE,NXT UK TakeOver: Cardiff,5.25,2,1,FALSE,Walter,Tyler Bate,,,,,,,,,,
158,"August 31, 2019",Lucha Brothers (Pentagon Jr. and Rey Fenix) vs. The Young Bucks (Matt Jackson and Nick Jackson),AEW,All Out,5.25,2,2,TRUE,Pentagon Jr.,Rey Fenix,Matt Jackson,Nick Jackson,,,,,,,,
159,"September 22, 2019",Bandido vs. Dragon Lee,PWG,Battle of Los AngelesNight 3,5,2,2,TRUE,Bandido,Dragon Lee,,,,,,,,,,
160,"October 26, 2019",David Starr vs. Jordan Devlin,OTT,5th Year Anniversary,5,2,1,FALSE,David Starr,Jordan Devlin,,,,,,,,,,
161,"January 4, 2020",Will Ospreay vs. Hiromu Takahashi,NJPW,Wrestle Kingdom 14Night 1,5.5,2,1,TRUE,Will Ospreay,Hiromu Takahashi,,,,,,,,,,
162,"January 4, 2020",Kazuchika Okada vs. Kota Ibushi,NJPW,Wrestle Kingdom 14Night 1,5.75,2,1,TRUE,Kazuchika Okada,Kota Ibushi,,,,,,,,,,
163,"January 5, 2020",Kazuchika Okada vs. Tetsuya Naito,NJPW,Wrestle Kingdom 14Night 2,5,2,1,TRUE,Kazuchika Okada,Tetsuya Naito,,,,,,,,,,
164,"February 14, 2020",Will Ospreay vs. Zack Sabre Jr.,RPW,High Stakes,5,2,1,FALSE,Will Ospreay,Zack Sabre Jr.,,,,,,,,,,
165,"February 29, 2020",Kenny Omega and Adam Page vs. The Young Bucks (Matt Jackson and Nick Jackson),AEW,Revolution,6,2,2,TRUE,Kenny Omega,Adam Page,Matt Jackson,Nick Jackson,,,,,,,,
166,"September 16, 2020",Best Friends (Chuck Taylor and Trent) vs. Santana and Ortiz,AEW,Dynamite,5,2,2,FALSE,Chuck Taylor,Trent,Santana,Ortiz,,,,,,,,
167,"September 27, 2020",Shingo Takagi vs. Will Ospreay,NJPW,G1 Climax 30Night 5,5,2,1,TRUE,Shingo Takagi,Will Ospreay,,,,,,,,,,
168,"October 10, 2020",Kota Ibushi vs. Minoru Suzuki,NJPW,G1 Climax 30Night 13,5.25,2,1,TRUE,Kota Ibushi,Minoru Suzuki,,,,,,,,,,
169,"October 10, 2020",Kazuchika Okada vs. Shingo Takagi,NJPW,G1 Climax 30Night 13,5.25,2,1,TRUE,Kazuchika Okada,Shingo Takagi,,,,,,,,,,
170,"October 29, 2020",Walter vs. Ilja Dragunov,WWE,NXT UK,5,2,1,FALSE,Walter,Ilja Dragunov,,,,,,,,,,
171,"November 7, 2020",The Young Bucks (Matt Jackson and Nick Jackson) vs FTR (Cash Wheeler and Dax Harwood),AEW,Full Gear,5.25,2,2,TRUE,Matt Jackson,Nick Jackson,Cash Wheeler,Dax Harwood,,,,,,,,
172,"December 6, 2020",Go Shiozaki vs. Takashi Sugiura,Noah,The BEST ~Final Chronicle 2020~,5,2,1,FALSE,Go Shiozaki,Takashi Sugiura,,,,,,,,,,
173,"January 4, 2021",Kazuchika Okada vs. Will Ospreay,NJPW,Wrestle Kingdom 15 Night 1,5.25,2,1,TRUE,Kazuchika Okada,Will Ospreay,,,,,,,,,,
174,"January 4, 2021",Tetsuya Naito vs. Kota Ibushi,NJPW,Wrestle Kingdom 15 Night 1,5,2,1,TRUE,Tetsuya Naito,Kota Ibushi,,,,,,,,,,
175,"January 5, 2021",Shingo Takagi vs. Jeff Cobb,NJPW,Wrestle Kingdom 15 Night 2,5,2,1,TRUE,Shingo Takagi,Jeff Cobb,,,,,,,,,,
176,"January 5, 2021",Kota Ibushi vs. Jay White,NJPW,Wrestle Kingdom 15 Night 2,5.25,2,1,TRUE,Kota Ibushi,Jay White,,,,,,,,,,
177,"January 6, 2021",Kenny Omega vs. Rey Fenix,AEW,New Year's Smash Night 1,5,2,1,FALSE,Kenny Omega,Rey Fenix,,,,,,,,,,
178,"January 30, 2021",Hiroshi Tanahashi vs. Shingo Takagi,NJPW,The New Beginning in Nagoya,5,2,1,FALSE,Hiroshi Tanahashi,Shingo Takagi,,,,,,,,,,
179,"March 14, 2021",Will Ospreay vs. Zack Sabre Jr.,NJPW,New Japan CupNight 8,5,2,1,TRUE,Will Ospreay,Zack Sabre Jr.,,,,,,,,,,
180,"March 21, 2021",Will Ospreay vs. Shingo Takagi,NJPW,New Japan CupNight 13,5.5,2,1,TRUE,Will Ospreay,Shingo Takagi,,,,,,,,,,
181,"April 14, 2021",The Young Bucks (Matt Jackson and Nick Jackson) vs. Death Triangle (Pac and Rey Fenix),AEW,Dynamite,5,2,2,FALSE,Matt Jackson,Nick Jackson,Pac,Rey Fenix,,,,,,,,
182,"May 4, 2021",Will Ospreay vs. Shingo Takagi,NJPW,Wrestling Dontaku 2021Night 2,6,2,1,TRUE,Will Ospreay,Shingo Takagi,,,,,,,,,,
183,"June 12, 2021",Syuri vs. Utami Hayashishita,Stardom,Tokyo Dream Cinderella,5.5,2,1,FALSE,Syuri,Utami Hayashishita,,,,,,,,,,
184,"July 25, 2021",Hiroshi Tanahashi vs. Shingo Takagi,NJPW,Wrestle Grand Slam in Tokyo Dome,5,2,1,TRUE,Hiroshi Tanahashi,Shingo Takagi,,,,,,,,,,
185,"August 22, 2021",Ilja Dragunov vs. Walter,WWE,NXT TakeOver 36,5.25,2,1,FALSE,Ilja Dragunov,Walter,,,,,,,,,,
186,"September 5, 2021",The Young Bucks (Matt Jackson and Nick Jackson) vs. Lucha Brothers (Pentagón Jr. and Rey Fenix),AEW,All Out,5.75,2,2,TRUE,Matt Jackson,Nick Jackson,Pentagón Jr.,Rey Fenix,,,,,,,,
187,"September 18, 2021",Tomohiro Ishii vs. Shingo Takagi,NJPW,G1 Climax 31Night 1,5.5,2,1,TRUE,Tomohiro Ishii,Shingo Takagi,,,,,,,,,,
188,"September 22, 2021",Bryan Danielson vs. Kenny Omega,AEW,AEW Grand Slam,5,2,1,FALSE,Bryan Danielson,Kenny Omega,,,,,,,,,,
189,"October 9, 2021",Lucha Brothers (Pentagón Jr. and Fénix) vs. Jinetes del Aire (El Hijo del Vikingo and Laredo Kid),AAA,Héroes Inmortales XIV,5,2,2,FALSE,Pentagón Jr.,Fénix,El Hijo del Vikingo,Laredo Kid,,,,,,,,
190,"November 13, 2021","Superkliq (Adam Cole, Matt Jackson and Nick Jackson) vs. Christian Cage and Jurassic Express (Jungle Boy and Luchasaurus)",AEW,Full Gear,5,2,3,TRUE,Adam Cole,Matt Jackson,Nick Jackson,Christian Cage,Jungle Boy,Luchasaurus,,,,,,
191,"November 13, 2021",Adam Page vs. Kenny Omega,AEW,Full Gear,5.5,2,1,TRUE,Adam Page,Kenny Omega,,,,,,,,,,
192,"December 15, 2021",Adam Page vs. Bryan Danielson,AEW,Winter is Coming,5,2,1,FALSE,Adam Page,Bryan Danielson,,,,,,,,,,
193,"January 5, 2022",Kazuchika Okada vs. Will Ospreay,NJPW,Wrestle Kingdom 16Night 2,5.75,2,1,TRUE,Kazuchika Okada,Will Ospreay,,,,,,,,,,
194,"January 26, 2022",Cody Rhodes vs. Sammy Guevara,AEW,Beach Break,5,2,1,FALSE,Cody Rhodes,Sammy Guevara,,,,,,,,,,
195,"January 29, 2022",Will Ospreay vs. Michael Oku,RPW,High Stakes,5,2,1,FALSE,Will Ospreay,Michael Oku,,,,,,,,,,
