,Date,Match,Promotion,Event,Rating,# of teams,Team Size,PPV,Wrestler 1,Wrestler 2,Wrestler 3,Wrestler 4,Wrestler 5,Wrestler 6,Wrestler 7,Wrestler 8,Wrestler 9,Wrestler 10,Wrestler 11,Wrestler 12
64,"March 4, 1995",Kenta Kobashi and Mitsuharu Misawa vs. Johnny Ace and Steve Williams,AJPW,Excite SeriesNight 12,5,2,2,TRUE,Kenta Kobashi,Mitsuharu Misawa,Johnny Ace,Steve Williams,,,,,,,,
65,"April 15, 1995",Akira Taue vs. Mitsuharu Misawa,AJPW,Champion CarnivalNight 19,5,2,1,TRUE,Akira Taue,Mitsuharu Misawa,,,,,,,,,,
66,"May 7, 1995",Manami Toyota vs. Kyoko Inoue,AJW,G*Top 2nd,5,2,1,TRUE,Manami Toyota,Kyoko Inoue,,,,,,,,,,
67,"June 9, 1995",Kenta Kobashi and Mitsuharu Misawa vs. The Holy Demon Army (Toshiaki Kawada and Akira Taue),AJPW,Super Power SeriesNight 15,5,2,2,TRUE,Kenta Kobashi,Mitsuharu Misawa,Toshiaki Kawada,Akira Taue,,,,,,,,
68,"June 27, 1995",Manami Toyota vs. Aja Kong,AJW,Zenjo Movement Night 40,5,2,1,TRUE,Manami Toyota,Aja Kong,,,,,,,,,,
69,"June 30, 1995","Mitsuharu Misawa, Kenta Kobashi, and Satoru Asako vs. Tamon Honda and The Holy Demon Army (Toshiaki Kawada and Akira Taue)",AJPW,Summer Action SeriesNight 1,5,2,3,TRUE,Mitsuharu Misawa,Kenta Kobashi,Satoru Asako,Tamon Honda,Toshiaki Kawada,Akira Taue,,,,,,
70,"July 23, 1995",Manami Toyota vs. Mima Shimoda,AJW,Japan Grand PrixNight 8,5,2,1,TRUE,Manami Toyota,Mima Shimoda,,,,,,,,,,
71,"August 30, 1995",Kyoko Inoue and Takako Inoue vs. Manami Toyota and Sakie Hasegawa,AJW,WWWA Champions Night,5,2,2,TRUE,Kyoko Inoue,Takako Inoue,Manami Toyota,Sakie Hasegawa,,,,,,,,
72,"September 2, 1995",Akira Hokuto vs. Manami Toyota,AJW,Destiny,5,2,1,FALSE,Akira Hokuto,Manami Toyota,,,,,,,,,,
73,"September 22, 1995",Rey Misterio Jr. vs. Psicosis,AAA,Mexico City show,5,2,1,FALSE,Rey Misterio Jr.,Psicosis,,,,,,,,,,
74,"March 9, 1996",Juventud Guerrera vs. Rey Misterio Jr.,ECW,Big Ass Extreme Bash,5,2,1,FALSE,Juventud Guerrera,Rey Misterio Jr.,,,,,,,,,,
75,"May 23, 1996",Mitsuharu Misawa and Jun Akiyama vs. The Holy Demon Army (Toshiaki Kawada and Akira Taue),AJPW,Super Power SeriesNight 5,5,2,2,TRUE,Mitsuharu Misawa,Jun Akiyama,Toshiaki Kawada,Akira Taue,,,,,,,,
76,"June 7, 1996",Jun Akiyama and Mitsuharu Misawa vs. Johnny Ace and Steve Williams,AJPW,Super Power SeriesNight 15,5,2,2,TRUE,Jun Akiyama,Mitsuharu Misawa,Johnny Ace,Steve Williams,,,,,,,,
77,"October 10, 1996","Kaientai DX (Dick Togo, Men's Teioh, Shiryu, Shoichi Funaki, and Taka Michinoku) vs. Gran Hamada, Gran Naniwa, Masato Yakushiji, Super Delfin, and Tiger Mask IV",Michinoku Pro,3rd Anniversary,5,2,5,FALSE,Dick Togo,Men's Teioh,Shiryu,Shoichi Funaki,Taka Michinoku,Gran Hamada,Gran Naniwa,Masato Yakushiji,Super Delfin,Tiger Mask IV,,
