,Real Name,Birthplace,wrestler_name,Date of Birth,Debut,Weight and Height,Date of Death,Height,Weight
29036,Aja Smith,"Aracaju, Sergipe (Brazil)",Daphne LaShaunn ,9th June 1994 (age 27),5th October 2013 (8 years ago),155 lbs. (70 kg) at 5'5'' (1.65 m),,,
29037,Porfirio Rendon Arias,Mexico,El Carnicerito,,,,,,
29038,unknown,Australia,Stephen Swann,,,,,,
29039,Sione Finau,"Concord, California (United States of America)",Sione Finau,17th May 1981 (age 40),,,,,
29040,Shuichiro Katsumura,"Yokohama, Kanagawa (Japan)",Shuichiro Katsumura,17th June 1976 (age 45),9th April 1999 (22 years ago),132 lbs. (60 kg) at 5'8'' (1.73 m),,,
29041,unknown,Jalisco (Mexico),Reycko,,,,,,
29042,unknown,"Monterrey, Nuevo León (Mexico)",Centella del Norte,1961,,,,,
29043,Francisco García Garza,"Monterrey, Nuevo León (Mexico)",El Bruto,25th December 1925 (age 96),1953,161 lbs. (73 kg) at 5'9'' (1.75 m),,,
29046,unknown,Japan,Fukin Kitazawa ,30th October 1994 (age 27),30th March 2014 (7 years ago),132 lbs. (60 kg) at 5'1'' (1.55 m),,,
29047,Lee Frances Collins,Maine (United States of America),Lee Collins,3rd September 1909,,235 lbs. (107 kg) at 6'0'' (1.83 m),10th June 1956,,
29048,unknown,"Vancouver, British Columbia (Canada)",Violet ,14th May ???,2014,125 lbs. (57 kg) at 5'6'' (1.68 m),,,
29049,unknown,"Surrey, British Columbia (Canada)",Chris Vörös,,,,,,
29050,unknown,"Surrey, British Columbia (Canada)",Patrick Vörös,,,,,,
29051,unknown,"Vancouver, British Columbia (Canada)",Skarlet ,1995,2014,115 lbs. (52 kg) at 5'4'' (1.63 m),,,
29053,Randy Hawkins,Canada,Karl Cunningham,,,,,,
29054,Jack Stewart,Canada,Jack Cunningham,,,,,,
29055,unknown,,Harold Spang,,,,,,
29056,Laurence E. Pressnall,"Denver, Colorado (United States of America)",Larry Pressnall,31st October 1926,,,21st May 1981,,
29057,James Ebenezer Potts,"Somerset, Wisconsin (United States of America)",Jimmy Potts,8th April 1879,,,24th March 1956,5'6'' (1.68 m),
29058,unknown,Quebec (Canada),Domino Jonathan,,,209 lbs. (95 kg) at 6'1'' (1.85 m),,,
29059,unknown,Canada,Sly Silverstone,,,,,,
29060,unknown,Canada,Illusion ,,,,,,
29061,unknown,Canada,Farmer Joe,,,,,,
29063,unknown,Quebec (Canada),Psycho Pat,,,205 lbs. (93 kg) at 6'3'' (1.91 m),,,
29067,Walter Lolley II.,,Rip Steele,,,,,,
29072,Bernard Ackah,"Bonn, Nordrhein-Westfalen (Germany)",Bernard Ackah,9th April 1972 (age 49),12th March 2007 (15 years ago),200 lbs. (91 kg) at 6'1'' (1.85 m),,,
29074,Warren Upton Allenbaugh,,Dutch Allen,2nd December 1929,,,30th May 1981,,
29075,George Leopold Baltzer,"Lorain, Ohio (United States of America)",George Baltzer,2nd August 1895,,,19th March 1947,5'10'' (1.78 m),
29077,George Alphonso Kinney,"Odell, Nebraska (United States of America)",George Kinney,23rd June 1886,,,3rd July 1938,,
29078,John Joseph Lippan,,Jack Lippon,1894,,,1964,,
29079,Louis Edwin Reif,Kansas (United States of America),Louis Reif,26th July 1904,,,2nd January 1984,,
29082,unknown,"Montréal, Quebec (Canada)",Liam Letto,,,,,,
29083,Enelio Visocchi,"Montréal, Quebec (Canada)",Emile Gordon,1923,,,19th April 2003,,
29085,Carlos Alberto Romero Mendoza,Mexico,Carlos Mendoza,,,,,,
29089,unknown,Nuevo León (Mexico),El Divo,,,,,,
29090,Hiroe Nagahama,"Niigata, Niigata (Japan)",HIROe ,4th November 1995 (age 26),29th October 2014 (7 years ago),132 lbs. (60 kg) at 5'2'' (1.57 m),,,
29091,unknown,Veracruz de Ignacio de la Llave (Mexico),Mr. Coyote,,,,,,
29092,Pablo Israel Torres Muñoz,Puebla (Mexico),Astro Man,,2001,,,,
29094,unknown,Puebla (Mexico),Estrella de Plata Jr.,,,,,,
29095,unknown,Mexico,Imperio Negro,,,,,,
29096,unknown,Estado de México (Mexico),Comando Rivera,,,,,,
29097,unknown,,Galindo,,??th September 2014,,,,
29098,unknown,"Goodlettsville, Tennessee (United States of America)",Kevin Weatherby,,2008,,,,
29100,unknown,"Miami, Florida (United States of America)",Deimos,,2005,,,,268 lbs. (122 kg)
29101,unknown,"Goodlettsville, Tennessee (United States of America)",Steven Green,,,,,,
29102,unknown,"Nashville, Tennessee (United States of America)",James Duncan,,,,,5'11'' (1.80 m),
29103,unknown,"Erin, Tennessee (United States of America)",Dyron Flynn,,16th November 2007 (14 years ago),207 lbs. (94 kg) at 5'8'' (1.73 m),,,
29104,unknown,Kentucky (United States of America),Chic Canyon,21st May ???,,,,,
29105,unknown,"Dayton, Ohio (United States of America)",The Great American Beast,,2012,202 lbs. (92 kg) at 6'1'' (1.85 m),,,
29106,unknown,"Marysville, Ohio (United States of America)",Flex Jordan,,2014,210 lbs. (95 kg) at 6'2'' (1.88 m),,,
29107,unknown,"Cleveland, Ohio (United States of America)",Ganger,,,190 lbs. (86 kg) at 5'9'' (1.75 m),,,
29108,unknown,,G-Force,,,,,,
29109,unknown,"Los Angeles, California (United States of America)",Jeremiah,,,220 lbs. (100 kg) at 5'10'' (1.78 m),,,
29110,unknown,,Matt Ryan,,,,,,
29111,unknown,United States of America,Mikael,,,180 lbs. (82 kg) at 5'11'' (1.80 m),,,
29113,unknown,"Los Angeles, California (United States of America)",Nate Wings,,,120 lbs. (54 kg) at 5'3'' (1.60 m),,,
29114,unknown,,Draven,,,,,,
29118,Clyde P. Hinton,,Clyde Hinton,,,,,,
29119,unknown,,"James ""Happy"" Norman",,,,,,
29121,unknown,,Walter McMillan,1900,,,8th February 1971,,
29122,unknown,,Basanta Singh,,,,,,
29123,unknown,,Joe Cossu,,,,,,
29124,unknown,,Wee Willie Woods,,,,,,
29126,unknown,,Jun Hado,,,,,,
29127,unknown,,The Great Akuma,,,,,,
29128,unknown,,Andy McFadden,,,,,,
29129,unknown,"Detroit, Michigan (United States of America)",Atlas Hytower,,2008,,,,
29130,unknown,"Detroit, Michigan (United States of America)",Lance Star,,,,,,
29131,unknown,"Detroit, Michigan (United States of America)",Steven Rivera,,,,,,
29132,unknown,"Detroit, Michigan (United States of America)",Chris Moore,,,,,,
29133,unknown,"Detroit, Michigan (United States of America)",Chuck Stein,17th November 1976 (age 45),12th May 2012 (9 years ago),,,,
29134,unknown,Indiana (United States of America),Ace Evans,,,,,6'0'' (1.83 m),
29135,unknown,"Boston, Massachusetts (United States of America)",Whip O'Doyle,,,,,,
29136,unknown,"Detroit, Michigan (United States of America)",Pounder Patterson,,,,,,
29137,unknown,United States of America,Rob Teet,,,,,,
29138,unknown,United States of America,Moe Evans,,,,,,
29139,unknown,,Mike Markoff,,,,,,
29140,unknown,"San Francisco, California (United States of America)",Willie Watts,17th September 1988 (age 33),2006,220 lbs. (100 kg) at 6'2'' (1.88 m),,,
29141,unknown,United States of America,DJ Shortstop,,,,,,
29142,unknown,United States of America,Paul Bowser,8th November ???,,280 lbs. (127 kg) at 6'4'' (1.93 m),,,
29143,unknown,,The BU F'N G,,,,,,
29144,unknown,,Drunk the Clown,,,,,,
29145,unknown,Michigan (United States of America),Mike Marvel,18th March 1994 (age 28),2011,173 lbs. (78 kg) at 5'10'' (1.78 m),,,
29146,unknown,, Andy Muscat,,,,,,
29147,unknown,"Detroit, Michigan (United States of America)",Malcolm Monroe III.,23rd July ???,,145 lbs. (66 kg) at 5'5'' (1.65 m),,,
29148,unknown,United States of America,Mike McMahon,26th August ???,,220 lbs. (100 kg) at 6'2'' (1.88 m),,,
29149,unknown,,Ali Bargach,1921,,,10th July 2010,,
29150,unknown,,Lester Washburn,,,,,,
29151,Jeremiah McCoy,United States of America,Deathrow Jethro,,,,,,
29152,unknown,"Atlanta, Georgia (United States of America)",Trey Williams,,,,,,
