,Real Name,Birthplace,wrestler_name,Date of Birth,Debut,Weight and Height,Date of Death,Height,Weight
29332,unknown,"Aurora, Colorado (United States of America)",J.J. Aldrich ,11th June 1992 (age 29),6th September 2014 (7 years ago),115 lbs. (52 kg) at 5'5'' (1.65 m),,,
29333,unknown,"El Paso, Texas (United States of America)",Norma Rueda Center ,12th August 1987 (age 34),23rd March 2013 (8 years ago),116 lbs. (53 kg) at 5'4'' (1.63 m),,,
29334,Colleen Schneider,"Syracuse, New York (United States of America)",Colleen Schneider ,12th March 1982 (age 40),19th March 2010 (12 years ago),135 lbs. (61 kg) at 5'9'' (1.75 m),,,
29335,Cindy Dandois,"Antwerpen, Antwerpen, Vlaanderen (Belgium)",Cindy Dandois ,26th October 1984 (age 37),24th January 2009 (13 years ago),145 lbs. (66 kg) at 5'7'' (1.70 m),,,
29336,Brianna Van Buren,"Gilroy, California (United States of America)",Brianna Van Buren ,1993,20th October 2012 (9 years ago),116 lbs. (53 kg) at 4'11'' (1.50 m),,,
29337,Christine Stanley,"San Diego, California (United States of America)",Christine Stanley ,,13th April 2012 (9 years ago),125 lbs. (57 kg) at 5'5'' (1.65 m),,,
29338,Ana Carolina Vidal,"San Diego, California (United States of America)",Ana Carolina Vidal ,,27th February 2015 (7 years ago),125 lbs. (57 kg) at 5'2'' (1.57 m),,,
29339,Aspen Ladd,"Folsom, California (United States of America)",Aspen Ladd ,1st March 1995 (age 27),27th February 2015 (7 years ago),125 lbs. (57 kg) at 5'6'' (1.68 m),,,
29340,Laura Salazar,"Norwalk, California (United States of America)",Laura Salazar ,18th December 1983 (age 38),22nd May 2014 (7 years ago),129 lbs. (59 kg) at 5'2'' (1.57 m),,,
29341,Santiago Ponzinibbio,"Buenos Aires, Ciudad Autónoma de Buenos Aires (Argentina)",Santiago Ponzinibbio,26th September 1986 (age 35),19th July 2008 (13 years ago),170 lbs. (77 kg) at 6'0'' (1.83 m),,,
29342,Duica Jankovic,"Jagodina, Pomoravlje (Serbia)",Duda Yankovich ,27th September 1976 (age 45),8th September 2012 (9 years ago),125 lbs. (57 kg) at 5'6'' (1.68 m),,,
29343,Paul Felder,"Philadelphia, Pennsylvania (United States of America)",Paul Felder,25th April 1985 (age 36),10th December 2011 (10 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29344,Herica Tiburcio,"Pedro de Toledo, São Paulo (Brazil)",Herica Tiburcio ,1st January 1993 (age 29),30th May 2011 (10 years ago),105 lbs. (48 kg) at 4'11'' (1.50 m),,,
29345,Cody Garbrandt,"Uhrichsville, Ohio (United States of America)",Cody Garbrandt,7th July 1991 (age 30),29th December 2012 (9 years ago),135 lbs. (61 kg) at 5'7'' (1.70 m),,,
29346,Jared Cannonier,"Dallas, Texas (United States of America)",Jared Cannonier,,19th June 2011 (10 years ago),265 lbs. (120 kg) at 6'3'' (1.91 m),,,
29347,unknown,"Chigasaki, Kanagawa (Japan)",Kotaro Yoshino,19th July 1994 (age 27),29th April 2014 (7 years ago),202 lbs. (92 kg) at 5'5'' (1.65 m),,,
29348,Raymond P. Murillo,California (United States of America),Biggie Biggs,,,,,,350 lbs. (159 kg)
29350,Eduardo Herdy,"Río de Janeiro, Río de Janeiro (Brazil)",Eduardo Herdy,,15th October 2011 (10 years ago),155 lbs. (70 kg) at 5'11'' (1.80 m),,,
29351,unknown,"Newark, New Jersey (United States of America)",Wade Argento,24th November ???,6th October 2014 (7 years ago),180 lbs. (82 kg) at 5'5'' (1.65 m),,,
29352,Leandro Silva,"São Paulo, São Paulo (Brazil)",Leandro Silva,11th November 1985 (age 36),10th May 2008 (13 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29353,Alexis Dufresne,"Temecula, California (United States of America)",Alexis Dufresne ,31st August 1990 (age 31),22nd September 2012 (9 years ago),143 lbs. (65 kg) at 5'9'' (1.75 m),,,
29354,unknown,"Tulsa, Oklahoma (United States of America)",Spyder,12th November ???,5th July 2014 (7 years ago),176 lbs. (80 kg) at 6'3'' (1.91 m),,,
29355,Arlene Blencowe,"Port Macquarie, New South Wales (Australia)",Arlene Blencowe ,11th April 1983 (age 38),13th April 2013 (8 years ago),148 lbs. (67 kg) at 5'5'' (1.65 m),,,
29356,Marion Reneau,Belize,Marion Reneau ,20th June 1977 (age 44),7th March 2010 (12 years ago),135 lbs. (61 kg) at 5'6'' (1.68 m),,,
29357,Livia Renata Souza,"Araraquara, São Paulo (Brazil)",Livia Souza ,11th March 1991 (age 31),9th May 2013 (8 years ago),115 lbs. (52 kg) at 5'5'' (1.65 m),,,
29358,unknown,"Claremore, Oklahoma (United States of America)",Ethan Cole,19th February ???,26th April 2014 (7 years ago),,,,
29359,unknown,"Claremore, Oklahoma (United States of America)",Trey Cole,29th January ???,26th April 2014 (7 years ago),200 lbs. (91 kg) at 6'0'' (1.83 m),,,
29360,Juliano Coutinho,"Río de Janeiro, Río de Janeiro (Brazil)",Juliano Coutinho,,1st August 2009 (12 years ago),263 lbs. (119 kg) at 6'0'' (1.83 m),,,
29361,Emmanuel Walo,"Jersey City, New Jersey (United States of America)",Emmanuel Walo,27th January 1987 (age 35),10th December 2011 (10 years ago),172 lbs. (78 kg) at 5'11'' (1.80 m),,,
29362,Benjamin John Francis Fodor,Texas (United States of America),Ben Fodor,25th May 1988 (age 33),10th April 2015 (6 years ago),170 lbs. (77 kg) at 6'9'' (2.06 m),,,
29363,unknown,United Kingdom,Kaytlyn ,,,,,5'5'' (1.65 m),
29364,Steve Mocco,"North Bergen, New Jersey (United States of America)",Steve Mocco,29th December 1981 (age 40),2nd November 2012 (9 years ago),260 lbs. (118 kg) at 6'0'' (1.83 m),,,
29365,Lee Mein,"Lethbridge, Alberta (Canada)",Lee Mein,28th May 1967 (age 54),17th November 2000 (21 years ago),246 lbs. (112 kg) at 6'3'' (1.91 m),,,
29366,Faith Van Duin,"Tauranga, Bay of Plenty (New Zealand)",Faith Van Duin ,26th June 1986 (age 35),28th April 2013 (8 years ago),143 lbs. (65 kg) at 5'10'' (1.78 m),,,
29367,Latoya Walker,"Austin, Texas (United States of America)",Latoya Walker ,30th September 1979 (age 42),1st October 2011 (10 years ago),145 lbs. (66 kg) at 5'5'' (1.65 m),,,
29368,Anthony Birchak,"Tucson, Arizona (United States of America)",Anthony Birchak,16th May 1986 (age 35),4th June 2009 (12 years ago),135 lbs. (61 kg) at 5'8'' (1.73 m),,,
29369,unknown,"Sydney, New South Wales (Australia)",Saxon Bruce,,,289 lbs. (131 kg) at 6'6'' (1.98 m),,,
29370,Henry Cejudo,"Los Angeles, California (United States of America)",Henry Cejudo,9th February 1987 (age 35),2nd March 2013 (9 years ago),136 lbs. (62 kg) at 5'4'' (1.63 m),,,
29371,Joseph Duffy,"Donegal, Donegal (Ireland)",Joseph Duffy,18th February 1988 (age 34),29th March 2008 (13 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29372,Larissa Pacheco,"Belém, Pará (Brazil)",Larissa Pacheco ,7th September 1994 (age 27),15th March 2012 (10 years ago),135 lbs. (61 kg) at 5'8'' (1.73 m),,,
29373,unknown,"Sydney, New South Wales (Australia)",Whiskey Sixx,,,168 lbs. (76 kg) at 5'9'' (1.75 m),,,
29374,Josh Copeland,"Denver, Colorado (United States of America)",Josh Copeland,,22nd June 2012 (9 years ago),245 lbs. (111 kg) at 6'1'' (1.85 m),,,
29375,unknown,"Sydney, New South Wales (Australia)",Ali Abraham,,,187 lbs. (85 kg) at 5'10'' (1.78 m),,,
29376,unknown,"Sydney, New South Wales (Australia)",Alex Titan,,,245 lbs. (111 kg) at 6'4'' (1.93 m),,,
29377,unknown,"Sydney, New South Wales (Australia)",Tristan Slade,,,198 lbs. (90 kg) at 6'0'' (1.83 m),,,
29378,unknown,"Bartlesville, Oklahoma (United States of America)",Rob Davis,,,180 lbs. (82 kg) at 5'10'' (1.78 m),,,
29379,unknown,"Owasso, Oklahoma (United States of America)",Trent Calm,25th July ???,2013,265 lbs. (120 kg) at 6'4'' (1.93 m),,,
29380,unknown,"Chicago, Illinois (United States of America)",KP Moore,13th September ???,2013,,,,
29381,Liam McGeary,"King's Lynn, Norfolk, England (United Kingdom)",Liam McGeary,4th October 1982 (age 39),8th May 2010 (11 years ago),205 lbs. (93 kg) at 6'6'' (1.98 m),,,
29382,Scott Coker,United States of America,Scott Coker,,,,,,
29383,Jake Lindsey,"Manhattan, Kansas (United States of America)",Jake Lindsey,21st June 1986 (age 35),19th June 2010 (11 years ago),155 lbs. (70 kg) at 5'11'' (1.80 m),,,
29384,Raja Shippen,"Lake Forest, California (United States of America)",Raja Shippen,7th October 1986 (age 35),28th July 2005 (16 years ago),135 lbs. (61 kg) at 5'6'' (1.68 m),,,
29385,Abubakar Nurmagomedov,Russia,Abubakar Nurmagomedov,1990,22nd October 2011 (10 years ago),,,,170 lbs. (77 kg)
29386,unknown,,Keith Waddington,1944,,,13th March 2015,,
29387,Fabricio de Assis Costa da Silva,"Macapá, Amapá (Brazil)",Fabricio Guerreiro,24th July 1990 (age 31),31st January 2009 (13 years ago),148 lbs. (67 kg) at 5'10'' (1.78 m),,,
29388,Aaron Miller,South Carolina (United States of America),Aaron Miller,,11th August 2007 (14 years ago),146 lbs. (66 kg) at 5'9'' (1.75 m),,,
29389,Tony Johnson Jr.,"North Platte, Nebraska (United States of America)",Tony Johnson Jr.,,6th November 2008 (13 years ago),265 lbs. (120 kg) at 6'1'' (1.85 m),,,
29390,Mark Vorgeas,"Laguna Hills, California (United States of America)",Mark Vorgeas,,9th October 2008 (13 years ago),,,,145 lbs. (66 kg)
29391,Cleber Luciano,"Huntington Beach, California (United States of America)",Cleber Luciano,,21st November 1998 (23 years ago),155 lbs. (70 kg) at 5'6'' (1.68 m),,,
29392,unknown,"Huntington Beach, California (United States of America)",John Mercurio,,2nd October 2008 (13 years ago),170 lbs. (77 kg) at 6'1'' (1.85 m),,,
29393,Luc Bondole,"Portland, Maine (United States of America)",Luc Bondole,,4th October 2012 (9 years ago),185 lbs. (84 kg) at 6'2'' (1.88 m),,,
29394,unknown,"Tahlequah, Oklahoma (United States of America)",Brett Stopp,25th April ???,9th February 2013 (9 years ago),172 lbs. (78 kg) at 6'0'' (1.83 m),,,
29395,unknown,United States of America,Zakk Sinizter,8th August ???,5th January 2013 (9 years ago),,,,
29396,unknown,"Austin, Texas (United States of America)",Steve O,3rd November ???,2009,153 lbs. (69 kg) at 5'8'' (1.73 m),,,
29397,Greg Parker,"Irvine, California (United States of America)",Greg Parker,,20th November 2011 (10 years ago),170 lbs. (77 kg) at 6'0'' (1.83 m),,,
29398,Alejandro Pérez,"Aguascalientes, Aguascalientes (Mexico)",Alejandro Pérez,,17th July 2005 (16 years ago),145 lbs. (66 kg) at 5'6'' (1.68 m),,,
29399,Marcos Bonilla,"Los Angeles, California (United States of America)",Marcos Bonilla,,10th August 2014 (7 years ago),145 lbs. (66 kg) at 5'10'' (1.78 m),,,
29400,Olivier Aubin-Mercier,"Boucherville, Quebec (Canada)",Olivier Aubin-Mercier,23rd February 1989 (age 33),21st October 2011 (10 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29401,Patrick Williams,"Homestead, Florida (United States of America)",Patrick Williams,7th September 1981 (age 40),21st August 2010 (11 years ago),135 lbs. (61 kg) at 5'8'' (1.73 m),,,
29402,José Alberto Quiñones,Zacatecas (Mexico),José Quinonez,,,135 lbs. (61 kg) at 5'8'' (1.73 m),,,
29403,Alan Jouban,"Lafayette, Louisiana (United States of America)",Alan Jouban,25th November 1982 (age 39),18th February 2011 (11 years ago),170 lbs. (77 kg) at 6'0'' (1.83 m),,,
29404,Chris Beal,"Ventura, California (United States of America)",Chris Beal,6th August 1985 (age 36),3rd July 2009 (12 years ago),126 lbs. (57 kg) at 5'8'' (1.73 m),,,
29405,Daniel Kelly,"Melbourne, Victoria (Australia)",Daniel Kelly,31st October 1977 (age 44),22nd July 2006 (15 years ago),186 lbs. (84 kg) at 6'0'' (1.83 m),,,
29406,Iony Razafiarison,"Paris, Île-de-France (France)",Iony Razafiarison ,23rd December 1984 (age 37),26th October 2013 (8 years ago),145 lbs. (66 kg) at 5'3'' (1.60 m),,,
29407,Patrick Alex Walsh,"West Bridgewater, Massachusetts (United States of America)",Patrick Walsh,28th November 1988 (age 33),15th September 2012 (9 years ago),230 lbs. (104 kg) at 6'0'' (1.83 m),,,
29408,Ricardo Abreu,"Ribeirão Preto, São Paulo (Brazil)",Ricardo Abreu,27th April 1984 (age 37),9th July 2011 (10 years ago),185 lbs. (84 kg) at 6'0'' (1.83 m),,,
29409,Roberta Paim,"Lajeado, Rio Grande do Sul (Brazil)",Roberta Paim ,,18th May 2013 (8 years ago),145 lbs. (66 kg) at 5'8'' (1.73 m),,,
29410,Antonio dos Santos Jr.,"Salvador, Bahia (Brazil)",Antonio dos Santos,21st July 1988 (age 33),16th May 2009 (12 years ago),185 lbs. (84 kg) at 5'10'' (1.78 m),,,
29411,Wagner Silva Gomes,"Viçosa, Minas Gerais (Brazil)",Wagner Silva,7th February 1987 (age 35),31st March 2012 (9 years ago),185 lbs. (84 kg) at 6'0'' (1.83 m),,,
29412,Ron Stallings,Maryland (United States of America),Ron Stallings,25th February 1983 (age 39),19th July 2003 (18 years ago),185 lbs. (84 kg) at 6'0'' (1.83 m),,,
29413,Justin Jones,"San Diego, California (United States of America)",Justin Jones,,,185 lbs. (84 kg) at 5'11'' (1.80 m),,,
29414,Gasan Umalatov,"Astrachan, Astrachan (Russia)",Gasan Umalatov,3rd November 1982 (age 39),25th April 2008 (13 years ago),181 lbs. (82 kg) at 5'11'' (1.80 m),,,
29415,Garreth McLellan,Johannesburg (South Africa),Garreth McLellan,9th January 1982 (age 40),30th May 2009 (12 years ago),185 lbs. (84 kg) at 6'0'' (1.83 m),,,
29416,Krzysztof Jotko,"Elblag, Elblag (Poland)",Krzysztof Jotko,19th August 1989 (age 32),18th June 2010 (11 years ago),185 lbs. (84 kg) at 6'1'' (1.85 m),,,
29417,Bartosz Fabinski,"Warszawa, Mazowieckie (Poland)",Bartosz Fabinski,26th April 1986 (age 35),18th November 2011 (10 years ago),170 lbs. (77 kg) at 6'0'' (1.83 m),,,
29418,Rob Sinclair,"Manchester, Greater Manchester, England (United Kingdom)",Rob Sinclair,20th February 1980 (age 42),12th September 2006 (15 years ago),155 lbs. (70 kg) at 5'8'' (1.73 m),,,
29419,Steve Ramírez,"Tulare, California (United States of America)",Steve Ramírez,,21st May 2004 (17 years ago),185 lbs. (84 kg) at 5'8'' (1.73 m),,,
29420,Kiichi Kunimoto,"Osaka, Osaka (Japan)",Kiichi Kunimoto,1st May 1981 (age 40),19th March 2006 (16 years ago),169 lbs. (77 kg) at 5'10'' (1.78 m),,,
29421,Derrick Lewis,"New Orleans, Louisiana (United States of America)",Derrick Lewis,7th February 1985 (age 37),9th April 2010 (11 years ago),264 lbs. (120 kg) at 6'3'' (1.91 m),,,
29422,Jonathan Santa Maria,"Whittier, California (United States of America)",Jonathan Santa Maria,,22nd March 2014 (7 years ago),,,,125 lbs. (57 kg)
29423,Richard Walsh,"Sydney, New South Wales (Australia)",Richard Walsh,1st December 1988 (age 33),29th May 2009 (12 years ago),170 lbs. (77 kg) at 6'0'' (1.83 m),,,
29424,Ruan Potts,Cape Town (South Africa),Ruan Potts,23rd February 1978 (age 44),3rd February 2011 (11 years ago),251 lbs. (114 kg) at 6'2'' (1.88 m),,,
29425,Rodrigo de Lima,"Río de Janeiro, Río de Janeiro (Brazil)",Rodrigo de Lima,9th May 1991 (age 30),10th May 2008 (13 years ago),135 lbs. (61 kg) at 5'8'' (1.73 m),,,
29426,Alejandro Villalobos,Santo Domingo (Costa Rica),Alejandro Villalobos,26th October 1978 (age 43),8th September 2006 (15 years ago),145 lbs. (66 kg) at 5'7'' (1.70 m),,,
29427,Emmanuel Sánchez,"Milwaukee, Wisconsin (United States of America)",Emmanuel Sánchez,11th August 1990 (age 31),19th November 2011 (10 years ago),145 lbs. (66 kg) at 5'9'' (1.75 m),,,
29428,Rashad Coulter,"Dallas, Texas (United States of America)",Rashad Coulter,,10th June 2011 (10 years ago),230 lbs. (104 kg) at 5'11'' (1.80 m),,,
29429,Jayme McKinney,"Monroe, Louisiana (United States of America)",Jayme McKinney,9th July 1980 (age 41),13th June 2003 (18 years ago),265 lbs. (120 kg) at 6'4'' (1.93 m),,,
29430,Sean Holden,,Sean Holden,17th September 1984 (age 37),2nd December 2011 (10 years ago),170 lbs. (77 kg) at 5'10'' (1.78 m),,,
29431,Logan Nail,"Sherman, Texas (United States of America)",Logan Nail,20th June 1989 (age 32),21st February 2014 (8 years ago),185 lbs. (84 kg) at 6'3'' (1.91 m),,,
29432,Stephen Banaszak,"Bells, Texas (United States of America)",Stephen Banaszak,7th December 1990 (age 31),10th December 2012 (9 years ago),147 lbs. (67 kg) at 6'0'' (1.83 m),,,
29433,Neal Ewing,"Dallas, Texas (United States of America)",Neal Ewing,30th September 1985 (age 36),10th September 2011 (10 years ago),185 lbs. (84 kg) at 6'0'' (1.83 m),,,
29434,Brad Mitchell,"Dallas, Texas (United States of America)",Brad Mitchell,10th October 1974 (age 47),5th June 2010 (11 years ago),145 lbs. (66 kg) at 5'11'' (1.80 m),,,
29435,Gilbert Alexander Burns,"Niterói, Río de Janeiro (Brazil)",Gilbert Burns,20th July 1986 (age 35),28th January 2012 (10 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29436,Klayton Mai,"Dallas, Texas (United States of America)",Klayton Mai,30th November 1986 (age 35),10th September 2011 (10 years ago),125 lbs. (57 kg) at 5'9'' (1.75 m),,,
29437,Andreas Stahl,"Umeå, Västerbottens (Sweden)",Andreas Stahl,20th May 1988 (age 33),12th October 2009 (12 years ago),169 lbs. (77 kg) at 5'11'' (1.80 m),,,
29438,Xavier Siller,"Abilene, Texas (United States of America)",Xavier Siller,6th June 1994 (age 27),3rd August 2013 (8 years ago),125 lbs. (57 kg) at 5'5'' (1.65 m),,,
29439,Dhiego Lima,"Goiânia, Goiás (Brazil)",Dhiego Lima,31st January 1989 (age 33),5th February 2010 (12 years ago),170 lbs. (77 kg) at 6'2'' (1.88 m),,,
29440,Valmir Lazaro,"Salvador, Bahia (Brazil)",Valmir Lazaro,15th August 1985 (age 36),25th January 2007 (15 years ago),154 lbs. (70 kg) at 6'0'' (1.83 m),,,
29441,Masio Fullen,"Guadalajara, Jalisco (Mexico)",Masio Fullen,6th October 1987 (age 34),28th July 2007 (14 years ago),145 lbs. (66 kg) at 5'10'' (1.78 m),,,
29443,Alexander Torres,"Bogotá, Distrito Capital (Columbia)",Alexander Torres,,23rd February 2013 (9 years ago),145 lbs. (66 kg) at 5'10'' (1.78 m),,,
29444,Cathal Pendred,"Boston, Massachusetts (United States of America)",Cathal Pendred,2nd September 1987 (age 34),21st February 2009 (13 years ago),170 lbs. (77 kg) at 6'2'' (1.88 m),,,
29445,Ramon Salazar,"Scottsdale, Arizona (United States of America)",Ramon Salazar,21st February 1988 (age 34),11th September 2009 (12 years ago),135 lbs. (61 kg) at 5'7'' (1.70 m),,,
29446,Alex Oliveira,"Três Rios, Río de Janeiro (Brazil)",Alex Oliveira,,10th December 2011 (10 years ago),155 lbs. (70 kg) at 5'11'' (1.80 m),,,
29447,Augusto Montano,"Ciudad de México, Ciudad de México (Mexico)",Augusto Montano,25th October 1984 (age 37),28th November 2008 (13 years ago),170 lbs. (77 kg) at 6'2'' (1.88 m),,,
29448,Linton Vassell,"London, Greater London, England (United Kingdom)",Linton Vassell,3rd June 1983 (age 38),13th September 2008 (13 years ago),205 lbs. (93 kg) at 6'4'' (1.93 m),,,
29449,William Macário,"Río de Janeiro, Río de Janeiro (Brazil)",William Macário,1st July 1991 (age 30),15th August 2010 (11 years ago),170 lbs. (77 kg) at 5'11'' (1.80 m),,,
29450,Dean Hancock,"Danbury, Connecticut (United States of America)",Dean Hancock,,27th February 2015 (7 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29451,Curtis Millender,"San Bernardino, California (United States of America)",Curtis Millender,1st December 1987 (age 34),28th February 2013 (9 years ago),170 lbs. (77 kg) at 6'3'' (1.91 m),,,
29452,Mike Mangan,"Watertown, Connecticut (United States of America)",Mike Mangan,,6th July 2014 (7 years ago),,,,155 lbs. (70 kg)
29453,Brennan Ward,"Waterford, Connecticut (United States of America)",Brennan Ward,28th June 1988 (age 33),23rd February 2008 (14 years ago),170 lbs. (77 kg) at 5'10'' (1.78 m),,,
29454,Raphael Butler ,"Chicago, Illinois (United States of America)",Raphael Butler ,4th January 1984 (age 38),29th October 2010 (11 years ago),261 lbs. (118 kg) at 6'3'' (1.91 m),,,
29455,Josh Diekmann,"Westerly, Rhode Island (United States of America)",Josh Diekmann,9th October 1976 (age 45),5th February 2005 (17 years ago),238 lbs. (108 kg) at 6'2'' (1.88 m),,,
29456,Marvin Maldonado ,"Latham, New York (United States of America)",Marvin Maldonado ,,15th November 2013 (8 years ago),135 lbs. (61 kg) at 5'6'' (1.68 m),,,
29457,Neiman Gracie Stambowsky,"Río de Janeiro, Río de Janeiro (Brazil)",Neiman Gracie,12th December 1988 (age 33),14th September 2013 (8 years ago),176 lbs. (80 kg) at 6'0'' (1.83 m),,,
29458,Bobby Flynn,"Mashpee, Massachusetts (United States of America)",Bobby Flynn,,5th July 2009 (12 years ago),,,,170 lbs. (77 kg)
29459,Blair Tugman,"North Haven, Connecticut (United States of America)",Blair Tugman,,9th June 2007 (14 years ago),135 lbs. (61 kg) at 6'0'' (1.83 m),,,
29460,Leo Kuntz,"Linton, North Dakota (United States of America)",Leo Kuntz,3rd October 1983 (age 38),18th October 2008 (13 years ago),170 lbs. (77 kg) at 5'10'' (1.78 m),,,
29461,Patrick Holohan,"Dublin, Dublin (Ireland)",Patrick Holohan,3rd May 1988 (age 33),28th July 2007 (14 years ago),135 lbs. (61 kg) at 5'9'' (1.75 m),,,
29462,Islam Ramazanovich Makhachev,"Machatschkala, Dagestan (Russia)",Islam Makhachev,27th September 1991 (age 30),1st August 2010 (11 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29463,Izabela Badurek,"Lublin, Lubelskie (Poland)",Izabela Badurek ,11th July 1991 (age 30),2nd December 2012 (9 years ago),143 lbs. (65 kg) at 5'4'' (1.63 m),,,
29464,unknown,Puebla (Mexico),La Saeta Roja Jr.,7th December ???,,,,,
29466,unknown,"Guadalajara, Jalisco (Mexico)",La Gitana ,13th November 1993 (age 28),,,,,
29468,Aleksandra Albu,"Moskwa, Moskwa (Russia)",Aleksandra Albu ,14th July 1990 (age 31),29th June 2013 (8 years ago),135 lbs. (61 kg) at 5'2'' (1.57 m),,,
29469,Rocky Lee,Republic of China (Taiwan),Rocky Lee,8th April 1987 (age 34),17th July 2011 (10 years ago),145 lbs. (66 kg) at 5'9'' (1.75 m),,,
29470,Daniel Hooker,"Auckland, Auckland (New Zealand)",Daniel Hooker,13th February 1990 (age 32),7th March 2009 (13 years ago),145 lbs. (66 kg) at 6'0'' (1.83 m),,,
29471,Taylor Lapilus,"Paris, Île-de-France (France)",Taylor Lapilus,8th April 1992 (age 29),31st May 2012 (9 years ago),145 lbs. (66 kg) at 5'6'' (1.68 m),,,
29472,Alex White,"Tuscumbia, Missouri (United States of America)",Alex White,22nd October 1988 (age 33),19th November 2010 (11 years ago),146 lbs. (66 kg) at 6'0'' (1.83 m),,,
29473,Edimilson Souza,"Salvador, Bahia (Brazil)",Edimilson Souza,17th October 1984 (age 37),24th October 2009 (12 years ago),145 lbs. (66 kg) at 6'0'' (1.83 m),,,
29474,Yair Rodríguez,"Hidalgo del Parral, Chihuahua (Mexico)",Yair Rodríguez,10th June 1992 (age 29),10th October 2011 (10 years ago),145 lbs. (66 kg) at 5'11'' (1.80 m),,,
29475,Clay Collard,"Price, Utah (United States of America)",Clay Collard,10th March 1993 (age 29),26th March 2011 (10 years ago),145 lbs. (66 kg) at 5'11'' (1.80 m),,,
29476,Charles Rosa,"Peabody, Massachusetts (United States of America)",Charles Rosa,24th August 1986 (age 35),24th August 2012 (9 years ago),145 lbs. (66 kg) at 5'10'' (1.78 m),,,
29477,Sean Soriano,"Miami, Florida (United States of America)",Sean Soriano,6th October 1989 (age 32),5th May 2009 (12 years ago),145 lbs. (66 kg) at 5'9'' (1.75 m),,,
29478,Leonardo Morales,Managua (Nicaragua),Leonardo Morales,22nd December 1992 (age 29),1st September 2012 (9 years ago),145 lbs. (66 kg) at 5'11'' (1.80 m),,,
29479,Michael Reece-Page,"London, Greater London, England (United Kingdom)",Michael Page,7th April 1987 (age 34),4th February 2012 (10 years ago),170 lbs. (77 kg) at 6'3'' (1.91 m),,,
29480,Justin Gaethje,"Safford, Arizona (United States of America)",Justin Gaethje,14th November 1988 (age 33),20th August 2011 (10 years ago),155 lbs. (70 kg) at 5'11'' (1.80 m),,,
29481,Teddy Holder,"Bartlett, Tennessee (United States of America)",Teddy Holder,,16th August 2008 (13 years ago),205 lbs. (93 kg) at 6'2'' (1.88 m),,,
29482,Jimmy Spicuzza,"Las Vegas, Nevada (United States of America)",Jimmy Spicuzza,24th January 1985 (age 37),5th March 2011 (11 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29483,Timur Valiev,"Machatschkala, Dagestan (Russia)",Timur Valiev,19th January 1990 (age 32),4th September 2010 (11 years ago),135 lbs. (61 kg) at 5'6'' (1.68 m),,,
29484,Benny Madrid,"Phoenix, Arizona (United States of America)",Benny Madrid,8th August 1980 (age 41),18th April 2009 (12 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29485,Brendan Tierney,"Tempe, Arizona (United States of America)",Brendan Tierney,10th June 1975 (age 46),26th August 2006 (15 years ago),180 lbs. (82 kg) at 6'2'' (1.88 m),,,
29486,Juan Archuleta,California (United States of America),Juan Archuleta,,9th August 2013 (8 years ago),,,,135 lbs. (61 kg)
29487,Joseph Gigliotti,United States of America,Joseph Gigliotti,,9th August 2014 (7 years ago),180 lbs. (82 kg) at 5'11'' (1.80 m),,,
29488,Andres Ponce,"Yuma, Arizona (United States of America)",Andres Ponce,2nd October 1993 (age 28),28th March 2015 (6 years ago),136 lbs. (62 kg) at 5'9'' (1.75 m),,,
29489,Israel Aquino,"Reno, Nevada (United States of America)",Israel Aquino,,28th March 2015 (6 years ago),184 lbs. (83 kg) at 5'11'' (1.80 m),,,
29490,Dan Huber,"Mesa, Arizona (United States of America)",Dan Huber,,23rd November 2013 (8 years ago),185 lbs. (84 kg) at 6'2'' (1.88 m),,,
29491,Matthew Frincu,"Gold Coast, Queensland (Australia)",Matthew Frincu,,7th August 2010 (11 years ago),170 lbs. (77 kg) at 5'9'' (1.75 m),,,
29492,Eric Regan,"Ogdensburg, New York (United States of America)",Eric Regan,,29th April 2006 (15 years ago),170 lbs. (77 kg) at 5'9'' (1.75 m),,,
29493,Joe Madrid,"Oracle, Arizona (United States of America)",Joe Madrid,16th August 1990 (age 31),9th March 2013 (9 years ago),135 lbs. (61 kg) at 5'6'' (1.68 m),,,
29494,Johnny Case,"Jefferson, Iowa (United States of America)",Johnny Case,28th June 1989 (age 32),5th December 2007 (14 years ago),155 lbs. (70 kg) at 6'1'' (1.85 m),,,
29495,Erik Villalobos,"Brawley, California (United States of America)",Erik Villalobos,,3rd July 2010 (11 years ago),135 lbs. (61 kg) at 5'9'' (1.75 m),,,
29496,Jenny Liou Shriver,"Lewiston, Idaho (United States of America)",Jenny Liou ,,25th January 2014 (8 years ago),123 lbs. (56 kg) at 5'6'' (1.68 m),,,
29497,Stephanie Skinner,"Riverton, Wyoming (United States of America)",Stephanie Skinner ,5th April 1990 (age 31),29th January 2010 (12 years ago),105 lbs. (48 kg) at 5'4'' (1.63 m),,,
