,Date,Match,Promotion,Event,Rating,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Participant 6,# of teams,Team Size,PPV
124,"April 7, 2018",Johnny Gargano vs. Tommaso Ciampa,WWE,NXT TakeOver: New Orleans,5.0,['Johnny Gargano'],['Tommaso Ciampa'],,,,,2,1,False
125,"April 14, 2018",A-Kid vs. Zack Sabre Jr.,La Triple W,Total Rumble 8,5.0,['A-Kid'],['Zack Sabre Jr.'],,,,,2,1,False
126,"May 4, 2018",Kazuchika Okada vs. Hiroshi Tanahashi,NJPW,Wrestling Dontaku,5.5,['Kazuchika Okada'],['Hiroshi Tanahashi'],,,,,2,1,False
127,"June 4, 2018",Taiji Ishimori vs. Hiromu Takahashi,NJPW,Best of the Super Juniors Final,5.5,['Taiji Ishimori'],['Hiromu Takahashi'],,,,,2,1,False
128,"June 9, 2018",Kazuchika Okada vs. Kenny Omega,NJPW,Dominion 6.9 in Osaka-jo Hall,7.0,['Kazuchika Okada'],['Kenny Omega'],,,,,2,1,False
129,"July 11, 2018",Moustache Mountain (Trent Seven and Tyler Bate) vs. The Undisputed Era (Kyle O'Reilly and Roderick Strong),WWE,NXT,5.0,"['Trent Seven', 'Tyler Bate']","[""Kyle O'Reilly"", 'Roderick Strong']",,,,,2,2,False
130,"July 15, 2018",Kenny Omega vs. Tetsuya Naito,NJPW,G1 Climax 28Night 2,5.0,['Kenny Omega'],['Tetsuya Naito'],,,,,2,1,True
131,"July 19, 2018",Hirooki Goto vs. Kenny Omega,NJPW,G1 Climax 28Night 4,5.0,['Hirooki Goto'],['Kenny Omega'],,,,,2,1,True
132,"July 21, 2018",Hirooki Goto vs. Tomohiro Ishii,NJPW,G1 Climax 28Night 6,5.0,['Hirooki Goto'],['Tomohiro Ishii'],,,,,2,1,True
133,"August 4, 2018",Kenny Omega vs. Tomohiro Ishii,NJPW,G1 Climax 28Night 14,5.5,['Kenny Omega'],['Tomohiro Ishii'],,,,,2,1,True
134,"August 10, 2018",Hiroshi Tanahashi vs. Kazuchika Okada,NJPW,G1 Climax 28Night 17,5.0,['Hiroshi Tanahashi'],['Kazuchika Okada'],,,,,2,1,True
135,"August 11, 2018",Kenny Omega vs. Kota Ibushi,NJPW,G1 Climax 28Night 18,5.5,['Kenny Omega'],['Kota Ibushi'],,,,,2,1,True
136,"August 12, 2018",Hiroshi Tanahashi vs. Kota Ibushi,NJPW,G1 Climax 28 Final,5.75,['Hiroshi Tanahashi'],['Kota Ibushi'],,,,,2,1,True
137,"September 23, 2018",Hiroshi Tanahashi vs. Kazuchika Okada,NJPW,Destruction in Kobe,5.0,['Hiroshi Tanahashi'],['Kazuchika Okada'],,,,,2,1,False
138,"September 30, 2018",Chaos (Kazuchika Okada and Tomohiro Ishii) vs. Golden Lovers (Kenny Omega and Kota Ibushi),NJPW,Fighting Spirit Unleashed,5.0,"['Kazuchika Okada', 'Tomohiro Ishii']","['Kenny Omega', 'Kota Ibushi']",,,,,2,2,False
139,"December 15, 2018",Hiroshi Tanahashi and Will Ospreay vs. Golden Lovers (Kenny Omega and Kota Ibushi),NJPW,Road to Tokyo DomeNight 2,5.0,"['Hiroshi Tanahashi', 'Will Ospreay']","['Kenny Omega', 'Kota Ibushi']",,,,,2,2,True
140,"January 4, 2019",Kenny Omega vs. Hiroshi Tanahashi,NJPW,Wrestle Kingdom 13,5.75,['Kenny Omega'],['Hiroshi Tanahashi'],,,,,2,1,False
141,"March 24, 2019",Kazuchika Okada vs. Sanada,NJPW,New Japan Cup Final,5.0,['Kazuchika Okada'],['Sanada'],,,,,2,1,False
142,"April 5, 2019",Adam Cole vs. Johnny Gargano,WWE,NXT TakeOver: New York,5.5,['Adam Cole'],['Johnny Gargano'],,,,,2,1,False
143,"May 23, 2019",Bandido vs. Will Ospreay,NJPW,Best of the Super JuniorsNight 8,5.0,"['B', 'ido']",['Will Ospreay'],,,,,2,2,True
144,"May 25, 2019",Cody Rhodes vs. Dustin Rhodes,AEW,Double or Nothing,5.0,['Cody Rhodes'],['Dustin Rhodes'],,,,,2,1,True
145,"June 1, 2019",Johnny Gargano vs. Adam Cole,WWE,NXT TakeOver: XXV,5.25,['Johnny Gargano'],['Adam Cole'],,,,,2,1,False
146,"June 5, 2019",Shingo Takagi vs. Will Ospreay,NJPW,Best of the Super Juniors Final,5.75,['Shingo Takagi'],['Will Ospreay'],,,,,2,1,False
147,"June 9, 2019",Dragon Lee vs. Will Ospreay,NJPW,Dominion 6.9 in Osaka-jo Hall,5.0,['Dragon Lee'],['Will Ospreay'],,,,,2,1,False
148,"July 18, 2019",Kota Ibushi vs. Will Ospreay,NJPW,G1 Climax 29Night 5,5.0,['Kota Ibushi'],['Will Ospreay'],,,,,2,1,True
149,"July 19, 2019",Jon Moxley vs. Tomohiro Ishii,NJPW,G1 Climax 29Night 6,5.0,['Jon Moxley'],['Tomohiro Ishii'],,,,,2,1,True
150,"July 20, 2019",Kazuchika Okada vs. Will Ospreay,NJPW,G1 Climax 29Night 7,5.75,['Kazuchika Okada'],['Will Ospreay'],,,,,2,1,True
151,"July 26, 2019","Bandido, Flamita, and Rey Horus vs. Black Taurus, Laredo Kid, and Puma King",PWG,Sixteen,5.0,"['B', 'ido', 'Flamita', 'Rey Horus']","['Black Taurus', 'Laredo Kid', 'Puma King']",,,,,2,4,False
152,"August 3, 2019",Sanada vs. Kazuchika Okada,NJPW,G1 Climax 29Night 13,5.0,['Sanada'],['Kazuchika Okada'],,,,,2,1,True
153,"August 4, 2019",Tetsuya Naito vs. Shingo Takagi,NJPW,G1 Climax 29Night 14,5.0,['Tetsuya Naito'],['Shingo Takagi'],,,,,2,1,True
154,"August 8, 2019",Shingo Takagi vs. Tomohiro Ishii,NJPW,G1 Climax 29Night 16,5.5,['Shingo Takagi'],['Tomohiro Ishii'],,,,,2,1,True
155,"August 10, 2019",Kota Ibushi vs. Kazuchika Okada,NJPW,G1 Climax 29Night 17,5.0,['Kota Ibushi'],['Kazuchika Okada'],,,,,2,1,True
156,"August 12, 2019",Kota Ibushi vs. Jay White,NJPW,G1 Climax 29 Finals,5.5,['Kota Ibushi'],['Jay White'],,,,,2,1,True
157,"August 31, 2019",Walter vs. Tyler Bate,WWE,NXT UK TakeOver: Cardiff,5.25,['Walter'],['Tyler Bate'],,,,,2,1,False
158,"August 31, 2019",Lucha Brothers (Pentagon Jr. and Rey Fenix) vs. The Young Bucks (Matt Jackson and Nick Jackson),AEW,All Out,5.25,"['Pentagon Jr.', 'Rey Fenix']","['Matt Jackson', 'Nick Jackson']",,,,,2,2,True
159,"September 22, 2019",Bandido vs. Dragon Lee,PWG,Battle of Los AngelesNight 3,5.0,"['B', 'ido']",['Dragon Lee'],,,,,2,2,True
160,"October 26, 2019",David Starr vs. Jordan Devlin,OTT,5th Year Anniversary,5.0,['David Starr'],['Jordan Devlin'],,,,,2,1,False
161,"January 4, 2020",Will Ospreay vs. Hiromu Takahashi,NJPW,Wrestle Kingdom 14Night 1,5.5,['Will Ospreay'],['Hiromu Takahashi'],,,,,2,1,True
162,"January 4, 2020",Kazuchika Okada vs. Kota Ibushi,NJPW,Wrestle Kingdom 14Night 1,5.75,['Kazuchika Okada'],['Kota Ibushi'],,,,,2,1,True
163,"January 5, 2020",Kazuchika Okada vs. Tetsuya Naito,NJPW,Wrestle Kingdom 14Night 2,5.0,['Kazuchika Okada'],['Tetsuya Naito'],,,,,2,1,True
164,"February 14, 2020",Will Ospreay vs. Zack Sabre Jr.,RPW,High Stakes,5.0,['Will Ospreay'],['Zack Sabre Jr.'],,,,,2,1,False
165,"February 29, 2020",Kenny Omega and Adam Page vs. The Young Bucks (Matt Jackson and Nick Jackson),AEW,Revolution,6.0,"['Kenny Omega', 'Adam Page']","['Matt Jackson', 'Nick Jackson']",,,,,2,2,True
166,"September 16, 2020",Best Friends (Chuck Taylor and Trent) vs. Santana and Ortiz,AEW,Dynamite,5.0,"['Chuck Taylor', 'Trent']","['Santana', 'Ortiz']",,,,,2,2,False
